𩭯	U+29B6F (U+29B6F)	f0a9adaf
𩯔	U+29BD4 (U+29BD4)	f0a9af94
𩯕	U+29BD5 (U+29BD5)	f0a9af95
𩯖	U+29BD6 (U+29BD6)	f0a9af96
𩯗	U+29BD7 (U+29BD7)	f0a9af97
𩯘	U+29BD8 (U+29BD8)	f0a9af98
𩯙	U+29BD9 (U+29BD9)	f0a9af99
𩯚	U+29BDA (U+29BDA)	f0a9af9a
𩯛	U+29BDB (U+29BDB)	f0a9af9b
𩯜	U+29BDC (U+29BDC)	f0a9af9c
𩯝	U+29BDD (U+29BDD)	f0a9af9d
𩯞	U+29BDE (U+29BDE)	f0a9af9e
𩯟	U+29BDF (U+29BDF)	f0a9af9f
𩯠	U+29BE0 (U+29BE0)	f0a9afa0
𩯡	U+29BE1 (U+29BE1)	f0a9afa1
𩯢	U+29BE2 (U+29BE2)	f0a9afa2
𩯣	U+29BE3 (U+29BE3)	f0a9afa3
𩯤	U+29BE4 (U+29BE4)	f0a9afa4
𩯥	U+29BE5 (U+29BE5)	f0a9afa5
𩯦	U+29BE6 (U+29BE6)	f0a9afa6
𩯧	U+29BE7 (U+29BE7)	f0a9afa7
𩯨	U+29BE8 (U+29BE8)	f0a9afa8
𩯩	U+29BE9 (U+29BE9)	f0a9afa9
𩯪	U+29BEA (U+29BEA)	f0a9afaa
𩯫	U+29BEB (U+29BEB)	f0a9afab
𩯬	U+29BEC (U+29BEC)	f0a9afac
𩯭	hair on the temples (U+29BED)	f0a9afad
𩯮	U+29BEE (U+29BEE)	f0a9afae
𩯯	U+29BEF (U+29BEF)	f0a9afaf
𩯰	U+29BF0 (U+29BF0)	f0a9afb0
𩯱	U+29BF1 (U+29BF1)	f0a9afb1
𩯲	U+29BF2 (U+29BF2)	f0a9afb2
𩯳	U+29BF3 (U+29BF3)	f0a9afb3
𩯴	U+29BF4 (U+29BF4)	f0a9afb4
𩯵	U+29BF5 (U+29BF5)	f0a9afb5
𩯶	U+29BF6 (U+29BF6)	f0a9afb6
𩯷	U+29BF7 (U+29BF7)	f0a9afb7
𩯸	U+29BF8 (U+29BF8)	f0a9afb8
𩯹	U+29BF9 (U+29BF9)	f0a9afb9
𩯺	U+29BFA (U+29BFA)	f0a9afba
𩯻	U+29BFB (U+29BFB)	f0a9afbb
𩯼	U+29BFC (U+29BFC)	f0a9afbc
𩯽	U+29BFD (U+29BFD)	f0a9afbd
𩯾	U+29BFE (U+29BFE)	f0a9afbe
𩯿	U+29BFF (U+29BFF)	f0a9afbf
𩰀	U+29C00 (U+29C00)	f0a9b080
𩰁	U+29C01 (U+29C01)	f0a9b081
𩰂	U+29C02 (U+29C02)	f0a9b082
𩰃	U+29C03 (U+29C03)	f0a9b083
𩰄	U+29C04 (U+29C04)	f0a9b084
𩰅	U+29C05 (U+29C05)	f0a9b085
𩰆	U+29C06 (U+29C06)	f0a9b086
𩰇	U+29C07 (U+29C07)	f0a9b087
𩰈	U+29C08 (U+29C08)	f0a9b088
𩰉	U+29C09 (U+29C09)	f0a9b089
𩰊	U+29C0A (U+29C0A)	f0a9b08a
𩰋	U+29C0B (U+29C0B)	f0a9b08b
𩰌	U+29C0C (U+29C0C)	f0a9b08c
𩰍	U+29C0D (U+29C0D)	f0a9b08d
𩰎	U+29C0E (U+29C0E)	f0a9b08e
𩰏	U+29C0F (U+29C0F)	f0a9b08f
𩰐	U+29C10 (U+29C10)	f0a9b090
𩰑	U+29C11 (U+29C11)	f0a9b091
𩰒	U+29C12 (U+29C12)	f0a9b092
𩰓	U+29C13 (U+29C13)	f0a9b093
𩰔	U+29C14 (U+29C14)	f0a9b094
𩰕	U+29C15 (U+29C15)	f0a9b095
𩰖	U+29C16 (U+29C16)	f0a9b096
𩰗	U+29C17 (U+29C17)	f0a9b097
𩰘	U+29C18 (U+29C18)	f0a9b098
𩰙	U+29C19 (U+29C19)	f0a9b099
𩰚	U+29C1A (U+29C1A)	f0a9b09a
𩰛	U+29C1B (U+29C1B)	f0a9b09b
𩰜	U+29C1C (U+29C1C)	f0a9b09c
𩰝	U+29C1D (U+29C1D)	f0a9b09d
𩰞	U+29C1E (U+29C1E)	f0a9b09e
𩰟	U+29C1F (U+29C1F)	f0a9b09f
𩰠	U+29C20 (U+29C20)	f0a9b0a0
𩰡	U+29C21 (U+29C21)	f0a9b0a1
𩰢	U+29C22 (U+29C22)	f0a9b0a2
𩰣	U+29C23 (U+29C23)	f0a9b0a3
𩰤	U+29C24 (U+29C24)	f0a9b0a4
𩰥	U+29C25 (U+29C25)	f0a9b0a5
𩰦	U+29C26 (U+29C26)	f0a9b0a6
𩰧	U+29C27 (U+29C27)	f0a9b0a7
𩰨	U+29C28 (U+29C28)	f0a9b0a8
𩰩	U+29C29 (U+29C29)	f0a9b0a9
𩰪	U+29C2A (U+29C2A)	f0a9b0aa
𩰫	U+29C2B (U+29C2B)	f0a9b0ab
𩰬	U+29C2C (U+29C2C)	f0a9b0ac
𩰭	U+29C2D (U+29C2D)	f0a9b0ad
𩰮	U+29C2E (U+29C2E)	f0a9b0ae
𩰯	U+29C2F (U+29C2F)	f0a9b0af
𩰰	U+29C30 (U+29C30)	f0a9b0b0
𩰱	U+29C31 (U+29C31)	f0a9b0b1
𩰲	U+29C32 (U+29C32)	f0a9b0b2
𩰳	U+29C33 (U+29C33)	f0a9b0b3
𩰴	U+29C34 (U+29C34)	f0a9b0b4
𩰵	U+29C35 (U+29C35)	f0a9b0b5
𩰶	U+29C36 (U+29C36)	f0a9b0b6
𩰷	U+29C37 (U+29C37)	f0a9b0b7
𩰸	U+29C38 (U+29C38)	f0a9b0b8
𩰹	U+29C39 (U+29C39)	f0a9b0b9
𩰺	U+29C3A (U+29C3A)	f0a9b0ba
𩰻	U+29C3B (U+29C3B)	f0a9b0bb
𩰼	U+29C3C (U+29C3C)	f0a9b0bc
𩰽	U+29C3D (U+29C3D)	f0a9b0bd
𩰾	U+29C3E (U+29C3E)	f0a9b0be
𩰿	U+29C3F (U+29C3F)	f0a9b0bf
𩱀	U+29C40 (U+29C40)	f0a9b180
𩱁	U+29C41 (U+29C41)	f0a9b181
𩱂	U+29C42 (U+29C42)	f0a9b182
𩱃	U+29C43 (U+29C43)	f0a9b183
𩱄	U+29C44 (U+29C44)	f0a9b184
𩱅	U+29C45 (U+29C45)	f0a9b185
𩱆	U+29C46 (U+29C46)	f0a9b186
𩱇	U+29C47 (U+29C47)	f0a9b187
𩱈	U+29C48 (U+29C48)	f0a9b188
𩱉	U+29C49 (U+29C49)	f0a9b189
𩱊	U+29C4A (U+29C4A)	f0a9b18a
𩱋	U+29C4B (U+29C4B)	f0a9b18b
𩱌	U+29C4C (U+29C4C)	f0a9b18c
𩱍	U+29C4D (U+29C4D)	f0a9b18d
𩱎	U+29C4E (U+29C4E)	f0a9b18e
𩱏	U+29C4F (U+29C4F)	f0a9b18f
𩱐	U+29C50 (U+29C50)	f0a9b190
𩱑	U+29C51 (U+29C51)	f0a9b191
𩱒	U+29C52 (U+29C52)	f0a9b192
𩱓	U+29C53 (U+29C53)	f0a9b193
𩱔	U+29C54 (U+29C54)	f0a9b194
𩱕	U+29C55 (U+29C55)	f0a9b195
𩱖	U+29C56 (U+29C56)	f0a9b196
𩱗	U+29C57 (U+29C57)	f0a9b197
𩱘	U+29C58 (U+29C58)	f0a9b198
𩱙	U+29C59 (U+29C59)	f0a9b199
𩱚	U+29C5A (U+29C5A)	f0a9b19a
𩱛	U+29C5B (U+29C5B)	f0a9b19b
𩱜	U+29C5C (U+29C5C)	f0a9b19c
𩱝	U+29C5D (U+29C5D)	f0a9b19d
𩱞	U+29C5E (U+29C5E)	f0a9b19e
𩱟	U+29C5F (U+29C5F)	f0a9b19f
𩱠	U+29C60 (U+29C60)	f0a9b1a0
𩱡	U+29C61 (U+29C61)	f0a9b1a1
𩱢	U+29C62 (U+29C62)	f0a9b1a2
𩱣	U+29C63 (U+29C63)	f0a9b1a3
𩱤	U+29C64 (U+29C64)	f0a9b1a4
𩱥	U+29C65 (U+29C65)	f0a9b1a5
𩱦	U+29C66 (U+29C66)	f0a9b1a6
𩱧	U+29C67 (U+29C67)	f0a9b1a7
𩱨	U+29C68 (U+29C68)	f0a9b1a8
𩱩	U+29C69 (U+29C69)	f0a9b1a9
𩱪	U+29C6A (U+29C6A)	f0a9b1aa
𩱫	U+29C6B (U+29C6B)	f0a9b1ab
𩱬	U+29C6C (U+29C6C)	f0a9b1ac
𩱭	U+29C6D (U+29C6D)	f0a9b1ad
𩱮	U+29C6E (U+29C6E)	f0a9b1ae
𩱯	U+29C6F (U+29C6F)	f0a9b1af
𩱰	U+29C70 (U+29C70)	f0a9b1b0
𩱱	U+29C71 (U+29C71)	f0a9b1b1
𩱲	U+29C72 (U+29C72)	f0a9b1b2
𩱳	U+29C73 (U+29C73)	f0a9b1b3
𩱴	U+29C74 (U+29C74)	f0a9b1b4
𩱵	U+29C75 (U+29C75)	f0a9b1b5
𩱶	U+29C76 (U+29C76)	f0a9b1b6
𩱷	U+29C77 (U+29C77)	f0a9b1b7
𩱸	U+29C78 (U+29C78)	f0a9b1b8
𩱹	U+29C79 (U+29C79)	f0a9b1b9
𩱺	U+29C7A (U+29C7A)	f0a9b1ba
𩱻	U+29C7B (U+29C7B)	f0a9b1bb
𩱼	U+29C7C (U+29C7C)	f0a9b1bc
𩱽	U+29C7D (U+29C7D)	f0a9b1bd
𩱾	U+29C7E (U+29C7E)	f0a9b1be
𩱿	U+29C7F (U+29C7F)	f0a9b1bf
𩲀	U+29C80 (U+29C80)	f0a9b280
𩲁	U+29C81 (U+29C81)	f0a9b281
𩲂	U+29C82 (U+29C82)	f0a9b282
𩲃	U+29C83 (U+29C83)	f0a9b283
𩲄	U+29C84 (U+29C84)	f0a9b284
𩲅	U+29C85 (U+29C85)	f0a9b285
𩲆	U+29C86 (U+29C86)	f0a9b286
𩲇	U+29C87 (U+29C87)	f0a9b287
𩲈	U+29C88 (U+29C88)	f0a9b288
𩲉	U+29C89 (U+29C89)	f0a9b289
𩲊	U+29C8A (U+29C8A)	f0a9b28a
𩲋	U+29C8B (U+29C8B)	f0a9b28b
𩲌	U+29C8C (U+29C8C)	f0a9b28c
𩲍	U+29C8D (U+29C8D)	f0a9b28d
𩲎	U+29C8E (U+29C8E)	f0a9b28e
𩲏	U+29C8F (U+29C8F)	f0a9b28f
𩲐	U+29C90 (U+29C90)	f0a9b290
𩲑	U+29C91 (U+29C91)	f0a9b291
𩲒	U+29C92 (U+29C92)	f0a9b292
𩲓	U+29C93 (U+29C93)	f0a9b293
𩲔	U+29C94 (U+29C94)	f0a9b294
𩲕	U+29C95 (U+29C95)	f0a9b295
𩲖	U+29C96 (U+29C96)	f0a9b296
𩲗	U+29C97 (U+29C97)	f0a9b297
𩲘	U+29C98 (U+29C98)	f0a9b298
𩲙	U+29C99 (U+29C99)	f0a9b299
𩲚	U+29C9A (U+29C9A)	f0a9b29a
𩲛	U+29C9B (U+29C9B)	f0a9b29b
𩲜	U+29C9C (U+29C9C)	f0a9b29c
𩲝	U+29C9D (U+29C9D)	f0a9b29d
𩲞	U+29C9E (U+29C9E)	f0a9b29e
𩲟	U+29C9F (U+29C9F)	f0a9b29f
𩲠	U+29CA0 (U+29CA0)	f0a9b2a0
𩲡	U+29CA1 (U+29CA1)	f0a9b2a1
𩲢	U+29CA2 (U+29CA2)	f0a9b2a2
𩲣	U+29CA3 (U+29CA3)	f0a9b2a3
𩲤	U+29CA4 (U+29CA4)	f0a9b2a4
𩲥	U+29CA5 (U+29CA5)	f0a9b2a5
𩲦	U+29CA6 (U+29CA6)	f0a9b2a6
𩲧	U+29CA7 (U+29CA7)	f0a9b2a7
𩲨	U+29CA8 (U+29CA8)	f0a9b2a8
𩲩	U+29CA9 (U+29CA9)	f0a9b2a9
𩲪	U+29CAA (U+29CAA)	f0a9b2aa
𩲫	U+29CAB (U+29CAB)	f0a9b2ab
𩲬	U+29CAC (U+29CAC)	f0a9b2ac
𩲭	U+29CAD (U+29CAD)	f0a9b2ad
𩲮	U+29CAE (U+29CAE)	f0a9b2ae
𩲯	U+29CAF (U+29CAF)	f0a9b2af
𩲰	U+29CB0 (U+29CB0)	f0a9b2b0
𩲱	U+29CB1 (U+29CB1)	f0a9b2b1
𩲲	U+29CB2 (U+29CB2)	f0a9b2b2
𩲳	U+29CB3 (U+29CB3)	f0a9b2b3
𩲴	U+29CB4 (U+29CB4)	f0a9b2b4
𩲵	U+29CB5 (U+29CB5)	f0a9b2b5
𩲶	U+29CB6 (U+29CB6)	f0a9b2b6
𩲷	U+29CB7 (U+29CB7)	f0a9b2b7
𩲸	U+29CB8 (U+29CB8)	f0a9b2b8
𩲹	U+29CB9 (U+29CB9)	f0a9b2b9
𩲺	U+29CBA (U+29CBA)	f0a9b2ba
𩲻	U+29CBB (U+29CBB)	f0a9b2bb
𩲼	U+29CBC (U+29CBC)	f0a9b2bc
𩲽	U+29CBD (U+29CBD)	f0a9b2bd
𩲾	U+29CBE (U+29CBE)	f0a9b2be
𩲿	U+29CBF (U+29CBF)	f0a9b2bf
𩳀	U+29CC0 (U+29CC0)	f0a9b380
𩳁	U+29CC1 (U+29CC1)	f0a9b381
𩳂	U+29CC2 (U+29CC2)	f0a9b382
𩳃	U+29CC3 (U+29CC3)	f0a9b383
𩳄	U+29CC4 (U+29CC4)	f0a9b384
𩳅	U+29CC5 (U+29CC5)	f0a9b385
𩳆	U+29CC6 (U+29CC6)	f0a9b386
𩳇	U+29CC7 (U+29CC7)	f0a9b387
𩳈	U+29CC8 (U+29CC8)	f0a9b388
𩳉	U+29CC9 (U+29CC9)	f0a9b389
𩳊	U+29CCA (U+29CCA)	f0a9b38a
𩳋	U+29CCB (U+29CCB)	f0a9b38b
𩳌	U+29CCC (U+29CCC)	f0a9b38c
𩳍	U+29CCD (U+29CCD)	f0a9b38d
𩳎	U+29CCE (U+29CCE)	f0a9b38e
𩳏	U+29CCF (U+29CCF)	f0a9b38f
𩳐	U+29CD0 (U+29CD0)	f0a9b390
𩳑	U+29CD1 (U+29CD1)	f0a9b391
𩳒	U+29CD2 (U+29CD2)	f0a9b392
𩳓	U+29CD3 (U+29CD3)	f0a9b393
𩳔	U+29CD4 (U+29CD4)	f0a9b394
𩳕	U+29CD5 (U+29CD5)	f0a9b395
𩳖	U+29CD6 (U+29CD6)	f0a9b396
𩳗	U+29CD7 (U+29CD7)	f0a9b397
𩳘	U+29CD8 (U+29CD8)	f0a9b398
𩳙	U+29CD9 (U+29CD9)	f0a9b399
𩳚	U+29CDA (U+29CDA)	f0a9b39a
𩳛	U+29CDB (U+29CDB)	f0a9b39b
𩳜	U+29CDC (U+29CDC)	f0a9b39c
𩳝	U+29CDD (U+29CDD)	f0a9b39d
𩳞	U+29CDE (U+29CDE)	f0a9b39e
𩳟	U+29CDF (U+29CDF)	f0a9b39f
𩳠	U+29CE0 (U+29CE0)	f0a9b3a0
𩳡	U+29CE1 (U+29CE1)	f0a9b3a1
𩳢	U+29CE2 (U+29CE2)	f0a9b3a2
𩳣	U+29CE3 (U+29CE3)	f0a9b3a3
𩳤	U+29CE4 (U+29CE4)	f0a9b3a4
𩳥	U+29CE5 (U+29CE5)	f0a9b3a5
𩳦	U+29CE6 (U+29CE6)	f0a9b3a6
𩳧	U+29CE7 (U+29CE7)	f0a9b3a7
𩳨	U+29CE8 (U+29CE8)	f0a9b3a8
𩳩	U+29CE9 (U+29CE9)	f0a9b3a9
𩳪	U+29CEA (U+29CEA)	f0a9b3aa
𩳫	U+29CEB (U+29CEB)	f0a9b3ab
𩳬	U+29CEC (U+29CEC)	f0a9b3ac
𩳭	U+29CED (U+29CED)	f0a9b3ad
𩳮	U+29CEE (U+29CEE)	f0a9b3ae
𩳯	U+29CEF (U+29CEF)	f0a9b3af
𩳰	U+29CF0 (U+29CF0)	f0a9b3b0
𩳱	U+29CF1 (U+29CF1)	f0a9b3b1
𩳲	U+29CF2 (U+29CF2)	f0a9b3b2
𩳳	U+29CF3 (U+29CF3)	f0a9b3b3
𩳴	U+29CF4 (U+29CF4)	f0a9b3b4
𩳵	U+29CF5 (U+29CF5)	f0a9b3b5
𩳶	U+29CF6 (U+29CF6)	f0a9b3b6
𩳷	U+29CF7 (U+29CF7)	f0a9b3b7
𩳸	U+29CF8 (U+29CF8)	f0a9b3b8
𩳹	U+29CF9 (U+29CF9)	f0a9b3b9
𩳺	U+29CFA (U+29CFA)	f0a9b3ba
𩳻	U+29CFB (U+29CFB)	f0a9b3bb
𩳼	U+29CFC (U+29CFC)	f0a9b3bc
𩳽	U+29CFD (U+29CFD)	f0a9b3bd
𩳾	U+29CFE (U+29CFE)	f0a9b3be
𩳿	U+29CFF (U+29CFF)	f0a9b3bf
𩴀	U+29D00 (U+29D00)	f0a9b480
𩴁	U+29D01 (U+29D01)	f0a9b481
𩴂	U+29D02 (U+29D02)	f0a9b482
𩴃	U+29D03 (U+29D03)	f0a9b483
𩴄	U+29D04 (U+29D04)	f0a9b484
𩴅	U+29D05 (U+29D05)	f0a9b485
𩴆	U+29D06 (U+29D06)	f0a9b486
𩴇	U+29D07 (U+29D07)	f0a9b487
𩴈	U+29D08 (U+29D08)	f0a9b488
𩴉	U+29D09 (U+29D09)	f0a9b489
𩴊	U+29D0A (U+29D0A)	f0a9b48a
𩴋	U+29D0B (U+29D0B)	f0a9b48b
𩴌	U+29D0C (U+29D0C)	f0a9b48c
𩴍	U+29D0D (U+29D0D)	f0a9b48d
𩴎	U+29D0E (U+29D0E)	f0a9b48e
𩴏	U+29D0F (U+29D0F)	f0a9b48f
𩴐	U+29D10 (U+29D10)	f0a9b490
𩴑	U+29D11 (U+29D11)	f0a9b491
𩴒	U+29D12 (U+29D12)	f0a9b492
𩴓	U+29D13 (U+29D13)	f0a9b493
𩴔	U+29D14 (U+29D14)	f0a9b494
𩴕	U+29D15 (U+29D15)	f0a9b495
𩴖	U+29D16 (U+29D16)	f0a9b496
𩴗	U+29D17 (U+29D17)	f0a9b497
𩴘	U+29D18 (U+29D18)	f0a9b498
𩴙	U+29D19 (U+29D19)	f0a9b499
𩴚	U+29D1A (U+29D1A)	f0a9b49a
𩴛	U+29D1B (U+29D1B)	f0a9b49b
𩴜	U+29D1C (U+29D1C)	f0a9b49c
𩴝	U+29D1D (U+29D1D)	f0a9b49d
𩴞	U+29D1E (U+29D1E)	f0a9b49e
𩴟	U+29D1F (U+29D1F)	f0a9b49f
𩴠	U+29D20 (U+29D20)	f0a9b4a0
𩴡	U+29D21 (U+29D21)	f0a9b4a1
𩴢	U+29D22 (U+29D22)	f0a9b4a2
𩴣	U+29D23 (U+29D23)	f0a9b4a3
𩴤	U+29D24 (U+29D24)	f0a9b4a4
𩴥	U+29D25 (U+29D25)	f0a9b4a5
𩴦	U+29D26 (U+29D26)	f0a9b4a6
𩴧	U+29D27 (U+29D27)	f0a9b4a7
𩴨	U+29D28 (U+29D28)	f0a9b4a8
𩴩	U+29D29 (U+29D29)	f0a9b4a9
𩴪	U+29D2A (U+29D2A)	f0a9b4aa
𩴫	U+29D2B (U+29D2B)	f0a9b4ab
𩴬	U+29D2C (U+29D2C)	f0a9b4ac
𩴭	U+29D2D (U+29D2D)	f0a9b4ad
𩴮	U+29D2E (U+29D2E)	f0a9b4ae
𩴯	U+29D2F (U+29D2F)	f0a9b4af
𩴰	U+29D30 (U+29D30)	f0a9b4b0
𩴱	U+29D31 (U+29D31)	f0a9b4b1
𩴲	U+29D32 (U+29D32)	f0a9b4b2
𩴳	U+29D33 (U+29D33)	f0a9b4b3
𩴴	U+29D34 (U+29D34)	f0a9b4b4
𩴵	U+29D35 (U+29D35)	f0a9b4b5
𩴶	U+29D36 (U+29D36)	f0a9b4b6
𩴷	U+29D37 (U+29D37)	f0a9b4b7
𩴸	U+29D38 (U+29D38)	f0a9b4b8
𩴹	U+29D39 (U+29D39)	f0a9b4b9
𩴺	U+29D3A (U+29D3A)	f0a9b4ba
𩴻	U+29D3B (U+29D3B)	f0a9b4bb
𩴼	U+29D3C (U+29D3C)	f0a9b4bc
𩴽	U+29D3D (U+29D3D)	f0a9b4bd
𩴾	U+29D3E (U+29D3E)	f0a9b4be
𩴿	U+29D3F (U+29D3F)	f0a9b4bf
𩵀	U+29D40 (U+29D40)	f0a9b580
𩵁	U+29D41 (U+29D41)	f0a9b581
𩵂	U+29D42 (U+29D42)	f0a9b582
𩵃	U+29D43 (U+29D43)	f0a9b583
𩵄	U+29D44 (U+29D44)	f0a9b584
𩵅	U+29D45 (U+29D45)	f0a9b585
𩵆	U+29D46 (U+29D46)	f0a9b586
𩵇	U+29D47 (U+29D47)	f0a9b587
𩵈	U+29D48 (U+29D48)	f0a9b588
𩵉	U+29D49 (U+29D49)	f0a9b589
𩵊	U+29D4A (U+29D4A)	f0a9b58a
𩵋	(J) nonstandard variant of 魚 U+9B5A, fish (U+29D4B)	f0a9b58b
𩵌	U+29D4C (U+29D4C)	f0a9b58c
𩵍	U+29D4D (U+29D4D)	f0a9b58d
𩵎	U+29D4E (U+29D4E)	f0a9b58e
𩵏	U+29D4F (U+29D4F)	f0a9b58f
𩵐	U+29D50 (U+29D50)	f0a9b590
𩵑	U+29D51 (U+29D51)	f0a9b591
𩵒	U+29D52 (U+29D52)	f0a9b592
𩵓	U+29D53 (U+29D53)	f0a9b593
𩵔	U+29D54 (U+29D54)	f0a9b594
𩵕	U+29D55 (U+29D55)	f0a9b595
𩵖	U+29D56 (U+29D56)	f0a9b596
𩵗	U+29D57 (U+29D57)	f0a9b597
𩵘	U+29D58 (U+29D58)	f0a9b598
𩵙	U+29D59 (U+29D59)	f0a9b599
𩵚	U+29D5A (U+29D5A)	f0a9b59a
𩵛	U+29D5B (U+29D5B)	f0a9b59b
𩵜	U+29D5C (U+29D5C)	f0a9b59c
𩵝	U+29D5D (U+29D5D)	f0a9b59d
𩵞	U+29D5E (U+29D5E)	f0a9b59e
𩵟	U+29D5F (U+29D5F)	f0a9b59f
𩵠	U+29D60 (U+29D60)	f0a9b5a0
𩵡	U+29D61 (U+29D61)	f0a9b5a1
𩵢	U+29D62 (U+29D62)	f0a9b5a2
