NULL (U+0000)	00
䑑	(ancient form of 僕) a servant, a modest term referring to oneself (U+4451)	e49191
䑒	a kind of farm tool used in ancient times (U+4452)	e49192
䑓	(same as 臺) a lookout, a tower, a terrace, a platform, a stage (U+4453)	e49193
䑔	to pound (grain) in order to remove the husk (U+4454)	e49194
䑕	(a non-classical abbreviated form of 鼠) a rat, a mouse, squirrels, moles, etc., KangXi radical 208 (U+4455)	e49195
䑖	U+4456 (U+4456)	e49196
䑗	to pound (grain) in order to remove the husk (U+4457)	e49197
䑘	to pound; to ram down, to polish; to grind barley or wheat (U+4458)	e49198
䑙	put out the tongue; (same as U+3401 㐁) to lick; to taste (U+4459)	e49199
䑚	(non-classical form of 甜) sweet; agreeable; pleasant (U+445A)	e4919a
䑛	(standard form of 舐) to lick (U+445B)	e4919b
䑜	to eat heavily, cooked rice, a meal, to drink, to swallow, to lick, the uvula, the ligule (U+445C)	e4919c
䑝	(non-classical form of 斝) a small cup with ears, used in ancient times for libations (U+445D)	e4919d
䑞	(same as 舜) Shun, name of a legendary Chinese ruler, said to have ruled from 2255-2205 B.C., wise; good (U+445E)	e4919e
䑟	(same as 葟) luxuriant; exuberant; flourishing (said of grass and tress; vegetation; flora) (U+445F)	e4919f
䑠	long and narrow boat, a small boat (U+4460)	e491a0
䑡	(same as 艖) small boat (short and deep) (U+4461)	e491a1
䑢	(non-classical form) (same as 舠) a knife shaped small boat (U+4462)	e491a2
䑣	a sailing boat (U+4463)	e491a3
䑤	a boat; a ship; vessel (U+4464)	e491a4
䑥	a moving boat; a sailing boat, tools used on a boat, a speedy boat (U+4465)	e491a5
䑦	a boat; a ship; vessel (U+4466)	e491a6
䑧	a short, deep and small boat (U+4467)	e491a7
䑨	(same as 舵) rudder; helm (U+4468)	e491a8
䑩	a kind of inland rivers warship used in Qing Dynasty (U+4469)	e491a9
䑪	a sailing; moving boat (U+446A)	e491aa
䑫	tools for boat, name of a boat (U+446B)	e491ab
䑬	boat, large boat, to dispel; to remove; to move, to stir up (U+446C)	e491ac
䑭	war vessel; man-of-war; warship (U+446D)	e491ad
䑮	U+446E (U+446E)	e491ae
䑯	a boat; a ship; vessel (U+446F)	e491af
䑰	small boat (U+4470)	e491b0
䑱	a boat; a ship; vessel (U+4471)	e491b1
䑲	(same as 棹 櫂) to row a boat, an oar, a scull, a boat (U+4472)	e491b2
䑳	a horizontal bar in front of a boat, a boat (U+4473)	e491b3
䑴	a boat; a ship; vessel (U+4474)	e491b4
䑵	(corrupted form of 艒) a small boat (U+4475)	e491b5
䑶	sprightly boat; light boat (U+4476)	e491b6
䑷	U+4477 (U+4477)	e491b7
䑸	a group of boats, boat; warship (U+4478)	e491b8
䑹	(same as 艘) a numerary adjunct for ships, groove of a boat (U+4479)	e491b9
䑺	(same as 帆) a sail (of a boat) (U+447A)	e491ba
䑻	covering; curtain, or screen of a boat, to sail a boat (U+447B)	e491bb
䑼	ocean-going liner, steamer, a boat; a ship; vessel (U+447C)	e491bc
䑽	a large boat (U+447D)	e491bd
䑾	U+447E (U+447E)	e491be
䑿	small boat (U+447F)	e491bf
䒀	short and deep boat (U+4480)	e49280
䒁	a small boat connected to the back of a big boat; used to load the passengers, cargo or goods, warship, a kind of tools used to capsize (U+4481)	e49281
䒂	an oar (U+4482)	e49282
䒃	(same as U+8241 造) to build; to make; to do, to arrive at; to go to (U+4483)	e49283
䒄	fully laden of a boat, name of a ship (U+4484)	e49284
䒅	beautiful eyes, (dialect) a pair; two (U+4485)	e49285
䒆	name of a ship, a sailing boat (U+4486)	e49286
䒇	name of a ship, fully load of a boat (U+4487)	e49287
䒈	(same as 橨) side beam of a boat (U+4488)	e49288
䒉	a long, narrow boat (U+4489)	e49289
䒊	a patient (of jaundice; icterus) facial complexion (U+448A)	e4928a
䒋	air current; atmospheric current (U+448B)	e4928b
䒌	dark blue color, without color, to close the eyes (U+448C)	e4928c
䒍	without color, clear and lucid (U+448D)	e4928d
䒎	without color, clear and lucid (U+448E)	e4928e
䒏	disturbed in mind, not in good health, a fierce or ferocious appearance (U+448F)	e4928f
䒐	disturbed in mind, not in good health, a fierce or ferocious appearance, a bad look (U+4490)	e49290
䒑	(non-classical form of 艸) grass; straw; herbs; weeds (U+4491)	e49291
䒒	(same as 芀) name of a plant (much used for making brooms); a reed (U+4492)	e49292
䒓	to do violence, perverse; rebellious, calamities; tribulations; miseries; crime; sin (U+4493)	e49293
䒔	name of a variety of grass (U+4494)	e49294
䒕	a kind of herb medicine, luxuriant; flourishing of grass and trees (U+4495)	e49295
䒖	a kind of herb medicine (plants of the mugwort or artemisia family) (U+4496)	e49296
䒗	(same as 芞) fragrant herb, vanilla (U+4497)	e49297
䒘	(same as 荾) parsley, (same as 葰) ginger, pistil (U+4498)	e49298
䒙	U+4499 (U+4499)	e49299
䒚	name of a variety of grass (U+449A)	e4929a
䒛	name of a variety of grass (U+449B)	e4929b
䒜	name of a variety of grass, a kind of herb (U+449C)	e4929c
䒝	root of the thatch, straw or couch grass; a herb medicine to quench thirst (U+449D)	e4929d
䒞	name of a variety of grass, hot (U+449E)	e4929e
䒟	name of a variety of grass (U+449F)	e4929f
䒠	(same as 丰) luxuriant; exuberant of the grass and trees, young shoots of the rape-turnip--Brassica rapa (U+44A0)	e492a0
䒡	name of a variety of grass (U+44A1)	e492a1
䒢	sweet flag; the calamus; its leaves are hung on the door lintels on the 5th of the5th lunar month, to avert evil influences (U+44A2)	e492a2
䒣	(same as 苒) (of flowers and grass) lush or delicate (U+44A3)	e492a3
䒤	name of a variety of grass (U+44A4)	e492a4
䒥	corresponding; equivalent, considerable; to a great extent, appropriate (U+44A5)	e492a5
䒦	grass floats on water (U+44A6)	e492a6
䒧	a vessel or utensil made of straw, grass or weeds, a kind of grass (U+44A7)	e492a7
䒨	a kind of vegetable, plants of the mugwort or artemisia family (U+44A8)	e492a8
䒩	name of a variety of grass, (same as 莫) not (U+44A9)	e492a9
䒪	name of a variety of grass (U+44AA)	e492aa
䒫	grassy (U+44AB)	e492ab
䒬	(ancient form of 莫) not, (standard form of 暮) sunset; dusk (U+44AC)	e492ac
䒭	(same as 等) rank; grade, same; equal, to wait, and so on; etc. (U+44AD)	e492ad
䒮	U+44AE (U+44AE)	e492ae
䒯	U+44AF (U+44AF)	e492af
䒰	to follow; to trace, to submit; to accord with, to accompany, a kind of grass (U+44B0)	e492b0
䒱	(same as 蒸) twigs of hemp used fo fuel, to rise, as steam, steam (U+44B1)	e492b1
䒲	a medical herb; a second name for ( 黃岑) Scutellaria baikalensis (U+44B2)	e492b2
䒳	(same as U+6736 朵) a flower; a cluster of flowers; a bud, lobe of the ear (U+44B3)	e492b3
䒴	name of a variety of grass (U+44B4)	e492b4
䒵	name of a variety of grass (U+44B5)	e492b5
䒶	(ancient form of 天) the sky; the heaven, Nature; God, day (U+44B6)	e492b6
䒷	a kind of plant, a kind of herb; Chinese trichosanthes (Trichosanthes kirilowii); bryonia (U+44B7)	e492b7
䒸	grass (U+44B8)	e492b8
䒹	grassy, fruitful (U+44B9)	e492b9
䒺	(ancient form of 堇) clay (U+44BA)	e492ba
䒻	a medical herb; acrid taste; poisonless; harmless (U+44BB)	e492bb
䒼	(same as 曲) a bamboo tray for raising silkworms (U+44BC)	e492bc
䒽	Illicium anisatum, and kind of poisonous shrub (U+44BD)	e492bd
䒾	U+44BE (U+44BE)	e492be
䒿	U+44BF (U+44BF)	e492bf
䓀	U+44C0 (U+44C0)	e49380
䓁	U+44C1 (U+44C1)	e49381
䓂	name of a variety of grass, last name (U+44C2)	e49382
䓃	melancholy and sad, withered (said of grass and trees) (U+44C3)	e49383
䓄	grassy, name of a variety of grass (U+44C4)	e49384
䓅	(same as 芹) celery; a kind of watr plant (U+44C5)	e49385
䓆	to cut the; to sever grass (U+44C6)	e49386
䓇	luxuriant; lush of grass and trees, (same as 赫) bright; glowing, brilliant; glorious, (same as 嚇) angry, fear; dread; fright; scare (U+44C7)	e49387
䓈	a kind of plant; chicken-head; Euryale ferox (U+44C8)	e49388
䓉	name of a variety of grass, a kind of vegetable, (same as 椰) coconut; coconut palm; coconut tree (U+44C9)	e49389
䓊	name of a variety of grass, (as moxa) (Perilla ocimoides) (U+44CA)	e4938a
䓋	elm-seeds -- used as food (U+44CB)	e4938b
䓌	polygala (a medical herb) (U+44CC)	e4938c
䓍	cruciferous flowers; with acrid seeds; used as medicine (U+44CD)	e4938d
䓎	name of a variety of grass (U+44CE)	e4938e
䓏	flourishing; luxuriant; a lush growth of flowers (U+44CF)	e4938f
䓐	name of a variety of grass (U+44D0)	e49390
䓑	(same as 荓) name of a variety of grass (same as 萍) duckweeds (U+44D1)	e49391
䓒	(same as 蒯) Scirpus cyperinus var, concolor, a rush, from which many things are weaved (U+44D2)	e49392
䓓	(simplified form of 薵) name of a variety of grass, (same as 葤) use grass to wrap things, to cover; to put a cover over something (U+44D3)	e49393
䓔	U+44D4 (U+44D4)	e49394
䓕	polygala (a medical herb) (U+44D5)	e49395
䓖	(simplified form of 藭) Cnidium officinale, a kind of medicinal herb (U+44D6)	e49396
䓗	(same as 棣 蔥) scallions; leeks; onions (U+44D7)	e49397
䓘	a kind of plant, name of a variety of grass (U+44D8)	e49398
䓙	slanting; inclined; sloping (U+44D9)	e49399
䓚	a kind of vegetable, a water-plant; the bulbs of which art used as food -- Sagittaria sagittifolia (U+44DA)	e4939a
䓛	molecular formula (C18H12), to brush (U+44DB)	e4939b
䓜	salted or pickled vegetables (U+44DC)	e4939c
䓝	Chinese pennisetum) Pennisetum alopecuroides) (U+44DD)	e4939d
䓞	a kind of plant, can be used as dyestuff, material for making paper and coir raincoat, edible, Chinese pennisetum, Pennisetum alopecuroides (U+44DE)	e4939e
䓟	name of a variety of grass, (same as 茢) a broom (U+44DF)	e4939f
䓠	the water plantain, the lotus floating on the water (U+44E0)	e493a0
䓡	a medical herb ( 知母) (U+44E1)	e493a1
䓢	name of a variety of grass (U+44E2)	e493a2
䓣	name of a variety of grass (U+44E3)	e493a3
䓤	vegetation (U+44E4)	e493a4
䓥	sound of the wriggled insects on the grass (U+44E5)	e493a5
䓦	(same as 典) a rule; a law, a tale or story, pawn; to mortgage, to take charge of (U+44E6)	e493a6
䓧	(same as 亟) urgent; pressing (U+44E7)	e493a7
䓨	(simplified form of 罃) long-necked bottle; an earthenware jar with a small mouth and two or four ears (U+44E8)	e493a8
䓩	U+44E9 (U+44E9)	e493a9
䓪	U+44EA (U+44EA)	e493aa
䓫	name of a mountain, in Taiwan Province (U+44EB)	e493ab
䓬	U+44EC (U+44EC)	e493ac
䓭	weed or grass with narrow thick glades (as bamboo); water-pepper group (U+44ED)	e493ad
䓮	lush growth; dense growth of silky grass; fine grass (U+44EE)	e493ae
䓯	water-pepper (U+44EF)	e493af
䓰	absinthin, Artemisia capillaris, a kind of medicinal herb (U+44F0)	e493b0
䓱	a kind of herb medicine; Bupleurum (U+44F1)	e493b1
䓲	fine; silky; new growth of grass (U+44F2)	e493b2
䓳	name of a variety of grass (U+44F3)	e493b3
䓴	edible fungus from trees (U+44F4)	e493b4
䓵	to blossom; to flower (U+44F5)	e493b5
䓶	(same as 藾) a kind of plant; a kind of herb (U+44F6)	e493b6
䓷	(same as 莕 荇) Nymphoides peltalum; a kind of water plant, name of a variety of grass (U+44F7)	e493b7
䓸	weed (U+44F8)	e493b8
䓹	(same as 饐) to stuff full and to gulp down, cooked food which has become mouldy, sour (U+44F9)	e493b9
䓺	name of a variety of grass (U+44FA)	e493ba
䓻	U+44FB (U+44FB)	e493bb
䓼	name of a variety of grass, grunting of hogs (U+44FC)	e493bc
䓽	name of a variety of grass (U+44FD)	e493bd
䓾	lush; luxuriant of grass and trees (U+44FE)	e493be
䓿	a second name for lotus flower (U+44FF)	e493bf
䔀	(same as 荽 葰) parsley (U+4500)	e49480
䔁	name of a variety of grass (U+4501)	e49481
䔂	vegetable soup, a kind of vegetable (U+4502)	e49482
䔃	cordate houttuynia (Houttuynia cordata) (U+4503)	e49483
䔄	name of a variety of grass; rushes, dodder (U+4504)	e49484
䔅	name of a variety of trees, name of a variety of grass, fruit of the tree (U+4505)	e49485
䔆	a kind of bean; edible (U+4506)	e49486
䔇	a kind of plant, the root is used for food (U+4507)	e49487
䔈	lush growth of grass, trees and fruits (U+4508)	e49488
䔉	scattered or dispersed of grass and trees, (non-classical form of 蒜) the garlic (belongs to meat and fish diet) (U+4509)	e49489
䔊	dense growth of grass (U+450A)	e4948a
䔋	a kind of tree; very tall and its lieaves like bird's wings; edible (U+450B)	e4948b
䔌	name of a variety of grass, (Pueraria thunbergiana); the white birch (U+450C)	e4948c
䔍	U+450D (U+450D)	e4948d
䔎	name of a variety of grass (U+450E)	e4948e
䔏	a lush; dense growth of weeds, mixed; mingled roots of the grass, (same as 簉) deputy; a deputy; an attendant, an escorting vehicle (U+450F)	e4948f
䔐	delicate, colorful and beautiful small piece of paper (U+4510)	e49490
䔑	a white colored cluster grown at the tip of cogongrass, a kind of plants of the mugwort or artemisia family, an ear of grain (U+4511)	e49491
䔒	name of a variety of grass (U+4512)	e49492
䔓	herb medicine; teasel root (U+4513)	e49493
䔔	name of a variety of grass (U+4514)	e49494
䔕	chicken breast (U+4515)	e49495
䔖	(same as 菱 蔆) water caltrop (U+4516)	e49496
䔗	a kind of vegetable (U+4517)	e49497
䔘	fish paste; fish cooked in soy sauce (U+4518)	e49498
䔙	name of a variety of grass (U+4519)	e49499
䔚	herb medicine; the water plantain (U+451A)	e4949a
䔛	fibrous plant of which cloth, rope, bag are made (U+451B)	e4949b
䔜	herb medicine; hellebore (U+451C)	e4949c
䔝	name of a variety of grass (U+451D)	e4949d
䔞	the beginning; to start, new growing of the grass (U+451E)	e4949e
䔟	shake and wave of the grass (U+451F)	e4949f
䔠	thin root (rhizome) of the lotus, (same as 梢) the tip of a branch, (same as U+77DF 槊) a long spear; a lance (U+4520)	e494a0
䔡	name of a variety of grass; perilla ocimoides, whose seeds are a bird feed (U+4521)	e494a1
䔢	(ancient form of 華) Cathay; China, splendid; gorgeous; colorful; beautiful; luxurious, a family name (U+4522)	e494a2
䔣	a tribe in ancient times (U+4523)	e494a3
䔤	the lush and luxuriant of the grass and flowers (U+4524)	e494a4
䔥	(non-classical form of U+856D 蕭) common variety of artemisia (U+4525)	e494a5
䔦	U+4526 (U+4526)	e494a6
䔧	(same as 蔾) a kind of plant; the caltrop; caltrap (U+4527)	e494a7
䔨	U+4528 (U+4528)	e494a8
䔩	U+4529 (U+4529)	e494a9
䔪	name of a variety of grass, scattered or dispersed of the grass and trees (U+452A)	e494aa
䔫	U+452B (U+452B)	e494ab
䔬	hemp, marijuana (female; pistillate), herbage (U+452C)	e494ac
䔭	name of a variety of grass; poisonous herb (U+452D)	e494ad
䔮	name of a variety of grass; growing in the water with edible flowers (U+452E)	e494ae
䔯	salted; pickled leeks or scallions (U+452F)	e494af
䔰	(variant of 葍) name of a variety of grass; perennial; creeping plants (U+4530)	e494b0
䔱	name of a variety of grass (U+4531)	e494b1
䔲	name of a variety of grass, (same as 橙) the orange (U+4532)	e494b2
䔳	chickling (U+4533)	e494b3
䔴	name of a variety of grass, growing grass, to weed (in farming); to mow grass or cut weed (U+4534)	e494b4
䔵	(same as 葌 蕑) fragrant thoroughwort (Eupatorium fortunei) (U+4535)	e494b5
䔶	name of a variety of grass, weed (in farming); to mow grass or cut weed (U+4536)	e494b6
䔷	Cyperus rotundus, a kind of medicinal herb (U+4537)	e494b7
䔸	name of a variety of grass, fragrant herb; vanilla, fragrant; delicious; balm; spice (U+4538)	e494b8
䔹	a fungus which grows on rotten plants and is eaten when fresh (U+4539)	e494b9
䔺	heading; earing; to flower; to blossom (of the smartweed group), Cyperus rotundus, a kind of medicinal herb, a peduncle or footstalk of a flower or fruit; a stem; a base, new growing leaves (U+453A)	e494ba
䔻	name of a variety of grass, luxuriant; lush of the grass (U+453B)	e494bb
䔼	sound of the grass; parsley (U+453C)	e494bc
䔽	to cover; to put a cover over something, small, low, weak, pure; clean; clear (U+453D)	e494bd
䔾	a kind of fragrant herb, a kind of vegetable (growing in the water; something like the bracken) (U+453E)	e494be
䔿	lush growth; dense growth of trees and grass, to huddle together; to crowd together (U+453F)	e494bf
䕀	name of a variety of grass, Compositae; chrysanthemum family, perennial herbage; to blossom in winter (U+4540)	e49580
䕁	suddenly, name of a variety of grass (U+4541)	e49581
䕂	U+4542 (U+4542)	e49582
䕃	(same as 蔭) the shade of a tree, to cover up; to cover or screen (U+4543)	e49583
䕄	meat in the form of paste; salted or pickled meat (U+4544)	e49584
䕅	name of a variety of grass (U+4545)	e49585
䕆	round straw quilt; bedding; cushion; mattress; mat for the chair, name of a variety of grass (U+4546)	e49586
䕇	name of a variety of grass, a kind of vegetable (U+4547)	e49587
䕈	name of a variety of grass, (same as U+5C5F 屧) the wooden sole of a shoe (U+4548)	e49588
䕉	a kind of plant, Pueraria thunbergiana, a creeping, edible bean whose fibers can be made into linen-like cloth and whose roots are used in herbal medicine (U+4549)	e49589
䕊	name of a variety of grass, grass that creep and spread luxuriantly (U+454A)	e4958a
䕋	of elm group (U+454B)	e4958b
䕌	(same as U+7A49 稚) young grain, tender; young, delicate; small (U+454C)	e4958c
䕍	name of a variety of grass (U+454D)	e4958d
䕎	(non-classical form) name of a variety of grass (corrupted form of 葍) perennial; creeping plants (U+454E)	e4958e
䕏	Artemisia, a kind of plant with edible leaves (U+454F)	e4958f
䕐	U+4550 (U+4550)	e49590
䕑	(same as 葰) parsley (U+4551)	e49591
䕒	name of a variety of grass (U+4552)	e49592
䕓	name of a variety of grass; poisonous; used to kill fishes, valueless things; insignificant things (U+4553)	e49593
䕔	name of a variety of grass, couch grass family (U+4554)	e49594
䕕	name of a variety of grass (U+4555)	e49595
䕖	(same as 蓀) fragrant herb, vanilla (U+4556)	e49596
䕗	name of a variety of grass (U+4557)	e49597
䕘	(same as 苓) a variety of fungus; tuckahoe, licorice, or liquorice, name of a variety of grass (U+4558)	e49598
䕙	to set in order; to adjust and repair (U+4559)	e49599
䕚	(same as 蕢) a straw basket, a vegetable with red stalk (U+455A)	e4959a
䕛	name of a variety of grass (U+455B)	e4959b
䕜	U+455C (U+455C)	e4959c
䕝	medical herb; a second name for sesame (U+455D)	e4959d
䕞	Henbane, poisonous, seeds for medical use, a plant which produces a brown dye (U+455E)	e4959e
䕟	a kind of vegetable; rape (U+455F)	e4959f
䕠	(non-classical form 蕟) coarse bamboo mat, a kind of ailment, probably of a rheumatic nature, which causes stiff neck and backbone (U+4560)	e495a0
䕡	Compositae; chrysanthemum family; perennial herbage; herb medicine (U+4561)	e495a1
䕢	weak, crude and coarse, careless; rash, bad behavior (U+4562)	e495a2
䕣	water plant (U+4563)	e495a3
䕤	(same as 蘄) name of a county in ancient times; today's south of Anhui Province, Suxian (U+4564)	e495a4
䕥	(ancient form of 苨) herb medicine; Chinese bellflower family; Platycodon grandiforus (U+4565)	e495a5
䕦	flower of the chrysanthemum; chrysanthemum (U+4566)	e495a6
䕧	(same as U+832D 茭) Zizania latifolia, a kind of edible aquatic grass, rootstock (of the lotus), the joint of the sides of arms and the end of a bow (U+4567)	e495a7
䕨	(same as 藤) rattan (U+4568)	e495a8
䕩	dry fruit (e.g. nuts), dried fruit (U+4569)	e495a9
䕪	the water plantain (U+456A)	e495aa
䕫	(corrupted form of U+5914 夔) a one-legged monster; a walrus, name of a court musician in the reign of Emperor Shun (2255 B.C.) (U+456B)	e495ab
䕬	(same as 薑) ginger (U+456C)	e495ac
䕭	name of a variety of grass, a kind of vegetable, a variety of nettle, urtica (U+456D)	e495ad
䕮	(interchangeable 菊) flower of the chrysanthemum; chrysanthemun (U+456E)	e495ae
䕯	duckweed (U+456F)	e495af
䕰	a second name for ( 知母) rhizome of wind-weed (Anemarrhena asphodeloides); herb medicine (U+4570)	e495b0
䕱	name of a variety of grass (U+4571)	e495b1
䕲	Artemisia, a kind of plant with edible leaves (U+4572)	e495b2
䕳	name of a variety of grass (U+4573)	e495b3
䕴	a second for monkshood ( 附子); Chinese herb medicine (U+4574)	e495b4
䕵	name of a variety of grass; a second name for (葒草) polygonum orientale (U+4575)	e495b5
䕶	name of a variety of grass (U+4576)	e495b6
䕷	a kind of plant; putchuck, the root of a species of thistle found in Cashmere; roseleaf raspberry (Rubus rosaefolius var. Coronarius) (U+4577)	e495b7
䕸	(same as U+7A2D 秸) wheat straw; the stem of hem (U+4578)	e495b8
䕹	a curtain; a shade; screen; blinds (U+4579)	e495b9
䕺	dense growth; lush growth or the grass, a tree; a numerary auxiliary for counting trees or similar things, roots that grow above ground (U+457A)	e495ba
䕻	to adhere to; to stick together (U+457B)	e495bb
䕼	name of a variety of grass (U+457C)	e495bc
䕽	the rhododendron -- it is said to cause sheep to stagger and die, hence the name (U+457D)	e495bd
䕾	(ancient form of 荶) a kind of vegetable; something like garlic; growing in the water, name of a variety of grass (U+457E)	e495be
䕿	name of a variety of grass (U+457F)	e495bf
䖀	(same as 虈) angelica; the root of Dahurian angelica (U+4580)	e49680
䖁	number, to count; to enumerate (U+4581)	e49681
䖂	an edible water-plant -- Brasenia purpurca (U+4582)	e49682
䖃	the water is waving in the breeze, old and desolate; rags and rubbish (U+4583)	e49683
䖄	(ancient standard form of 然 燃) to burn; to ignite; to light (U+4584)	e49684
䖅	name of a variety of grass; nasturtium (U+4585)	e49685
䖆	medicinal herb; a kind of vegetable, salted vegetables (U+4586)	e49686
䖇	fragrant herb; fragrant plant; tulip (U+4587)	e49687
䖈	(same as U+8650 虐) cruel; ferocious; atrocious (U+4588)	e49688
䖉	(of tiger) to roar or howl (U+4589)	e49689
䖊	tiger-like (U+458A)	e4968a
䖋	(same as U+8650 虐) cruel; ferocious; atrocious (U+458B)	e4968b
䖌	of tiger, to roar (U+458C)	e4968c
䖍	(same as 虔) to act with reverence, devout; sincere (U+458D)	e4968d
䖎	tiger (U+458E)	e4968e
䖏	(same as U+8655 處) to dwell; to abide in; to stay on; to be at rest in; to occupy, a place; an office; a department (U+458F)	e4968f
䖐	sound of a tiger (U+4590)	e49690
䖑	a white tiger (U+4591)	e49691
䖒	earthenware with the shape of a bean; used in ancient times (U+4592)	e49692
䖓	of a walking tiger (U+4593)	e49693
䖔	a kind of white tiger, an angry tiger, sound of a tiger (U+4594)	e49694
䖕	a tiger (U+4595)	e49695
䖖	(same as 狎) to show familiarity, intimacy, or disrespect (of a tiger) (U+4596)	e49696
䖗	strong; great fighters or warriors -- the bear and the tiger (U+4597)	e49697
䖘	a tiger (U+4598)	e49698
䖙	a resting tiger; a tiger to lie down and take some rest (U+4599)	e49699
䖚	a tiger (U+459A)	e4969a
䖛	of tiger (U+459B)	e4969b
䖜	the fighting sound made by two tigers (U+459C)	e4969c
䖝	(corrupted form of 虫 蟲) insects; worms (U+459D)	e4969d
䖞	a sea-insect; in the shape of a human's elbow (U+459E)	e4969e
䖟	(non-classical form of U+8771 虻) a gadfly (U+459F)	e4969f
䖠	(non-classical form of 螈) a kind of lizard found in damp places; Diemyctylus pyrrhogaster, a kind of amphibious reptile (U+45A0)	e496a0
䖡	millipede (U+45A1)	e496a1
䖢	first-born silkworm (U+45A2)	e496a2
䖣	(same as U+86A4 蚤) flea, to scratch, the mortices in the hub for the spokes of the wheel (U+45A3)	e496a3
䖤	(same as 蜿) to creep; to wriggle (U+45A4)	e496a4
䖥	(same as 蟊) insects that are injurious to crops (U+45A5)	e496a5
䖦	scorpion; a grub which bores into trees and destroys them, a kind of spider (U+45A6)	e496a6
䖧	a poisonous insect; scorpion; to sting; prick of a poisonous insect; venomous sting, to ache (U+45A7)	e496a7
䖨	mantis, (same as 蟅) ground beetle (Eupolyphage sinensis) (U+45A8)	e496a8
䖩	a kind of bee; black bee (U+45A9)	e496a9
䖪	(same as 蠀) grub ( a kind of larva); maggots, looper; inchworm; geometer (U+45AA)	e496aa
䖫	(same as 蚌) oyster (U+45AB)	e496ab
䖬	U+45AC (U+45AC)	e496ac
䖭	grub (a kind of larva), second for spider, a variety of spider; octopus; a long-legged spider (U+45AD)	e496ad
䖮	(same as 蠁) larvae; grubs (U+45AE)	e496ae
䖯	poisonous insect, (same as 奎) one of the 28 constellations which ancient Chinese astrologers believed to control the literary trends of the world, (same as 蛙) frog (U+45AF)	e496af
䖰	a kind of gnat; a small flying insect (U+45B0)	e496b0
䖱	large shrimp in the sea (U+45B1)	e496b1
䖲	a kind of insect (looks like cicada) (U+45B2)	e496b2
䖳	jelly-fish; sea-blubber, (interchangeable 虴) looks like grasshopper but smaller (U+45B3)	e496b3
䖴	a kind of insect, (non-classical form of 珧) scallops, found in abundance in the China Sea; the shells contain mother-of-pearl, and the compressor muscle or ligament is dried and imported into China as Compoy ( 干貝); also called ( 江瑤柱) it is highly esteemed as an article of food, both in China and Japan (U+45B4)	e496b4
䖵	insects (U+45B5)	e496b5
䖶	(of a hog:) to root (rout) earth with the snout; animal of the hedgehog family (U+45B6)	e496b6
䖷	a kind of insect (U+45B7)	e496b7
䖸	(same as 蛾) moth (U+45B8)	e496b8
䖹	(interchangeable 蛘) weevil (U+45B9)	e496b9
䖺	a legendary animal in ancient times (U+45BA)	e496ba
䖻	ephemera; ephemerid; May fly, poison of the snake (U+45BB)	e496bb
䖼	the dung beetle, scarabaeus; the scavenger beetle (U+45BC)	e496bc
䖽	(same as 蜊) a kind of clam with thick white shells (U+45BD)	e496bd
䖾	U+45BE (U+45BE)	e496be
䖿	(same as 蜊) a kind of clam with thick white shells (U+45BF)	e496bf
䗀	a kind of clam (U+45C0)	e49780
䗁	a kind of cicada, long-legged spider (U+45C1)	e49781
䗂	Diemyctylus pyrrhogaster, a kind of amphibious reptile, a kind of spider; a fly-eating spider (U+45C2)	e49782
䗃	the millipede, a kind of cicada; big and with black color (U+45C3)	e49783
䗄	a kind of insect; golden beetle (U+45C4)	e49784
䗅	millipede, (of a road) winding; zigzag (U+45C5)	e49785
䗆	a kind of insect, ant (U+45C6)	e49786
䗇	the toad (especially in reference to the one supposed to live on the moon), earthworm (U+45C7)	e49787
䗈	(non-classical form of U+8771 虻) a gadfly (U+45C8)	e49788
䗉	a small solitary wasp (U+45C9)	e49789
䗊	to put out the tongue (said of animal) (U+45CA)	e4978a
䗋	a marine crab (U+45CB)	e4978b
䗌	dragonfly (U+45CC)	e4978c
䗍	(same as 蠡) wood-boring insect, (of insects) to bore or eat wood, a tribe of the huns (U+45CD)	e4978d
䗎	a kind of insect (U+45CE)	e4978e
䗏	name of a insect; a black insect with six legs, capable of ejecting poison for self-defense; the spider millipede (U+45CF)	e4978f
䗐	a weevil found in rice, etc. (U+45D0)	e49790
䗑	firefly (U+45D1)	e49791
䗒	a kind of clam; long and narrow (U+45D2)	e49792
䗓	dragonfly (U+45D3)	e49793
䗔	a house-lizard or gecko, a kind of insect; living in the water (U+45D4)	e49794
䗕	(same as 蜿) bends; turns; curves; turns and twists, to circle; to hover around, a name for the earthworm (U+45D5)	e49795
䗖	rainbow (U+45D6)	e49796
䗗	(same as 蚈) the millipede, firefly (U+45D7)	e49797
䗘	a weevil (U+45D8)	e49798
䗙	earthworm (U+45D9)	e49799
䗚	eggs of mantis; chrysalis (U+45DA)	e4979a
䗛	a kind of insect (U+45DB)	e4979b
䗜	a mole-cricket, a kind of insect; (same as U+45BB 䖻) ephemera; ephemerid; mayfly; snake poison (U+45DC)	e4979c
䗝	(non-classical form of 蠶) silkworm (U+45DD)	e4979d
䗞	(same as 蠶) silkworm (U+45DE)	e4979e
䗟	a kind of insect (U+45DF)	e4979f
䗠	the larva of mosquitoes (U+45E0)	e497a0
䗡	a kind of insect, name of a place recorded in ancient books (U+45E1)	e497a1
䗢	(same as 蚤) flea (U+45E2)	e497a2
䗣	insect of mulberry, insects that damage to the melons (U+45E3)	e497a3
