𩽯	U+29F6F (U+29F6F)	f0a9bdaf
𩾨	U+29FA8 (U+29FA8)	f0a9bea8
𩾩	U+29FA9 (U+29FA9)	f0a9bea9
𩾪	U+29FAA (U+29FAA)	f0a9beaa
𩾫	U+29FAB (U+29FAB)	f0a9beab
𩾬	U+29FAC (U+29FAC)	f0a9beac
𩾭	U+29FAD (U+29FAD)	f0a9bead
𩾮	U+29FAE (U+29FAE)	f0a9beae
𩾯	U+29FAF (U+29FAF)	f0a9beaf
𩾰	U+29FB0 (U+29FB0)	f0a9beb0
𩾱	U+29FB1 (U+29FB1)	f0a9beb1
𩾲	U+29FB2 (U+29FB2)	f0a9beb2
𩾳	U+29FB3 (U+29FB3)	f0a9beb3
𩾴	U+29FB4 (U+29FB4)	f0a9beb4
𩾵	U+29FB5 (U+29FB5)	f0a9beb5
𩾶	U+29FB6 (U+29FB6)	f0a9beb6
𩾷	U+29FB7 (U+29FB7)	f0a9beb7
𩾸	U+29FB8 (U+29FB8)	f0a9beb8
𩾹	U+29FB9 (U+29FB9)	f0a9beb9
𩾺	U+29FBA (U+29FBA)	f0a9beba
𩾻	U+29FBB (U+29FBB)	f0a9bebb
𩾼	U+29FBC (U+29FBC)	f0a9bebc
𩾽	U+29FBD (U+29FBD)	f0a9bebd
𩾾	U+29FBE (U+29FBE)	f0a9bebe
𩾿	U+29FBF (U+29FBF)	f0a9bebf
𩿀	U+29FC0 (U+29FC0)	f0a9bf80
𩿁	U+29FC1 (U+29FC1)	f0a9bf81
𩿂	U+29FC2 (U+29FC2)	f0a9bf82
𩿃	U+29FC3 (U+29FC3)	f0a9bf83
𩿄	U+29FC4 (U+29FC4)	f0a9bf84
𩿅	U+29FC5 (U+29FC5)	f0a9bf85
𩿆	U+29FC6 (U+29FC6)	f0a9bf86
𩿇	U+29FC7 (U+29FC7)	f0a9bf87
𩿈	U+29FC8 (U+29FC8)	f0a9bf88
𩿉	U+29FC9 (U+29FC9)	f0a9bf89
𩿊	U+29FCA (U+29FCA)	f0a9bf8a
𩿋	U+29FCB (U+29FCB)	f0a9bf8b
𩿌	U+29FCC (U+29FCC)	f0a9bf8c
𩿍	U+29FCD (U+29FCD)	f0a9bf8d
𩿎	U+29FCE (U+29FCE)	f0a9bf8e
𩿏	U+29FCF (U+29FCF)	f0a9bf8f
𩿐	U+29FD0 (U+29FD0)	f0a9bf90
𩿑	U+29FD1 (U+29FD1)	f0a9bf91
𩿒	U+29FD2 (U+29FD2)	f0a9bf92
𩿓	U+29FD3 (U+29FD3)	f0a9bf93
𩿔	U+29FD4 (U+29FD4)	f0a9bf94
𩿕	U+29FD5 (U+29FD5)	f0a9bf95
𩿖	U+29FD6 (U+29FD6)	f0a9bf96
𩿗	U+29FD7 (U+29FD7)	f0a9bf97
𩿘	U+29FD8 (U+29FD8)	f0a9bf98
𩿙	U+29FD9 (U+29FD9)	f0a9bf99
𩿚	U+29FDA (U+29FDA)	f0a9bf9a
𩿛	U+29FDB (U+29FDB)	f0a9bf9b
𩿜	U+29FDC (U+29FDC)	f0a9bf9c
𩿝	U+29FDD (U+29FDD)	f0a9bf9d
𩿞	U+29FDE (U+29FDE)	f0a9bf9e
𩿟	U+29FDF (U+29FDF)	f0a9bf9f
𩿠	U+29FE0 (U+29FE0)	f0a9bfa0
𩿡	U+29FE1 (U+29FE1)	f0a9bfa1
𩿢	U+29FE2 (U+29FE2)	f0a9bfa2
𩿣	U+29FE3 (U+29FE3)	f0a9bfa3
𩿤	U+29FE4 (U+29FE4)	f0a9bfa4
𩿥	U+29FE5 (U+29FE5)	f0a9bfa5
𩿦	U+29FE6 (U+29FE6)	f0a9bfa6
𩿧	U+29FE7 (U+29FE7)	f0a9bfa7
𩿨	U+29FE8 (U+29FE8)	f0a9bfa8
𩿩	U+29FE9 (U+29FE9)	f0a9bfa9
𩿪	U+29FEA (U+29FEA)	f0a9bfaa
𩿫	U+29FEB (U+29FEB)	f0a9bfab
𩿬	U+29FEC (U+29FEC)	f0a9bfac
𩿭	U+29FED (U+29FED)	f0a9bfad
𩿮	U+29FEE (U+29FEE)	f0a9bfae
𩿯	U+29FEF (U+29FEF)	f0a9bfaf
𩿰	U+29FF0 (U+29FF0)	f0a9bfb0
𩿱	U+29FF1 (U+29FF1)	f0a9bfb1
𩿲	U+29FF2 (U+29FF2)	f0a9bfb2
𩿳	U+29FF3 (U+29FF3)	f0a9bfb3
𩿴	U+29FF4 (U+29FF4)	f0a9bfb4
𩿵	U+29FF5 (U+29FF5)	f0a9bfb5
𩿶	U+29FF6 (U+29FF6)	f0a9bfb6
𩿷	U+29FF7 (U+29FF7)	f0a9bfb7
𩿸	U+29FF8 (U+29FF8)	f0a9bfb8
𩿹	U+29FF9 (U+29FF9)	f0a9bfb9
𩿺	U+29FFA (U+29FFA)	f0a9bfba
𩿻	U+29FFB (U+29FFB)	f0a9bfbb
𩿼	U+29FFC (U+29FFC)	f0a9bfbc
𩿽	U+29FFD (U+29FFD)	f0a9bfbd
𩿾	U+29FFE (U+29FFE)	f0a9bfbe
𩿿	U+29FFF (U+29FFF)	f0a9bfbf
𪀀	U+2A000 (U+2A000)	f0aa8080
𪀁	U+2A001 (U+2A001)	f0aa8081
𪀂	U+2A002 (U+2A002)	f0aa8082
𪀃	U+2A003 (U+2A003)	f0aa8083
𪀄	U+2A004 (U+2A004)	f0aa8084
𪀅	U+2A005 (U+2A005)	f0aa8085
𪀆	U+2A006 (U+2A006)	f0aa8086
𪀇	U+2A007 (U+2A007)	f0aa8087
𪀈	U+2A008 (U+2A008)	f0aa8088
𪀉	U+2A009 (U+2A009)	f0aa8089
𪀊	U+2A00A (U+2A00A)	f0aa808a
𪀋	U+2A00B (U+2A00B)	f0aa808b
𪀌	U+2A00C (U+2A00C)	f0aa808c
𪀍	U+2A00D (U+2A00D)	f0aa808d
𪀎	U+2A00E (U+2A00E)	f0aa808e
𪀏	U+2A00F (U+2A00F)	f0aa808f
𪀐	U+2A010 (U+2A010)	f0aa8090
𪀑	U+2A011 (U+2A011)	f0aa8091
𪀒	variant of 鴟 U+9D1F, a kite (bird) (U+2A012)	f0aa8092
𪀓	U+2A013 (U+2A013)	f0aa8093
𪀔	U+2A014 (U+2A014)	f0aa8094
𪀕	U+2A015 (U+2A015)	f0aa8095
𪀖	U+2A016 (U+2A016)	f0aa8096
𪀗	U+2A017 (U+2A017)	f0aa8097
𪀘	U+2A018 (U+2A018)	f0aa8098
𪀙	U+2A019 (U+2A019)	f0aa8099
𪀚	U+2A01A (U+2A01A)	f0aa809a
𪀛	U+2A01B (U+2A01B)	f0aa809b
𪀜	U+2A01C (U+2A01C)	f0aa809c
𪀝	U+2A01D (U+2A01D)	f0aa809d
𪀞	U+2A01E (U+2A01E)	f0aa809e
𪀟	U+2A01F (U+2A01F)	f0aa809f
𪀠	U+2A020 (U+2A020)	f0aa80a0
𪀡	U+2A021 (U+2A021)	f0aa80a1
𪀢	U+2A022 (U+2A022)	f0aa80a2
𪀣	U+2A023 (U+2A023)	f0aa80a3
𪀤	U+2A024 (U+2A024)	f0aa80a4
𪀥	U+2A025 (U+2A025)	f0aa80a5
𪀦	U+2A026 (U+2A026)	f0aa80a6
𪀧	U+2A027 (U+2A027)	f0aa80a7
𪀨	U+2A028 (U+2A028)	f0aa80a8
𪀩	U+2A029 (U+2A029)	f0aa80a9
𪀪	U+2A02A (U+2A02A)	f0aa80aa
𪀫	U+2A02B (U+2A02B)	f0aa80ab
𪀬	U+2A02C (U+2A02C)	f0aa80ac
𪀭	U+2A02D (U+2A02D)	f0aa80ad
𪀮	U+2A02E (U+2A02E)	f0aa80ae
𪀯	U+2A02F (U+2A02F)	f0aa80af
𪀰	U+2A030 (U+2A030)	f0aa80b0
𪀱	U+2A031 (U+2A031)	f0aa80b1
𪀲	U+2A032 (U+2A032)	f0aa80b2
𪀳	U+2A033 (U+2A033)	f0aa80b3
𪀴	U+2A034 (U+2A034)	f0aa80b4
𪀵	U+2A035 (U+2A035)	f0aa80b5
𪀶	U+2A036 (U+2A036)	f0aa80b6
𪀷	U+2A037 (U+2A037)	f0aa80b7
𪀸	U+2A038 (U+2A038)	f0aa80b8
𪀹	U+2A039 (U+2A039)	f0aa80b9
𪀺	U+2A03A (U+2A03A)	f0aa80ba
𪀻	U+2A03B (U+2A03B)	f0aa80bb
𪀼	U+2A03C (U+2A03C)	f0aa80bc
𪀽	U+2A03D (U+2A03D)	f0aa80bd
𪀾	U+2A03E (U+2A03E)	f0aa80be
𪀿	U+2A03F (U+2A03F)	f0aa80bf
𪁀	U+2A040 (U+2A040)	f0aa8180
𪁁	U+2A041 (U+2A041)	f0aa8181
𪁂	U+2A042 (U+2A042)	f0aa8182
𪁃	U+2A043 (U+2A043)	f0aa8183
𪁄	U+2A044 (U+2A044)	f0aa8184
𪁅	U+2A045 (U+2A045)	f0aa8185
𪁆	U+2A046 (U+2A046)	f0aa8186
𪁇	U+2A047 (U+2A047)	f0aa8187
𪁈	U+2A048 (U+2A048)	f0aa8188
𪁉	U+2A049 (U+2A049)	f0aa8189
𪁊	U+2A04A (U+2A04A)	f0aa818a
𪁋	U+2A04B (U+2A04B)	f0aa818b
𪁌	U+2A04C (U+2A04C)	f0aa818c
𪁍	U+2A04D (U+2A04D)	f0aa818d
𪁎	U+2A04E (U+2A04E)	f0aa818e
𪁏	U+2A04F (U+2A04F)	f0aa818f
𪁐	U+2A050 (U+2A050)	f0aa8190
𪁑	U+2A051 (U+2A051)	f0aa8191
𪁒	U+2A052 (U+2A052)	f0aa8192
𪁓	U+2A053 (U+2A053)	f0aa8193
𪁔	U+2A054 (U+2A054)	f0aa8194
𪁕	U+2A055 (U+2A055)	f0aa8195
𪁖	U+2A056 (U+2A056)	f0aa8196
𪁗	U+2A057 (U+2A057)	f0aa8197
𪁘	U+2A058 (U+2A058)	f0aa8198
𪁙	U+2A059 (U+2A059)	f0aa8199
𪁚	U+2A05A (U+2A05A)	f0aa819a
𪁛	U+2A05B (U+2A05B)	f0aa819b
𪁜	U+2A05C (U+2A05C)	f0aa819c
𪁝	U+2A05D (U+2A05D)	f0aa819d
𪁞	U+2A05E (U+2A05E)	f0aa819e
𪁟	U+2A05F (U+2A05F)	f0aa819f
𪁠	U+2A060 (U+2A060)	f0aa81a0
𪁡	U+2A061 (U+2A061)	f0aa81a1
𪁢	U+2A062 (U+2A062)	f0aa81a2
𪁣	U+2A063 (U+2A063)	f0aa81a3
𪁤	U+2A064 (U+2A064)	f0aa81a4
𪁥	U+2A065 (U+2A065)	f0aa81a5
𪁦	U+2A066 (U+2A066)	f0aa81a6
𪁧	U+2A067 (U+2A067)	f0aa81a7
𪁨	U+2A068 (U+2A068)	f0aa81a8
𪁩	U+2A069 (U+2A069)	f0aa81a9
𪁪	U+2A06A (U+2A06A)	f0aa81aa
𪁫	U+2A06B (U+2A06B)	f0aa81ab
𪁬	U+2A06C (U+2A06C)	f0aa81ac
𪁭	U+2A06D (U+2A06D)	f0aa81ad
𪁮	U+2A06E (U+2A06E)	f0aa81ae
𪁯	U+2A06F (U+2A06F)	f0aa81af
𪁰	U+2A070 (U+2A070)	f0aa81b0
𪁱	U+2A071 (U+2A071)	f0aa81b1
𪁲	U+2A072 (U+2A072)	f0aa81b2
𪁳	U+2A073 (U+2A073)	f0aa81b3
𪁴	U+2A074 (U+2A074)	f0aa81b4
𪁵	U+2A075 (U+2A075)	f0aa81b5
𪁶	U+2A076 (U+2A076)	f0aa81b6
𪁷	U+2A077 (U+2A077)	f0aa81b7
𪁸	U+2A078 (U+2A078)	f0aa81b8
𪁹	U+2A079 (U+2A079)	f0aa81b9
𪁺	U+2A07A (U+2A07A)	f0aa81ba
𪁻	U+2A07B (U+2A07B)	f0aa81bb
𪁼	U+2A07C (U+2A07C)	f0aa81bc
𪁽	U+2A07D (U+2A07D)	f0aa81bd
𪁾	U+2A07E (U+2A07E)	f0aa81be
𪁿	U+2A07F (U+2A07F)	f0aa81bf
𪂀	U+2A080 (U+2A080)	f0aa8280
𪂁	U+2A081 (U+2A081)	f0aa8281
𪂂	U+2A082 (U+2A082)	f0aa8282
𪂃	U+2A083 (U+2A083)	f0aa8283
𪂄	U+2A084 (U+2A084)	f0aa8284
𪂅	U+2A085 (U+2A085)	f0aa8285
𪂆	U+2A086 (U+2A086)	f0aa8286
𪂇	U+2A087 (U+2A087)	f0aa8287
𪂈	U+2A088 (U+2A088)	f0aa8288
𪂉	U+2A089 (U+2A089)	f0aa8289
𪂊	U+2A08A (U+2A08A)	f0aa828a
𪂋	U+2A08B (U+2A08B)	f0aa828b
𪂌	U+2A08C (U+2A08C)	f0aa828c
𪂍	U+2A08D (U+2A08D)	f0aa828d
𪂎	U+2A08E (U+2A08E)	f0aa828e
𪂏	U+2A08F (U+2A08F)	f0aa828f
𪂐	U+2A090 (U+2A090)	f0aa8290
𪂑	U+2A091 (U+2A091)	f0aa8291
𪂒	U+2A092 (U+2A092)	f0aa8292
𪂓	U+2A093 (U+2A093)	f0aa8293
𪂔	U+2A094 (U+2A094)	f0aa8294
𪂕	U+2A095 (U+2A095)	f0aa8295
𪂖	U+2A096 (U+2A096)	f0aa8296
𪂗	U+2A097 (U+2A097)	f0aa8297
𪂘	U+2A098 (U+2A098)	f0aa8298
𪂙	U+2A099 (U+2A099)	f0aa8299
𪂚	U+2A09A (U+2A09A)	f0aa829a
𪂛	U+2A09B (U+2A09B)	f0aa829b
𪂜	U+2A09C (U+2A09C)	f0aa829c
𪂝	U+2A09D (U+2A09D)	f0aa829d
𪂞	U+2A09E (U+2A09E)	f0aa829e
𪂟	U+2A09F (U+2A09F)	f0aa829f
𪂠	U+2A0A0 (U+2A0A0)	f0aa82a0
𪂡	U+2A0A1 (U+2A0A1)	f0aa82a1
𪂢	U+2A0A2 (U+2A0A2)	f0aa82a2
𪂣	U+2A0A3 (U+2A0A3)	f0aa82a3
𪂤	U+2A0A4 (U+2A0A4)	f0aa82a4
𪂥	U+2A0A5 (U+2A0A5)	f0aa82a5
𪂦	U+2A0A6 (U+2A0A6)	f0aa82a6
𪂧	U+2A0A7 (U+2A0A7)	f0aa82a7
𪂨	U+2A0A8 (U+2A0A8)	f0aa82a8
𪂩	U+2A0A9 (U+2A0A9)	f0aa82a9
𪂪	U+2A0AA (U+2A0AA)	f0aa82aa
𪂫	U+2A0AB (U+2A0AB)	f0aa82ab
𪂬	U+2A0AC (U+2A0AC)	f0aa82ac
𪂭	U+2A0AD (U+2A0AD)	f0aa82ad
𪂮	U+2A0AE (U+2A0AE)	f0aa82ae
𪂯	U+2A0AF (U+2A0AF)	f0aa82af
𪂰	U+2A0B0 (U+2A0B0)	f0aa82b0
𪂱	U+2A0B1 (U+2A0B1)	f0aa82b1
𪂲	U+2A0B2 (U+2A0B2)	f0aa82b2
𪂳	U+2A0B3 (U+2A0B3)	f0aa82b3
𪂴	U+2A0B4 (U+2A0B4)	f0aa82b4
𪂵	U+2A0B5 (U+2A0B5)	f0aa82b5
𪂶	U+2A0B6 (U+2A0B6)	f0aa82b6
𪂷	U+2A0B7 (U+2A0B7)	f0aa82b7
𪂸	U+2A0B8 (U+2A0B8)	f0aa82b8
𪂹	U+2A0B9 (U+2A0B9)	f0aa82b9
𪂺	U+2A0BA (U+2A0BA)	f0aa82ba
𪂻	U+2A0BB (U+2A0BB)	f0aa82bb
𪂼	U+2A0BC (U+2A0BC)	f0aa82bc
𪂽	U+2A0BD (U+2A0BD)	f0aa82bd
𪂾	U+2A0BE (U+2A0BE)	f0aa82be
𪂿	U+2A0BF (U+2A0BF)	f0aa82bf
𪃀	U+2A0C0 (U+2A0C0)	f0aa8380
𪃁	U+2A0C1 (U+2A0C1)	f0aa8381
𪃂	U+2A0C2 (U+2A0C2)	f0aa8382
𪃃	U+2A0C3 (U+2A0C3)	f0aa8383
𪃄	U+2A0C4 (U+2A0C4)	f0aa8384
𪃅	U+2A0C5 (U+2A0C5)	f0aa8385
𪃆	U+2A0C6 (U+2A0C6)	f0aa8386
𪃇	U+2A0C7 (U+2A0C7)	f0aa8387
𪃈	U+2A0C8 (U+2A0C8)	f0aa8388
𪃉	U+2A0C9 (U+2A0C9)	f0aa8389
𪃊	U+2A0CA (U+2A0CA)	f0aa838a
𪃋	U+2A0CB (U+2A0CB)	f0aa838b
𪃌	U+2A0CC (U+2A0CC)	f0aa838c
𪃍	U+2A0CD (U+2A0CD)	f0aa838d
𪃎	U+2A0CE (U+2A0CE)	f0aa838e
𪃏	U+2A0CF (U+2A0CF)	f0aa838f
𪃐	U+2A0D0 (U+2A0D0)	f0aa8390
𪃑	U+2A0D1 (U+2A0D1)	f0aa8391
𪃒	U+2A0D2 (U+2A0D2)	f0aa8392
𪃓	U+2A0D3 (U+2A0D3)	f0aa8393
𪃔	U+2A0D4 (U+2A0D4)	f0aa8394
𪃕	U+2A0D5 (U+2A0D5)	f0aa8395
𪃖	U+2A0D6 (U+2A0D6)	f0aa8396
𪃗	U+2A0D7 (U+2A0D7)	f0aa8397
𪃘	U+2A0D8 (U+2A0D8)	f0aa8398
𪃙	U+2A0D9 (U+2A0D9)	f0aa8399
𪃚	U+2A0DA (U+2A0DA)	f0aa839a
𪃛	U+2A0DB (U+2A0DB)	f0aa839b
𪃜	U+2A0DC (U+2A0DC)	f0aa839c
𪃝	U+2A0DD (U+2A0DD)	f0aa839d
𪃞	U+2A0DE (U+2A0DE)	f0aa839e
𪃟	U+2A0DF (U+2A0DF)	f0aa839f
𪃠	U+2A0E0 (U+2A0E0)	f0aa83a0
𪃡	U+2A0E1 (U+2A0E1)	f0aa83a1
𪃢	U+2A0E2 (U+2A0E2)	f0aa83a2
𪃣	U+2A0E3 (U+2A0E3)	f0aa83a3
𪃤	U+2A0E4 (U+2A0E4)	f0aa83a4
𪃥	U+2A0E5 (U+2A0E5)	f0aa83a5
𪃦	U+2A0E6 (U+2A0E6)	f0aa83a6
𪃧	U+2A0E7 (U+2A0E7)	f0aa83a7
𪃨	U+2A0E8 (U+2A0E8)	f0aa83a8
𪃩	U+2A0E9 (U+2A0E9)	f0aa83a9
𪃪	U+2A0EA (U+2A0EA)	f0aa83aa
𪃫	U+2A0EB (U+2A0EB)	f0aa83ab
𪃬	U+2A0EC (U+2A0EC)	f0aa83ac
𪃭	U+2A0ED (U+2A0ED)	f0aa83ad
𪃮	U+2A0EE (U+2A0EE)	f0aa83ae
𪃯	U+2A0EF (U+2A0EF)	f0aa83af
𪃰	U+2A0F0 (U+2A0F0)	f0aa83b0
𪃱	U+2A0F1 (U+2A0F1)	f0aa83b1
𪃲	U+2A0F2 (U+2A0F2)	f0aa83b2
𪃳	U+2A0F3 (U+2A0F3)	f0aa83b3
𪃴	U+2A0F4 (U+2A0F4)	f0aa83b4
𪃵	U+2A0F5 (U+2A0F5)	f0aa83b5
𪃶	U+2A0F6 (U+2A0F6)	f0aa83b6
𪃷	U+2A0F7 (U+2A0F7)	f0aa83b7
𪃸	U+2A0F8 (U+2A0F8)	f0aa83b8
𪃹	U+2A0F9 (U+2A0F9)	f0aa83b9
𪃺	U+2A0FA (U+2A0FA)	f0aa83ba
𪃻	U+2A0FB (U+2A0FB)	f0aa83bb
𪃼	U+2A0FC (U+2A0FC)	f0aa83bc
𪃽	U+2A0FD (U+2A0FD)	f0aa83bd
𪃾	U+2A0FE (U+2A0FE)	f0aa83be
𪃿	a goose (U+2A0FF)	f0aa83bf
𪄀	U+2A100 (U+2A100)	f0aa8480
𪄁	U+2A101 (U+2A101)	f0aa8481
𪄂	U+2A102 (U+2A102)	f0aa8482
𪄃	U+2A103 (U+2A103)	f0aa8483
𪄄	U+2A104 (U+2A104)	f0aa8484
𪄅	U+2A105 (U+2A105)	f0aa8485
𪄆	U+2A106 (U+2A106)	f0aa8486
𪄇	U+2A107 (U+2A107)	f0aa8487
𪄈	U+2A108 (U+2A108)	f0aa8488
𪄉	U+2A109 (U+2A109)	f0aa8489
𪄊	U+2A10A (U+2A10A)	f0aa848a
𪄋	U+2A10B (U+2A10B)	f0aa848b
𪄌	U+2A10C (U+2A10C)	f0aa848c
𪄍	U+2A10D (U+2A10D)	f0aa848d
𪄎	U+2A10E (U+2A10E)	f0aa848e
𪄏	U+2A10F (U+2A10F)	f0aa848f
𪄐	U+2A110 (U+2A110)	f0aa8490
𪄑	U+2A111 (U+2A111)	f0aa8491
𪄒	U+2A112 (U+2A112)	f0aa8492
𪄓	U+2A113 (U+2A113)	f0aa8493
𪄔	U+2A114 (U+2A114)	f0aa8494
𪄕	U+2A115 (U+2A115)	f0aa8495
𪄖	U+2A116 (U+2A116)	f0aa8496
𪄗	U+2A117 (U+2A117)	f0aa8497
𪄘	U+2A118 (U+2A118)	f0aa8498
𪄙	U+2A119 (U+2A119)	f0aa8499
𪄚	U+2A11A (U+2A11A)	f0aa849a
𪄛	U+2A11B (U+2A11B)	f0aa849b
𪄜	U+2A11C (U+2A11C)	f0aa849c
𪄝	U+2A11D (U+2A11D)	f0aa849d
𪄞	U+2A11E (U+2A11E)	f0aa849e
𪄟	U+2A11F (U+2A11F)	f0aa849f
𪄠	U+2A120 (U+2A120)	f0aa84a0
𪄡	U+2A121 (U+2A121)	f0aa84a1
𪄢	U+2A122 (U+2A122)	f0aa84a2
𪄣	U+2A123 (U+2A123)	f0aa84a3
𪄤	U+2A124 (U+2A124)	f0aa84a4
𪄥	U+2A125 (U+2A125)	f0aa84a5
𪄦	U+2A126 (U+2A126)	f0aa84a6
𪄧	U+2A127 (U+2A127)	f0aa84a7
𪄨	U+2A128 (U+2A128)	f0aa84a8
𪄩	U+2A129 (U+2A129)	f0aa84a9
𪄪	U+2A12A (U+2A12A)	f0aa84aa
𪄫	U+2A12B (U+2A12B)	f0aa84ab
𪄬	U+2A12C (U+2A12C)	f0aa84ac
𪄭	U+2A12D (U+2A12D)	f0aa84ad
𪄮	U+2A12E (U+2A12E)	f0aa84ae
𪄯	U+2A12F (U+2A12F)	f0aa84af
𪄰	U+2A130 (U+2A130)	f0aa84b0
𪄱	U+2A131 (U+2A131)	f0aa84b1
𪄲	U+2A132 (U+2A132)	f0aa84b2
𪄳	U+2A133 (U+2A133)	f0aa84b3
𪄴	U+2A134 (U+2A134)	f0aa84b4
𪄵	U+2A135 (U+2A135)	f0aa84b5
𪄶	U+2A136 (U+2A136)	f0aa84b6
𪄷	U+2A137 (U+2A137)	f0aa84b7
𪄸	U+2A138 (U+2A138)	f0aa84b8
𪄹	U+2A139 (U+2A139)	f0aa84b9
𪄺	U+2A13A (U+2A13A)	f0aa84ba
𪄻	U+2A13B (U+2A13B)	f0aa84bb
𪄼	U+2A13C (U+2A13C)	f0aa84bc
𪄽	U+2A13D (U+2A13D)	f0aa84bd
𪄾	U+2A13E (U+2A13E)	f0aa84be
𪄿	U+2A13F (U+2A13F)	f0aa84bf
𪅀	U+2A140 (U+2A140)	f0aa8580
𪅁	U+2A141 (U+2A141)	f0aa8581
𪅂	U+2A142 (U+2A142)	f0aa8582
𪅃	U+2A143 (U+2A143)	f0aa8583
𪅄	U+2A144 (U+2A144)	f0aa8584
𪅅	U+2A145 (U+2A145)	f0aa8585
𪅆	U+2A146 (U+2A146)	f0aa8586
𪅇	U+2A147 (U+2A147)	f0aa8587
𪅈	U+2A148 (U+2A148)	f0aa8588
𪅉	U+2A149 (U+2A149)	f0aa8589
𪅊	U+2A14A (U+2A14A)	f0aa858a
𪅋	U+2A14B (U+2A14B)	f0aa858b
𪅌	U+2A14C (U+2A14C)	f0aa858c
𪅍	U+2A14D (U+2A14D)	f0aa858d
𪅎	U+2A14E (U+2A14E)	f0aa858e
𪅏	U+2A14F (U+2A14F)	f0aa858f
𪅐	U+2A150 (U+2A150)	f0aa8590
𪅑	U+2A151 (U+2A151)	f0aa8591
𪅒	U+2A152 (U+2A152)	f0aa8592
𪅓	U+2A153 (U+2A153)	f0aa8593
𪅔	U+2A154 (U+2A154)	f0aa8594
𪅕	U+2A155 (U+2A155)	f0aa8595
𪅖	U+2A156 (U+2A156)	f0aa8596
𪅗	U+2A157 (U+2A157)	f0aa8597
𪅘	U+2A158 (U+2A158)	f0aa8598
𪅙	U+2A159 (U+2A159)	f0aa8599
𪅚	U+2A15A (U+2A15A)	f0aa859a
𪅛	U+2A15B (U+2A15B)	f0aa859b
𪅜	U+2A15C (U+2A15C)	f0aa859c
𪅝	U+2A15D (U+2A15D)	f0aa859d
𪅞	U+2A15E (U+2A15E)	f0aa859e
𪅟	U+2A15F (U+2A15F)	f0aa859f
𪅠	U+2A160 (U+2A160)	f0aa85a0
𪅡	U+2A161 (U+2A161)	f0aa85a1
𪅢	U+2A162 (U+2A162)	f0aa85a2
