𥽯	U+25F6F (U+25F6F)	f0a5bdaf
𥿢	U+25FE2 (U+25FE2)	f0a5bfa2
𥿣	U+25FE3 (U+25FE3)	f0a5bfa3
𥿤	U+25FE4 (U+25FE4)	f0a5bfa4
𥿥	U+25FE5 (U+25FE5)	f0a5bfa5
𥿦	U+25FE6 (U+25FE6)	f0a5bfa6
𥿧	U+25FE7 (U+25FE7)	f0a5bfa7
𥿨	U+25FE8 (U+25FE8)	f0a5bfa8
𥿩	U+25FE9 (U+25FE9)	f0a5bfa9
𥿪	U+25FEA (U+25FEA)	f0a5bfaa
𥿫	U+25FEB (U+25FEB)	f0a5bfab
𥿬	U+25FEC (U+25FEC)	f0a5bfac
𥿭	U+25FED (U+25FED)	f0a5bfad
𥿮	U+25FEE (U+25FEE)	f0a5bfae
𥿯	U+25FEF (U+25FEF)	f0a5bfaf
𥿰	U+25FF0 (U+25FF0)	f0a5bfb0
𥿱	U+25FF1 (U+25FF1)	f0a5bfb1
𥿲	U+25FF2 (U+25FF2)	f0a5bfb2
𥿳	U+25FF3 (U+25FF3)	f0a5bfb3
𥿴	U+25FF4 (U+25FF4)	f0a5bfb4
𥿵	U+25FF5 (U+25FF5)	f0a5bfb5
𥿶	U+25FF6 (U+25FF6)	f0a5bfb6
𥿷	U+25FF7 (U+25FF7)	f0a5bfb7
𥿸	U+25FF8 (U+25FF8)	f0a5bfb8
𥿹	U+25FF9 (U+25FF9)	f0a5bfb9
𥿺	U+25FFA (U+25FFA)	f0a5bfba
𥿻	U+25FFB (U+25FFB)	f0a5bfbb
𥿼	U+25FFC (U+25FFC)	f0a5bfbc
𥿽	U+25FFD (U+25FFD)	f0a5bfbd
𥿾	U+25FFE (U+25FFE)	f0a5bfbe
𥿿	U+25FFF (U+25FFF)	f0a5bfbf
𦀀	U+26000 (U+26000)	f0a68080
𦀁	U+26001 (U+26001)	f0a68081
𦀂	U+26002 (U+26002)	f0a68082
𦀃	U+26003 (U+26003)	f0a68083
𦀄	U+26004 (U+26004)	f0a68084
𦀅	U+26005 (U+26005)	f0a68085
𦀆	U+26006 (U+26006)	f0a68086
𦀇	the past; a classic (U+26007)	f0a68087
𦀈	U+26008 (U+26008)	f0a68088
𦀉	U+26009 (U+26009)	f0a68089
𦀊	U+2600A (U+2600A)	f0a6808a
𦀋	U+2600B (U+2600B)	f0a6808b
𦀌	U+2600C (U+2600C)	f0a6808c
𦀍	U+2600D (U+2600D)	f0a6808d
𦀎	U+2600E (U+2600E)	f0a6808e
𦀏	U+2600F (U+2600F)	f0a6808f
𦀐	U+26010 (U+26010)	f0a68090
𦀑	U+26011 (U+26011)	f0a68091
𦀒	U+26012 (U+26012)	f0a68092
𦀓	U+26013 (U+26013)	f0a68093
𦀔	U+26014 (U+26014)	f0a68094
𦀕	U+26015 (U+26015)	f0a68095
𦀖	U+26016 (U+26016)	f0a68096
𦀗	U+26017 (U+26017)	f0a68097
𦀘	U+26018 (U+26018)	f0a68098
𦀙	U+26019 (U+26019)	f0a68099
𦀚	U+2601A (U+2601A)	f0a6809a
𦀛	U+2601B (U+2601B)	f0a6809b
𦀜	U+2601C (U+2601C)	f0a6809c
𦀝	U+2601D (U+2601D)	f0a6809d
𦀞	U+2601E (U+2601E)	f0a6809e
𦀟	U+2601F (U+2601F)	f0a6809f
𦀠	U+26020 (U+26020)	f0a680a0
𦀡	U+26021 (U+26021)	f0a680a1
𦀢	U+26022 (U+26022)	f0a680a2
𦀣	U+26023 (U+26023)	f0a680a3
𦀤	U+26024 (U+26024)	f0a680a4
𦀥	U+26025 (U+26025)	f0a680a5
𦀦	U+26026 (U+26026)	f0a680a6
𦀧	U+26027 (U+26027)	f0a680a7
𦀨	U+26028 (U+26028)	f0a680a8
𦀩	U+26029 (U+26029)	f0a680a9
𦀪	U+2602A (U+2602A)	f0a680aa
𦀫	U+2602B (U+2602B)	f0a680ab
𦀬	U+2602C (U+2602C)	f0a680ac
𦀭	U+2602D (U+2602D)	f0a680ad
𦀮	U+2602E (U+2602E)	f0a680ae
𦀯	U+2602F (U+2602F)	f0a680af
𦀰	U+26030 (U+26030)	f0a680b0
𦀱	U+26031 (U+26031)	f0a680b1
𦀲	U+26032 (U+26032)	f0a680b2
𦀳	U+26033 (U+26033)	f0a680b3
𦀴	U+26034 (U+26034)	f0a680b4
𦀵	U+26035 (U+26035)	f0a680b5
𦀶	U+26036 (U+26036)	f0a680b6
𦀷	U+26037 (U+26037)	f0a680b7
𦀸	U+26038 (U+26038)	f0a680b8
𦀹	U+26039 (U+26039)	f0a680b9
𦀺	U+2603A (U+2603A)	f0a680ba
𦀻	U+2603B (U+2603B)	f0a680bb
𦀼	U+2603C (U+2603C)	f0a680bc
𦀽	U+2603D (U+2603D)	f0a680bd
𦀾	U+2603E (U+2603E)	f0a680be
𦀿	U+2603F (U+2603F)	f0a680bf
𦁀	U+26040 (U+26040)	f0a68180
𦁁	U+26041 (U+26041)	f0a68181
𦁂	U+26042 (U+26042)	f0a68182
𦁃	U+26043 (U+26043)	f0a68183
𦁄	U+26044 (U+26044)	f0a68184
𦁅	U+26045 (U+26045)	f0a68185
𦁆	U+26046 (U+26046)	f0a68186
𦁇	U+26047 (U+26047)	f0a68187
𦁈	U+26048 (U+26048)	f0a68188
𦁉	U+26049 (U+26049)	f0a68189
𦁊	U+2604A (U+2604A)	f0a6818a
𦁋	U+2604B (U+2604B)	f0a6818b
𦁌	U+2604C (U+2604C)	f0a6818c
𦁍	U+2604D (U+2604D)	f0a6818d
𦁎	U+2604E (U+2604E)	f0a6818e
𦁏	U+2604F (U+2604F)	f0a6818f
𦁐	U+26050 (U+26050)	f0a68190
𦁑	U+26051 (U+26051)	f0a68191
𦁒	U+26052 (U+26052)	f0a68192
𦁓	U+26053 (U+26053)	f0a68193
𦁔	U+26054 (U+26054)	f0a68194
𦁕	U+26055 (U+26055)	f0a68195
𦁖	U+26056 (U+26056)	f0a68196
𦁗	U+26057 (U+26057)	f0a68197
𦁘	U+26058 (U+26058)	f0a68198
𦁙	U+26059 (U+26059)	f0a68199
𦁚	U+2605A (U+2605A)	f0a6819a
𦁛	U+2605B (U+2605B)	f0a6819b
𦁜	U+2605C (U+2605C)	f0a6819c
𦁝	U+2605D (U+2605D)	f0a6819d
𦁞	U+2605E (U+2605E)	f0a6819e
𦁟	U+2605F (U+2605F)	f0a6819f
𦁠	U+26060 (U+26060)	f0a681a0
𦁡	U+26061 (U+26061)	f0a681a1
𦁢	U+26062 (U+26062)	f0a681a2
𦁣	U+26063 (U+26063)	f0a681a3
𦁤	U+26064 (U+26064)	f0a681a4
𦁥	U+26065 (U+26065)	f0a681a5
𦁦	U+26066 (U+26066)	f0a681a6
𦁧	U+26067 (U+26067)	f0a681a7
𦁨	U+26068 (U+26068)	f0a681a8
𦁩	U+26069 (U+26069)	f0a681a9
𦁪	U+2606A (U+2606A)	f0a681aa
𦁫	U+2606B (U+2606B)	f0a681ab
𦁬	U+2606C (U+2606C)	f0a681ac
𦁭	U+2606D (U+2606D)	f0a681ad
𦁮	U+2606E (U+2606E)	f0a681ae
𦁯	U+2606F (U+2606F)	f0a681af
𦁰	U+26070 (U+26070)	f0a681b0
𦁱	U+26071 (U+26071)	f0a681b1
𦁲	U+26072 (U+26072)	f0a681b2
𦁳	U+26073 (U+26073)	f0a681b3
𦁴	U+26074 (U+26074)	f0a681b4
𦁵	U+26075 (U+26075)	f0a681b5
𦁶	U+26076 (U+26076)	f0a681b6
𦁷	U+26077 (U+26077)	f0a681b7
𦁸	U+26078 (U+26078)	f0a681b8
𦁹	U+26079 (U+26079)	f0a681b9
𦁺	U+2607A (U+2607A)	f0a681ba
𦁻	U+2607B (U+2607B)	f0a681bb
𦁼	U+2607C (U+2607C)	f0a681bc
𦁽	U+2607D (U+2607D)	f0a681bd
𦁾	U+2607E (U+2607E)	f0a681be
𦁿	U+2607F (U+2607F)	f0a681bf
𦂀	U+26080 (U+26080)	f0a68280
𦂁	U+26081 (U+26081)	f0a68281
𦂂	U+26082 (U+26082)	f0a68282
𦂃	U+26083 (U+26083)	f0a68283
𦂄	U+26084 (U+26084)	f0a68284
𦂅	U+26085 (U+26085)	f0a68285
𦂆	U+26086 (U+26086)	f0a68286
𦂇	U+26087 (U+26087)	f0a68287
𦂈	U+26088 (U+26088)	f0a68288
𦂉	U+26089 (U+26089)	f0a68289
𦂊	U+2608A (U+2608A)	f0a6828a
𦂋	U+2608B (U+2608B)	f0a6828b
𦂌	U+2608C (U+2608C)	f0a6828c
𦂍	U+2608D (U+2608D)	f0a6828d
𦂎	U+2608E (U+2608E)	f0a6828e
𦂏	U+2608F (U+2608F)	f0a6828f
𦂐	U+26090 (U+26090)	f0a68290
𦂑	U+26091 (U+26091)	f0a68291
𦂒	U+26092 (U+26092)	f0a68292
𦂓	U+26093 (U+26093)	f0a68293
𦂔	U+26094 (U+26094)	f0a68294
𦂕	U+26095 (U+26095)	f0a68295
𦂖	U+26096 (U+26096)	f0a68296
𦂗	(Cant.) to tighten (U+26097)	f0a68297
𦂘	U+26098 (U+26098)	f0a68298
𦂙	U+26099 (U+26099)	f0a68299
𦂚	U+2609A (U+2609A)	f0a6829a
𦂛	U+2609B (U+2609B)	f0a6829b
𦂜	U+2609C (U+2609C)	f0a6829c
𦂝	U+2609D (U+2609D)	f0a6829d
𦂞	U+2609E (U+2609E)	f0a6829e
𦂟	U+2609F (U+2609F)	f0a6829f
𦂠	U+260A0 (U+260A0)	f0a682a0
𦂡	U+260A1 (U+260A1)	f0a682a1
𦂢	U+260A2 (U+260A2)	f0a682a2
𦂣	U+260A3 (U+260A3)	f0a682a3
𦂤	U+260A4 (U+260A4)	f0a682a4
𦂥	(Cant.) to drop down (U+260A5)	f0a682a5
𦂦	U+260A6 (U+260A6)	f0a682a6
𦂧	U+260A7 (U+260A7)	f0a682a7
𦂨	U+260A8 (U+260A8)	f0a682a8
𦂩	U+260A9 (U+260A9)	f0a682a9
𦂪	U+260AA (U+260AA)	f0a682aa
𦂫	U+260AB (U+260AB)	f0a682ab
𦂬	U+260AC (U+260AC)	f0a682ac
𦂭	U+260AD (U+260AD)	f0a682ad
𦂮	U+260AE (U+260AE)	f0a682ae
𦂯	U+260AF (U+260AF)	f0a682af
𦂰	U+260B0 (U+260B0)	f0a682b0
𦂱	U+260B1 (U+260B1)	f0a682b1
𦂲	U+260B2 (U+260B2)	f0a682b2
𦂳	U+260B3 (U+260B3)	f0a682b3
𦂴	U+260B4 (U+260B4)	f0a682b4
𦂵	U+260B5 (U+260B5)	f0a682b5
𦂶	U+260B6 (U+260B6)	f0a682b6
𦂷	U+260B7 (U+260B7)	f0a682b7
𦂸	U+260B8 (U+260B8)	f0a682b8
𦂹	U+260B9 (U+260B9)	f0a682b9
𦂺	U+260BA (U+260BA)	f0a682ba
𦂻	U+260BB (U+260BB)	f0a682bb
𦂼	U+260BC (U+260BC)	f0a682bc
𦂽	U+260BD (U+260BD)	f0a682bd
𦂾	U+260BE (U+260BE)	f0a682be
𦂿	U+260BF (U+260BF)	f0a682bf
𦃀	U+260C0 (U+260C0)	f0a68380
𦃁	U+260C1 (U+260C1)	f0a68381
𦃂	U+260C2 (U+260C2)	f0a68382
𦃃	U+260C3 (U+260C3)	f0a68383
𦃄	U+260C4 (U+260C4)	f0a68384
𦃅	U+260C5 (U+260C5)	f0a68385
𦃆	U+260C6 (U+260C6)	f0a68386
𦃇	U+260C7 (U+260C7)	f0a68387
𦃈	U+260C8 (U+260C8)	f0a68388
𦃉	U+260C9 (U+260C9)	f0a68389
𦃊	U+260CA (U+260CA)	f0a6838a
𦃋	U+260CB (U+260CB)	f0a6838b
𦃌	U+260CC (U+260CC)	f0a6838c
𦃍	U+260CD (U+260CD)	f0a6838d
𦃎	U+260CE (U+260CE)	f0a6838e
𦃏	U+260CF (U+260CF)	f0a6838f
𦃐	U+260D0 (U+260D0)	f0a68390
𦃑	U+260D1 (U+260D1)	f0a68391
𦃒	U+260D2 (U+260D2)	f0a68392
𦃓	U+260D3 (U+260D3)	f0a68393
𦃔	U+260D4 (U+260D4)	f0a68394
𦃕	U+260D5 (U+260D5)	f0a68395
𦃖	U+260D6 (U+260D6)	f0a68396
𦃗	U+260D7 (U+260D7)	f0a68397
𦃘	U+260D8 (U+260D8)	f0a68398
𦃙	U+260D9 (U+260D9)	f0a68399
𦃚	U+260DA (U+260DA)	f0a6839a
𦃛	U+260DB (U+260DB)	f0a6839b
𦃜	U+260DC (U+260DC)	f0a6839c
𦃝	U+260DD (U+260DD)	f0a6839d
𦃞	U+260DE (U+260DE)	f0a6839e
𦃟	U+260DF (U+260DF)	f0a6839f
𦃠	U+260E0 (U+260E0)	f0a683a0
𦃡	U+260E1 (U+260E1)	f0a683a1
𦃢	U+260E2 (U+260E2)	f0a683a2
𦃣	U+260E3 (U+260E3)	f0a683a3
𦃤	U+260E4 (U+260E4)	f0a683a4
𦃥	U+260E5 (U+260E5)	f0a683a5
𦃦	U+260E6 (U+260E6)	f0a683a6
𦃧	U+260E7 (U+260E7)	f0a683a7
𦃨	U+260E8 (U+260E8)	f0a683a8
𦃩	U+260E9 (U+260E9)	f0a683a9
𦃪	U+260EA (U+260EA)	f0a683aa
𦃫	U+260EB (U+260EB)	f0a683ab
𦃬	U+260EC (U+260EC)	f0a683ac
𦃭	U+260ED (U+260ED)	f0a683ad
𦃮	U+260EE (U+260EE)	f0a683ae
𦃯	U+260EF (U+260EF)	f0a683af
𦃰	U+260F0 (U+260F0)	f0a683b0
𦃱	U+260F1 (U+260F1)	f0a683b1
𦃲	U+260F2 (U+260F2)	f0a683b2
𦃳	U+260F3 (U+260F3)	f0a683b3
𦃴	U+260F4 (U+260F4)	f0a683b4
𦃵	U+260F5 (U+260F5)	f0a683b5
𦃶	U+260F6 (U+260F6)	f0a683b6
𦃷	U+260F7 (U+260F7)	f0a683b7
𦃸	U+260F8 (U+260F8)	f0a683b8
𦃹	U+260F9 (U+260F9)	f0a683b9
𦃺	U+260FA (U+260FA)	f0a683ba
𦃻	U+260FB (U+260FB)	f0a683bb
𦃼	U+260FC (U+260FC)	f0a683bc
𦃽	U+260FD (U+260FD)	f0a683bd
𦃾	U+260FE (U+260FE)	f0a683be
𦃿	U+260FF (U+260FF)	f0a683bf
𦄀	U+26100 (U+26100)	f0a68480
𦄁	U+26101 (U+26101)	f0a68481
𦄂	girdle; zone (U+26102)	f0a68482
𦄃	U+26103 (U+26103)	f0a68483
𦄄	U+26104 (U+26104)	f0a68484
𦄅	U+26105 (U+26105)	f0a68485
𦄆	U+26106 (U+26106)	f0a68486
𦄇	U+26107 (U+26107)	f0a68487
𦄈	U+26108 (U+26108)	f0a68488
𦄉	U+26109 (U+26109)	f0a68489
𦄊	U+2610A (U+2610A)	f0a6848a
𦄋	U+2610B (U+2610B)	f0a6848b
𦄌	U+2610C (U+2610C)	f0a6848c
𦄍	U+2610D (U+2610D)	f0a6848d
𦄎	U+2610E (U+2610E)	f0a6848e
𦄏	U+2610F (U+2610F)	f0a6848f
𦄐	U+26110 (U+26110)	f0a68490
𦄑	U+26111 (U+26111)	f0a68491
𦄒	U+26112 (U+26112)	f0a68492
𦄓	U+26113 (U+26113)	f0a68493
𦄔	U+26114 (U+26114)	f0a68494
𦄕	U+26115 (U+26115)	f0a68495
𦄖	U+26116 (U+26116)	f0a68496
𦄗	U+26117 (U+26117)	f0a68497
𦄘	U+26118 (U+26118)	f0a68498
𦄙	U+26119 (U+26119)	f0a68499
𦄚	U+2611A (U+2611A)	f0a6849a
𦄛	U+2611B (U+2611B)	f0a6849b
𦄜	U+2611C (U+2611C)	f0a6849c
𦄝	U+2611D (U+2611D)	f0a6849d
𦄞	U+2611E (U+2611E)	f0a6849e
𦄟	U+2611F (U+2611F)	f0a6849f
𦄠	U+26120 (U+26120)	f0a684a0
𦄡	U+26121 (U+26121)	f0a684a1
𦄢	U+26122 (U+26122)	f0a684a2
𦄣	U+26123 (U+26123)	f0a684a3
𦄤	U+26124 (U+26124)	f0a684a4
𦄥	U+26125 (U+26125)	f0a684a5
𦄦	U+26126 (U+26126)	f0a684a6
𦄧	U+26127 (U+26127)	f0a684a7
𦄨	U+26128 (U+26128)	f0a684a8
𦄩	U+26129 (U+26129)	f0a684a9
𦄪	U+2612A (U+2612A)	f0a684aa
𦄫	U+2612B (U+2612B)	f0a684ab
𦄬	U+2612C (U+2612C)	f0a684ac
𦄭	U+2612D (U+2612D)	f0a684ad
𦄮	U+2612E (U+2612E)	f0a684ae
𦄯	U+2612F (U+2612F)	f0a684af
𦄰	U+26130 (U+26130)	f0a684b0
𦄱	U+26131 (U+26131)	f0a684b1
𦄲	U+26132 (U+26132)	f0a684b2
𦄳	U+26133 (U+26133)	f0a684b3
𦄴	U+26134 (U+26134)	f0a684b4
𦄵	U+26135 (U+26135)	f0a684b5
𦄶	U+26136 (U+26136)	f0a684b6
𦄷	U+26137 (U+26137)	f0a684b7
𦄸	U+26138 (U+26138)	f0a684b8
𦄹	U+26139 (U+26139)	f0a684b9
𦄺	U+2613A (U+2613A)	f0a684ba
𦄻	U+2613B (U+2613B)	f0a684bb
𦄼	U+2613C (U+2613C)	f0a684bc
𦄽	U+2613D (U+2613D)	f0a684bd
𦄾	U+2613E (U+2613E)	f0a684be
𦄿	U+2613F (U+2613F)	f0a684bf
𦅀	U+26140 (U+26140)	f0a68580
𦅁	U+26141 (U+26141)	f0a68581
𦅂	U+26142 (U+26142)	f0a68582
𦅃	U+26143 (U+26143)	f0a68583
𦅄	U+26144 (U+26144)	f0a68584
𦅅	U+26145 (U+26145)	f0a68585
𦅆	U+26146 (U+26146)	f0a68586
𦅇	U+26147 (U+26147)	f0a68587
𦅈	U+26148 (U+26148)	f0a68588
𦅉	U+26149 (U+26149)	f0a68589
𦅊	U+2614A (U+2614A)	f0a6858a
𦅋	U+2614B (U+2614B)	f0a6858b
𦅌	U+2614C (U+2614C)	f0a6858c
𦅍	U+2614D (U+2614D)	f0a6858d
𦅎	U+2614E (U+2614E)	f0a6858e
𦅏	U+2614F (U+2614F)	f0a6858f
𦅐	U+26150 (U+26150)	f0a68590
𦅑	U+26151 (U+26151)	f0a68591
𦅒	U+26152 (U+26152)	f0a68592
𦅓	U+26153 (U+26153)	f0a68593
𦅔	U+26154 (U+26154)	f0a68594
𦅕	U+26155 (U+26155)	f0a68595
𦅖	U+26156 (U+26156)	f0a68596
𦅗	U+26157 (U+26157)	f0a68597
𦅘	U+26158 (U+26158)	f0a68598
𦅙	U+26159 (U+26159)	f0a68599
𦅚	U+2615A (U+2615A)	f0a6859a
𦅛	U+2615B (U+2615B)	f0a6859b
𦅜	U+2615C (U+2615C)	f0a6859c
𦅝	U+2615D (U+2615D)	f0a6859d
𦅞	U+2615E (U+2615E)	f0a6859e
𦅟	U+2615F (U+2615F)	f0a6859f
𦅠	U+26160 (U+26160)	f0a685a0
𦅡	U+26161 (U+26161)	f0a685a1
𦅢	U+26162 (U+26162)	f0a685a2
𦅣	U+26163 (U+26163)	f0a685a3
𦅤	U+26164 (U+26164)	f0a685a4
𦅥	U+26165 (U+26165)	f0a685a5
𦅦	U+26166 (U+26166)	f0a685a6
𦅧	U+26167 (U+26167)	f0a685a7
𦅨	U+26168 (U+26168)	f0a685a8
𦅩	U+26169 (U+26169)	f0a685a9
𦅪	U+2616A (U+2616A)	f0a685aa
𦅫	U+2616B (U+2616B)	f0a685ab
𦅬	U+2616C (U+2616C)	f0a685ac
𦅭	U+2616D (U+2616D)	f0a685ad
𦅮	U+2616E (U+2616E)	f0a685ae
𦅯	U+2616F (U+2616F)	f0a685af
𦅰	U+26170 (U+26170)	f0a685b0
𦅱	U+26171 (U+26171)	f0a685b1
𦅲	U+26172 (U+26172)	f0a685b2
𦅳	U+26173 (U+26173)	f0a685b3
𦅴	U+26174 (U+26174)	f0a685b4
𦅵	U+26175 (U+26175)	f0a685b5
𦅶	U+26176 (U+26176)	f0a685b6
𦅷	U+26177 (U+26177)	f0a685b7
𦅸	U+26178 (U+26178)	f0a685b8
𦅹	U+26179 (U+26179)	f0a685b9
𦅺	U+2617A (U+2617A)	f0a685ba
𦅻	U+2617B (U+2617B)	f0a685bb
𦅼	U+2617C (U+2617C)	f0a685bc
𦅽	U+2617D (U+2617D)	f0a685bd
𦅾	U+2617E (U+2617E)	f0a685be
𦅿	U+2617F (U+2617F)	f0a685bf
𦆀	U+26180 (U+26180)	f0a68680
𦆁	U+26181 (U+26181)	f0a68681
𦆂	U+26182 (U+26182)	f0a68682
𦆃	U+26183 (U+26183)	f0a68683
𦆄	U+26184 (U+26184)	f0a68684
𦆅	U+26185 (U+26185)	f0a68685
𦆆	U+26186 (U+26186)	f0a68686
𦆇	U+26187 (U+26187)	f0a68687
𦆈	U+26188 (U+26188)	f0a68688
𦆉	U+26189 (U+26189)	f0a68689
𦆊	U+2618A (U+2618A)	f0a6868a
𦆋	U+2618B (U+2618B)	f0a6868b
𦆌	U+2618C (U+2618C)	f0a6868c
𦆍	U+2618D (U+2618D)	f0a6868d
𦆎	U+2618E (U+2618E)	f0a6868e
𦆏	U+2618F (U+2618F)	f0a6868f
𦆐	U+26190 (U+26190)	f0a68690
𦆑	U+26191 (U+26191)	f0a68691
𦆒	U+26192 (U+26192)	f0a68692
𦆓	U+26193 (U+26193)	f0a68693
