𤽯	U+24F6F (U+24F6F)	f0a4bdaf
𤿭	U+24FED (U+24FED)	f0a4bfad
𤿮	U+24FEE (U+24FEE)	f0a4bfae
𤿯	U+24FEF (U+24FEF)	f0a4bfaf
𤿰	U+24FF0 (U+24FF0)	f0a4bfb0
𤿱	U+24FF1 (U+24FF1)	f0a4bfb1
𤿲	U+24FF2 (U+24FF2)	f0a4bfb2
𤿳	U+24FF3 (U+24FF3)	f0a4bfb3
𤿴	U+24FF4 (U+24FF4)	f0a4bfb4
𤿵	U+24FF5 (U+24FF5)	f0a4bfb5
𤿶	U+24FF6 (U+24FF6)	f0a4bfb6
𤿷	U+24FF7 (U+24FF7)	f0a4bfb7
𤿸	U+24FF8 (U+24FF8)	f0a4bfb8
𤿹	U+24FF9 (U+24FF9)	f0a4bfb9
𤿺	U+24FFA (U+24FFA)	f0a4bfba
𤿻	U+24FFB (U+24FFB)	f0a4bfbb
𤿼	U+24FFC (U+24FFC)	f0a4bfbc
𤿽	U+24FFD (U+24FFD)	f0a4bfbd
𤿾	U+24FFE (U+24FFE)	f0a4bfbe
𤿿	U+24FFF (U+24FFF)	f0a4bfbf
𥀀	U+25000 (U+25000)	f0a58080
𥀁	U+25001 (U+25001)	f0a58081
𥀂	U+25002 (U+25002)	f0a58082
𥀃	U+25003 (U+25003)	f0a58083
𥀄	U+25004 (U+25004)	f0a58084
𥀅	U+25005 (U+25005)	f0a58085
𥀆	U+25006 (U+25006)	f0a58086
𥀇	U+25007 (U+25007)	f0a58087
𥀈	U+25008 (U+25008)	f0a58088
𥀉	U+25009 (U+25009)	f0a58089
𥀊	U+2500A (U+2500A)	f0a5808a
𥀋	U+2500B (U+2500B)	f0a5808b
𥀌	U+2500C (U+2500C)	f0a5808c
𥀍	U+2500D (U+2500D)	f0a5808d
𥀎	U+2500E (U+2500E)	f0a5808e
𥀏	U+2500F (U+2500F)	f0a5808f
𥀐	U+25010 (U+25010)	f0a58090
𥀑	U+25011 (U+25011)	f0a58091
𥀒	U+25012 (U+25012)	f0a58092
𥀓	U+25013 (U+25013)	f0a58093
𥀔	U+25014 (U+25014)	f0a58094
𥀕	U+25015 (U+25015)	f0a58095
𥀖	U+25016 (U+25016)	f0a58096
𥀗	U+25017 (U+25017)	f0a58097
𥀘	U+25018 (U+25018)	f0a58098
𥀙	U+25019 (U+25019)	f0a58099
𥀚	U+2501A (U+2501A)	f0a5809a
𥀛	U+2501B (U+2501B)	f0a5809b
𥀜	U+2501C (U+2501C)	f0a5809c
𥀝	U+2501D (U+2501D)	f0a5809d
𥀞	U+2501E (U+2501E)	f0a5809e
𥀟	U+2501F (U+2501F)	f0a5809f
𥀠	U+25020 (U+25020)	f0a580a0
𥀡	U+25021 (U+25021)	f0a580a1
𥀢	U+25022 (U+25022)	f0a580a2
𥀣	U+25023 (U+25023)	f0a580a3
𥀤	U+25024 (U+25024)	f0a580a4
𥀥	U+25025 (U+25025)	f0a580a5
𥀦	U+25026 (U+25026)	f0a580a6
𥀧	U+25027 (U+25027)	f0a580a7
𥀨	U+25028 (U+25028)	f0a580a8
𥀩	U+25029 (U+25029)	f0a580a9
𥀪	U+2502A (U+2502A)	f0a580aa
𥀫	U+2502B (U+2502B)	f0a580ab
𥀬	(Cant.) a scar (U+2502C)	f0a580ac
𥀭	U+2502D (U+2502D)	f0a580ad
𥀮	U+2502E (U+2502E)	f0a580ae
𥀯	U+2502F (U+2502F)	f0a580af
𥀰	U+25030 (U+25030)	f0a580b0
𥀱	U+25031 (U+25031)	f0a580b1
𥀲	U+25032 (U+25032)	f0a580b2
𥀳	U+25033 (U+25033)	f0a580b3
𥀴	U+25034 (U+25034)	f0a580b4
𥀵	U+25035 (U+25035)	f0a580b5
𥀶	U+25036 (U+25036)	f0a580b6
𥀷	U+25037 (U+25037)	f0a580b7
𥀸	U+25038 (U+25038)	f0a580b8
𥀹	U+25039 (U+25039)	f0a580b9
𥀺	U+2503A (U+2503A)	f0a580ba
𥀻	U+2503B (U+2503B)	f0a580bb
𥀼	U+2503C (U+2503C)	f0a580bc
𥀽	U+2503D (U+2503D)	f0a580bd
𥀾	U+2503E (U+2503E)	f0a580be
𥀿	U+2503F (U+2503F)	f0a580bf
𥁀	U+25040 (U+25040)	f0a58180
𥁁	U+25041 (U+25041)	f0a58181
𥁂	U+25042 (U+25042)	f0a58182
𥁃	U+25043 (U+25043)	f0a58183
𥁄	U+25044 (U+25044)	f0a58184
𥁅	U+25045 (U+25045)	f0a58185
𥁆	U+25046 (U+25046)	f0a58186
𥁇	U+25047 (U+25047)	f0a58187
𥁈	U+25048 (U+25048)	f0a58188
𥁉	U+25049 (U+25049)	f0a58189
𥁊	U+2504A (U+2504A)	f0a5818a
𥁋	U+2504B (U+2504B)	f0a5818b
𥁌	U+2504C (U+2504C)	f0a5818c
𥁍	U+2504D (U+2504D)	f0a5818d
𥁎	U+2504E (U+2504E)	f0a5818e
𥁏	U+2504F (U+2504F)	f0a5818f
𥁐	U+25050 (U+25050)	f0a58190
𥁑	U+25051 (U+25051)	f0a58191
𥁒	(Cant.) warped (U+25052)	f0a58192
𥁓	U+25053 (U+25053)	f0a58193
𥁔	U+25054 (U+25054)	f0a58194
𥁕	compassionate; to feed a prisoner (U+25055)	f0a58195
𥁖	U+25056 (U+25056)	f0a58196
𥁗	U+25057 (U+25057)	f0a58197
𥁘	U+25058 (U+25058)	f0a58198
𥁙	U+25059 (U+25059)	f0a58199
𥁚	U+2505A (U+2505A)	f0a5819a
𥁛	U+2505B (U+2505B)	f0a5819b
𥁜	U+2505C (U+2505C)	f0a5819c
𥁝	U+2505D (U+2505D)	f0a5819d
𥁞	U+2505E (U+2505E)	f0a5819e
𥁟	U+2505F (U+2505F)	f0a5819f
𥁠	U+25060 (U+25060)	f0a581a0
𥁡	U+25061 (U+25061)	f0a581a1
𥁢	U+25062 (U+25062)	f0a581a2
𥁣	U+25063 (U+25063)	f0a581a3
𥁤	U+25064 (U+25064)	f0a581a4
𥁥	U+25065 (U+25065)	f0a581a5
𥁦	U+25066 (U+25066)	f0a581a6
𥁧	U+25067 (U+25067)	f0a581a7
𥁨	U+25068 (U+25068)	f0a581a8
𥁩	U+25069 (U+25069)	f0a581a9
𥁪	U+2506A (U+2506A)	f0a581aa
𥁫	U+2506B (U+2506B)	f0a581ab
𥁬	U+2506C (U+2506C)	f0a581ac
𥁭	U+2506D (U+2506D)	f0a581ad
𥁮	U+2506E (U+2506E)	f0a581ae
𥁯	U+2506F (U+2506F)	f0a581af
𥁰	U+25070 (U+25070)	f0a581b0
𥁱	U+25071 (U+25071)	f0a581b1
𥁲	U+25072 (U+25072)	f0a581b2
𥁳	U+25073 (U+25073)	f0a581b3
𥁴	U+25074 (U+25074)	f0a581b4
𥁵	U+25075 (U+25075)	f0a581b5
𥁶	U+25076 (U+25076)	f0a581b6
𥁷	U+25077 (U+25077)	f0a581b7
𥁸	U+25078 (U+25078)	f0a581b8
𥁹	U+25079 (U+25079)	f0a581b9
𥁺	U+2507A (U+2507A)	f0a581ba
𥁻	U+2507B (U+2507B)	f0a581bb
𥁼	U+2507C (U+2507C)	f0a581bc
𥁽	U+2507D (U+2507D)	f0a581bd
𥁾	U+2507E (U+2507E)	f0a581be
𥁿	U+2507F (U+2507F)	f0a581bf
𥂀	U+25080 (U+25080)	f0a58280
𥂁	salt (U+25081)	f0a58281
𥂂	U+25082 (U+25082)	f0a58282
𥂃	U+25083 (U+25083)	f0a58283
𥂄	U+25084 (U+25084)	f0a58284
𥂅	U+25085 (U+25085)	f0a58285
𥂆	U+25086 (U+25086)	f0a58286
𥂇	U+25087 (U+25087)	f0a58287
𥂈	U+25088 (U+25088)	f0a58288
𥂉	U+25089 (U+25089)	f0a58289
𥂊	U+2508A (U+2508A)	f0a5828a
𥂋	U+2508B (U+2508B)	f0a5828b
𥂌	U+2508C (U+2508C)	f0a5828c
𥂍	U+2508D (U+2508D)	f0a5828d
𥂎	U+2508E (U+2508E)	f0a5828e
𥂏	U+2508F (U+2508F)	f0a5828f
𥂐	U+25090 (U+25090)	f0a58290
𥂑	U+25091 (U+25091)	f0a58291
𥂒	U+25092 (U+25092)	f0a58292
𥂓	U+25093 (U+25093)	f0a58293
𥂔	U+25094 (U+25094)	f0a58294
𥂕	U+25095 (U+25095)	f0a58295
𥂖	U+25096 (U+25096)	f0a58296
𥂗	U+25097 (U+25097)	f0a58297
𥂘	U+25098 (U+25098)	f0a58298
𥂙	U+25099 (U+25099)	f0a58299
𥂚	U+2509A (U+2509A)	f0a5829a
𥂛	U+2509B (U+2509B)	f0a5829b
𥂜	U+2509C (U+2509C)	f0a5829c
𥂝	U+2509D (U+2509D)	f0a5829d
𥂞	U+2509E (U+2509E)	f0a5829e
𥂟	U+2509F (U+2509F)	f0a5829f
𥂠	U+250A0 (U+250A0)	f0a582a0
𥂡	U+250A1 (U+250A1)	f0a582a1
𥂢	U+250A2 (U+250A2)	f0a582a2
𥂣	U+250A3 (U+250A3)	f0a582a3
𥂤	U+250A4 (U+250A4)	f0a582a4
𥂥	U+250A5 (U+250A5)	f0a582a5
𥂦	U+250A6 (U+250A6)	f0a582a6
𥂧	U+250A7 (U+250A7)	f0a582a7
𥂨	U+250A8 (U+250A8)	f0a582a8
𥂩	U+250A9 (U+250A9)	f0a582a9
𥂪	U+250AA (U+250AA)	f0a582aa
𥂫	U+250AB (U+250AB)	f0a582ab
𥂬	U+250AC (U+250AC)	f0a582ac
𥂭	U+250AD (U+250AD)	f0a582ad
𥂮	U+250AE (U+250AE)	f0a582ae
𥂯	U+250AF (U+250AF)	f0a582af
𥂰	U+250B0 (U+250B0)	f0a582b0
𥂱	U+250B1 (U+250B1)	f0a582b1
𥂲	U+250B2 (U+250B2)	f0a582b2
𥂳	U+250B3 (U+250B3)	f0a582b3
𥂴	U+250B4 (U+250B4)	f0a582b4
𥂵	U+250B5 (U+250B5)	f0a582b5
𥂶	U+250B6 (U+250B6)	f0a582b6
𥂷	U+250B7 (U+250B7)	f0a582b7
𥂸	U+250B8 (U+250B8)	f0a582b8
𥂹	U+250B9 (U+250B9)	f0a582b9
𥂺	U+250BA (U+250BA)	f0a582ba
𥂻	U+250BB (U+250BB)	f0a582bb
𥂼	U+250BC (U+250BC)	f0a582bc
𥂽	U+250BD (U+250BD)	f0a582bd
𥂾	U+250BE (U+250BE)	f0a582be
𥂿	U+250BF (U+250BF)	f0a582bf
𥃀	U+250C0 (U+250C0)	f0a58380
𥃁	U+250C1 (U+250C1)	f0a58381
𥃂	U+250C2 (U+250C2)	f0a58382
𥃃	U+250C3 (U+250C3)	f0a58383
𥃄	U+250C4 (U+250C4)	f0a58384
𥃅	U+250C5 (U+250C5)	f0a58385
𥃆	U+250C6 (U+250C6)	f0a58386
𥃇	U+250C7 (U+250C7)	f0a58387
𥃈	U+250C8 (U+250C8)	f0a58388
𥃉	U+250C9 (U+250C9)	f0a58389
𥃊	U+250CA (U+250CA)	f0a5838a
𥃋	U+250CB (U+250CB)	f0a5838b
𥃌	U+250CC (U+250CC)	f0a5838c
𥃍	U+250CD (U+250CD)	f0a5838d
𥃎	U+250CE (U+250CE)	f0a5838e
𥃏	U+250CF (U+250CF)	f0a5838f
𥃐	U+250D0 (U+250D0)	f0a58390
𥃑	U+250D1 (U+250D1)	f0a58391
𥃒	U+250D2 (U+250D2)	f0a58392
𥃓	U+250D3 (U+250D3)	f0a58393
𥃔	U+250D4 (U+250D4)	f0a58394
𥃕	U+250D5 (U+250D5)	f0a58395
𥃖	U+250D6 (U+250D6)	f0a58396
𥃗	U+250D7 (U+250D7)	f0a58397
𥃘	U+250D8 (U+250D8)	f0a58398
𥃙	U+250D9 (U+250D9)	f0a58399
𥃚	U+250DA (U+250DA)	f0a5839a
𥃛	U+250DB (U+250DB)	f0a5839b
𥃜	U+250DC (U+250DC)	f0a5839c
𥃝	U+250DD (U+250DD)	f0a5839d
𥃞	U+250DE (U+250DE)	f0a5839e
𥃟	U+250DF (U+250DF)	f0a5839f
𥃠	U+250E0 (U+250E0)	f0a583a0
𥃡	U+250E1 (U+250E1)	f0a583a1
𥃢	U+250E2 (U+250E2)	f0a583a2
𥃣	U+250E3 (U+250E3)	f0a583a3
𥃤	U+250E4 (U+250E4)	f0a583a4
𥃥	U+250E5 (U+250E5)	f0a583a5
𥃦	U+250E6 (U+250E6)	f0a583a6
𥃧	U+250E7 (U+250E7)	f0a583a7
𥃨	U+250E8 (U+250E8)	f0a583a8
𥃩	U+250E9 (U+250E9)	f0a583a9
𥃪	U+250EA (U+250EA)	f0a583aa
𥃫	U+250EB (U+250EB)	f0a583ab
𥃬	U+250EC (U+250EC)	f0a583ac
𥃭	U+250ED (U+250ED)	f0a583ad
𥃮	U+250EE (U+250EE)	f0a583ae
𥃯	U+250EF (U+250EF)	f0a583af
𥃰	U+250F0 (U+250F0)	f0a583b0
𥃱	U+250F1 (U+250F1)	f0a583b1
𥃲	U+250F2 (U+250F2)	f0a583b2
𥃳	U+250F3 (U+250F3)	f0a583b3
𥃴	U+250F4 (U+250F4)	f0a583b4
𥃵	U+250F5 (U+250F5)	f0a583b5
𥃶	U+250F6 (U+250F6)	f0a583b6
𥃷	U+250F7 (U+250F7)	f0a583b7
𥃸	U+250F8 (U+250F8)	f0a583b8
𥃹	U+250F9 (U+250F9)	f0a583b9
𥃺	U+250FA (U+250FA)	f0a583ba
𥃻	U+250FB (U+250FB)	f0a583bb
𥃼	U+250FC (U+250FC)	f0a583bc
𥃽	U+250FD (U+250FD)	f0a583bd
𥃾	U+250FE (U+250FE)	f0a583be
𥃿	U+250FF (U+250FF)	f0a583bf
𥄀	U+25100 (U+25100)	f0a58480
𥄁	U+25101 (U+25101)	f0a58481
𥄂	U+25102 (U+25102)	f0a58482
𥄃	U+25103 (U+25103)	f0a58483
𥄄	U+25104 (U+25104)	f0a58484
𥄅	U+25105 (U+25105)	f0a58485
𥄆	U+25106 (U+25106)	f0a58486
𥄇	U+25107 (U+25107)	f0a58487
𥄈	U+25108 (U+25108)	f0a58488
𥄉	U+25109 (U+25109)	f0a58489
𥄊	U+2510A (U+2510A)	f0a5848a
𥄋	U+2510B (U+2510B)	f0a5848b
𥄌	U+2510C (U+2510C)	f0a5848c
𥄍	U+2510D (U+2510D)	f0a5848d
𥄎	(Cant.) to pull, lift up (U+2510E)	f0a5848e
𥄏	U+2510F (U+2510F)	f0a5848f
𥄐	U+25110 (U+25110)	f0a58490
𥄑	U+25111 (U+25111)	f0a58491
𥄒	U+25112 (U+25112)	f0a58492
𥄓	U+25113 (U+25113)	f0a58493
𥄔	U+25114 (U+25114)	f0a58494
𥄕	U+25115 (U+25115)	f0a58495
𥄖	U+25116 (U+25116)	f0a58496
𥄗	U+25117 (U+25117)	f0a58497
𥄘	U+25118 (U+25118)	f0a58498
𥄙	U+25119 (U+25119)	f0a58499
𥄚	U+2511A (U+2511A)	f0a5849a
𥄛	U+2511B (U+2511B)	f0a5849b
𥄜	U+2511C (U+2511C)	f0a5849c
𥄝	U+2511D (U+2511D)	f0a5849d
𥄞	U+2511E (U+2511E)	f0a5849e
𥄟	U+2511F (U+2511F)	f0a5849f
𥄠	U+25120 (U+25120)	f0a584a0
𥄡	U+25121 (U+25121)	f0a584a1
𥄢	U+25122 (U+25122)	f0a584a2
𥄣	U+25123 (U+25123)	f0a584a3
𥄤	U+25124 (U+25124)	f0a584a4
𥄥	U+25125 (U+25125)	f0a584a5
𥄦	U+25126 (U+25126)	f0a584a6
𥄧	U+25127 (U+25127)	f0a584a7
𥄨	U+25128 (U+25128)	f0a584a8
𥄩	U+25129 (U+25129)	f0a584a9
𥄪	U+2512A (U+2512A)	f0a584aa
𥄫	(Cant.) to stare, peep at (U+2512B)	f0a584ab
𥄬	U+2512C (U+2512C)	f0a584ac
𥄭	U+2512D (U+2512D)	f0a584ad
𥄮	U+2512E (U+2512E)	f0a584ae
𥄯	U+2512F (U+2512F)	f0a584af
𥄰	U+25130 (U+25130)	f0a584b0
𥄱	U+25131 (U+25131)	f0a584b1
𥄲	U+25132 (U+25132)	f0a584b2
𥄳	U+25133 (U+25133)	f0a584b3
𥄴	looking about eagerly (U+25134)	f0a584b4
𥄵	U+25135 (U+25135)	f0a584b5
𥄶	U+25136 (U+25136)	f0a584b6
𥄷	U+25137 (U+25137)	f0a584b7
𥄸	U+25138 (U+25138)	f0a584b8
𥄹	U+25139 (U+25139)	f0a584b9
𥄺	U+2513A (U+2513A)	f0a584ba
𥄻	U+2513B (U+2513B)	f0a584bb
𥄼	U+2513C (U+2513C)	f0a584bc
𥄽	U+2513D (U+2513D)	f0a584bd
𥄾	U+2513E (U+2513E)	f0a584be
𥄿	U+2513F (U+2513F)	f0a584bf
𥅀	U+25140 (U+25140)	f0a58580
𥅁	U+25141 (U+25141)	f0a58581
𥅂	U+25142 (U+25142)	f0a58582
𥅃	U+25143 (U+25143)	f0a58583
𥅄	U+25144 (U+25144)	f0a58584
𥅅	U+25145 (U+25145)	f0a58585
𥅆	U+25146 (U+25146)	f0a58586
𥅇	U+25147 (U+25147)	f0a58587
𥅈	(Cant.) to look, scan (U+25148)	f0a58588
𥅉	U+25149 (U+25149)	f0a58589
𥅊	U+2514A (U+2514A)	f0a5858a
𥅋	U+2514B (U+2514B)	f0a5858b
𥅌	U+2514C (U+2514C)	f0a5858c
𥅍	U+2514D (U+2514D)	f0a5858d
𥅎	U+2514E (U+2514E)	f0a5858e
𥅏	U+2514F (U+2514F)	f0a5858f
𥅐	U+25150 (U+25150)	f0a58590
𥅑	U+25151 (U+25151)	f0a58591
𥅒	U+25152 (U+25152)	f0a58592
𥅓	U+25153 (U+25153)	f0a58593
𥅔	U+25154 (U+25154)	f0a58594
𥅕	U+25155 (U+25155)	f0a58595
𥅖	U+25156 (U+25156)	f0a58596
𥅗	U+25157 (U+25157)	f0a58597
𥅘	U+25158 (U+25158)	f0a58598
𥅙	U+25159 (U+25159)	f0a58599
𥅚	U+2515A (U+2515A)	f0a5859a
𥅛	U+2515B (U+2515B)	f0a5859b
𥅜	U+2515C (U+2515C)	f0a5859c
𥅝	U+2515D (U+2515D)	f0a5859d
𥅞	U+2515E (U+2515E)	f0a5859e
𥅟	U+2515F (U+2515F)	f0a5859f
𥅠	(Cant.) to fix one's eyes on, gaze at (U+25160)	f0a585a0
𥅡	U+25161 (U+25161)	f0a585a1
𥅢	U+25162 (U+25162)	f0a585a2
𥅣	U+25163 (U+25163)	f0a585a3
𥅤	U+25164 (U+25164)	f0a585a4
𥅥	U+25165 (U+25165)	f0a585a5
𥅦	U+25166 (U+25166)	f0a585a6
𥅧	U+25167 (U+25167)	f0a585a7
𥅨	U+25168 (U+25168)	f0a585a8
𥅩	U+25169 (U+25169)	f0a585a9
𥅪	U+2516A (U+2516A)	f0a585aa
𥅫	U+2516B (U+2516B)	f0a585ab
𥅬	U+2516C (U+2516C)	f0a585ac
𥅭	U+2516D (U+2516D)	f0a585ad
𥅮	U+2516E (U+2516E)	f0a585ae
𥅯	U+2516F (U+2516F)	f0a585af
𥅰	U+25170 (U+25170)	f0a585b0
𥅱	U+25171 (U+25171)	f0a585b1
𥅲	U+25172 (U+25172)	f0a585b2
𥅳	U+25173 (U+25173)	f0a585b3
𥅴	U+25174 (U+25174)	f0a585b4
𥅵	U+25175 (U+25175)	f0a585b5
𥅶	U+25176 (U+25176)	f0a585b6
𥅷	U+25177 (U+25177)	f0a585b7
𥅸	U+25178 (U+25178)	f0a585b8
𥅹	U+25179 (U+25179)	f0a585b9
𥅺	U+2517A (U+2517A)	f0a585ba
𥅻	U+2517B (U+2517B)	f0a585bb
𥅼	U+2517C (U+2517C)	f0a585bc
𥅽	U+2517D (U+2517D)	f0a585bd
𥅾	(Cant.) to peek or peep at (U+2517E)	f0a585be
𥅿	U+2517F (U+2517F)	f0a585bf
𥆀	U+25180 (U+25180)	f0a58680
𥆁	U+25181 (U+25181)	f0a58681
𥆂	U+25182 (U+25182)	f0a58682
𥆃	U+25183 (U+25183)	f0a58683
𥆄	U+25184 (U+25184)	f0a58684
𥆅	U+25185 (U+25185)	f0a58685
𥆆	U+25186 (U+25186)	f0a58686
𥆇	U+25187 (U+25187)	f0a58687
𥆈	U+25188 (U+25188)	f0a58688
𥆉	U+25189 (U+25189)	f0a58689
𥆊	U+2518A (U+2518A)	f0a5868a
𥆋	U+2518B (U+2518B)	f0a5868b
𥆌	U+2518C (U+2518C)	f0a5868c
𥆍	U+2518D (U+2518D)	f0a5868d
𥆎	U+2518E (U+2518E)	f0a5868e
𥆏	U+2518F (U+2518F)	f0a5868f
𥆐	U+25190 (U+25190)	f0a58690
𥆑	U+25191 (U+25191)	f0a58691
