𢝯	U+2276F (U+2276F)	f0a29daf
𢟐	U+227D0 (U+227D0)	f0a29f90
𢟑	U+227D1 (U+227D1)	f0a29f91
𢟒	U+227D2 (U+227D2)	f0a29f92
𢟓	U+227D3 (U+227D3)	f0a29f93
𢟔	U+227D4 (U+227D4)	f0a29f94
𢟕	U+227D5 (U+227D5)	f0a29f95
𢟖	U+227D6 (U+227D6)	f0a29f96
𢟗	U+227D7 (U+227D7)	f0a29f97
𢟘	U+227D8 (U+227D8)	f0a29f98
𢟙	U+227D9 (U+227D9)	f0a29f99
𢟚	U+227DA (U+227DA)	f0a29f9a
𢟛	U+227DB (U+227DB)	f0a29f9b
𢟜	U+227DC (U+227DC)	f0a29f9c
𢟝	U+227DD (U+227DD)	f0a29f9d
𢟞	U+227DE (U+227DE)	f0a29f9e
𢟟	U+227DF (U+227DF)	f0a29f9f
𢟠	U+227E0 (U+227E0)	f0a29fa0
𢟡	U+227E1 (U+227E1)	f0a29fa1
𢟢	U+227E2 (U+227E2)	f0a29fa2
𢟣	U+227E3 (U+227E3)	f0a29fa3
𢟤	U+227E4 (U+227E4)	f0a29fa4
𢟥	U+227E5 (U+227E5)	f0a29fa5
𢟦	U+227E6 (U+227E6)	f0a29fa6
𢟧	U+227E7 (U+227E7)	f0a29fa7
𢟨	U+227E8 (U+227E8)	f0a29fa8
𢟩	U+227E9 (U+227E9)	f0a29fa9
𢟪	U+227EA (U+227EA)	f0a29faa
𢟫	U+227EB (U+227EB)	f0a29fab
𢟬	U+227EC (U+227EC)	f0a29fac
𢟭	U+227ED (U+227ED)	f0a29fad
𢟮	U+227EE (U+227EE)	f0a29fae
𢟯	U+227EF (U+227EF)	f0a29faf
𢟰	U+227F0 (U+227F0)	f0a29fb0
𢟱	U+227F1 (U+227F1)	f0a29fb1
𢟲	U+227F2 (U+227F2)	f0a29fb2
𢟳	U+227F3 (U+227F3)	f0a29fb3
𢟴	U+227F4 (U+227F4)	f0a29fb4
𢟵	U+227F5 (U+227F5)	f0a29fb5
𢟶	U+227F6 (U+227F6)	f0a29fb6
𢟷	U+227F7 (U+227F7)	f0a29fb7
𢟸	U+227F8 (U+227F8)	f0a29fb8
𢟹	U+227F9 (U+227F9)	f0a29fb9
𢟺	U+227FA (U+227FA)	f0a29fba
𢟻	U+227FB (U+227FB)	f0a29fbb
𢟼	U+227FC (U+227FC)	f0a29fbc
𢟽	U+227FD (U+227FD)	f0a29fbd
𢟾	U+227FE (U+227FE)	f0a29fbe
𢟿	U+227FF (U+227FF)	f0a29fbf
𢠀	U+22800 (U+22800)	f0a2a080
𢠁	U+22801 (U+22801)	f0a2a081
𢠂	U+22802 (U+22802)	f0a2a082
𢠃	(Cant.) to guard against; to take precautions (U+22803)	f0a2a083
𢠄	U+22804 (U+22804)	f0a2a084
𢠅	U+22805 (U+22805)	f0a2a085
𢠆	U+22806 (U+22806)	f0a2a086
𢠇	U+22807 (U+22807)	f0a2a087
𢠈	U+22808 (U+22808)	f0a2a088
𢠉	U+22809 (U+22809)	f0a2a089
𢠊	U+2280A (U+2280A)	f0a2a08a
𢠋	U+2280B (U+2280B)	f0a2a08b
𢠌	U+2280C (U+2280C)	f0a2a08c
𢠍	U+2280D (U+2280D)	f0a2a08d
𢠎	U+2280E (U+2280E)	f0a2a08e
𢠏	U+2280F (U+2280F)	f0a2a08f
𢠐	U+22810 (U+22810)	f0a2a090
𢠑	U+22811 (U+22811)	f0a2a091
𢠒	U+22812 (U+22812)	f0a2a092
𢠓	U+22813 (U+22813)	f0a2a093
𢠔	U+22814 (U+22814)	f0a2a094
𢠕	U+22815 (U+22815)	f0a2a095
𢠖	U+22816 (U+22816)	f0a2a096
𢠗	U+22817 (U+22817)	f0a2a097
𢠘	U+22818 (U+22818)	f0a2a098
𢠙	U+22819 (U+22819)	f0a2a099
𢠚	U+2281A (U+2281A)	f0a2a09a
𢠛	U+2281B (U+2281B)	f0a2a09b
𢠜	U+2281C (U+2281C)	f0a2a09c
𢠝	U+2281D (U+2281D)	f0a2a09d
𢠞	U+2281E (U+2281E)	f0a2a09e
𢠟	U+2281F (U+2281F)	f0a2a09f
𢠠	U+22820 (U+22820)	f0a2a0a0
𢠡	U+22821 (U+22821)	f0a2a0a1
𢠢	U+22822 (U+22822)	f0a2a0a2
𢠣	U+22823 (U+22823)	f0a2a0a3
𢠤	U+22824 (U+22824)	f0a2a0a4
𢠥	U+22825 (U+22825)	f0a2a0a5
𢠦	U+22826 (U+22826)	f0a2a0a6
𢠧	U+22827 (U+22827)	f0a2a0a7
𢠨	U+22828 (U+22828)	f0a2a0a8
𢠩	U+22829 (U+22829)	f0a2a0a9
𢠪	U+2282A (U+2282A)	f0a2a0aa
𢠫	U+2282B (U+2282B)	f0a2a0ab
𢠬	U+2282C (U+2282C)	f0a2a0ac
𢠭	U+2282D (U+2282D)	f0a2a0ad
𢠮	U+2282E (U+2282E)	f0a2a0ae
𢠯	U+2282F (U+2282F)	f0a2a0af
𢠰	U+22830 (U+22830)	f0a2a0b0
𢠱	U+22831 (U+22831)	f0a2a0b1
𢠲	U+22832 (U+22832)	f0a2a0b2
𢠳	irritable, surly; sad (U+22833)	f0a2a0b3
𢠴	U+22834 (U+22834)	f0a2a0b4
𢠵	alarmed, agitated (U+22835)	f0a2a0b5
𢠶	U+22836 (U+22836)	f0a2a0b6
𢠷	U+22837 (U+22837)	f0a2a0b7
𢠸	U+22838 (U+22838)	f0a2a0b8
𢠹	U+22839 (U+22839)	f0a2a0b9
𢠺	U+2283A (U+2283A)	f0a2a0ba
𢠻	U+2283B (U+2283B)	f0a2a0bb
𢠼	U+2283C (U+2283C)	f0a2a0bc
𢠽	U+2283D (U+2283D)	f0a2a0bd
𢠾	U+2283E (U+2283E)	f0a2a0be
𢠿	U+2283F (U+2283F)	f0a2a0bf
𢡀	U+22840 (U+22840)	f0a2a180
𢡁	U+22841 (U+22841)	f0a2a181
𢡂	U+22842 (U+22842)	f0a2a182
𢡃	U+22843 (U+22843)	f0a2a183
𢡄	U+22844 (U+22844)	f0a2a184
𢡅	U+22845 (U+22845)	f0a2a185
𢡆	U+22846 (U+22846)	f0a2a186
𢡇	U+22847 (U+22847)	f0a2a187
𢡈	U+22848 (U+22848)	f0a2a188
𢡉	U+22849 (U+22849)	f0a2a189
𢡊	U+2284A (U+2284A)	f0a2a18a
𢡋	U+2284B (U+2284B)	f0a2a18b
𢡌	U+2284C (U+2284C)	f0a2a18c
𢡍	U+2284D (U+2284D)	f0a2a18d
𢡎	U+2284E (U+2284E)	f0a2a18e
𢡏	U+2284F (U+2284F)	f0a2a18f
𢡐	U+22850 (U+22850)	f0a2a190
𢡑	U+22851 (U+22851)	f0a2a191
𢡒	U+22852 (U+22852)	f0a2a192
𢡓	U+22853 (U+22853)	f0a2a193
𢡔	U+22854 (U+22854)	f0a2a194
𢡕	U+22855 (U+22855)	f0a2a195
𢡖	U+22856 (U+22856)	f0a2a196
𢡗	U+22857 (U+22857)	f0a2a197
𢡘	U+22858 (U+22858)	f0a2a198
𢡙	U+22859 (U+22859)	f0a2a199
𢡚	U+2285A (U+2285A)	f0a2a19a
𢡛	U+2285B (U+2285B)	f0a2a19b
𢡜	U+2285C (U+2285C)	f0a2a19c
𢡝	U+2285D (U+2285D)	f0a2a19d
𢡞	U+2285E (U+2285E)	f0a2a19e
𢡟	U+2285F (U+2285F)	f0a2a19f
𢡠	U+22860 (U+22860)	f0a2a1a0
𢡡	U+22861 (U+22861)	f0a2a1a1
𢡢	U+22862 (U+22862)	f0a2a1a2
𢡣	U+22863 (U+22863)	f0a2a1a3
𢡤	U+22864 (U+22864)	f0a2a1a4
𢡥	U+22865 (U+22865)	f0a2a1a5
𢡦	U+22866 (U+22866)	f0a2a1a6
𢡧	U+22867 (U+22867)	f0a2a1a7
𢡨	U+22868 (U+22868)	f0a2a1a8
𢡩	U+22869 (U+22869)	f0a2a1a9
𢡪	U+2286A (U+2286A)	f0a2a1aa
𢡫	U+2286B (U+2286B)	f0a2a1ab
𢡬	U+2286C (U+2286C)	f0a2a1ac
𢡭	U+2286D (U+2286D)	f0a2a1ad
𢡮	U+2286E (U+2286E)	f0a2a1ae
𢡯	U+2286F (U+2286F)	f0a2a1af
𢡰	U+22870 (U+22870)	f0a2a1b0
𢡱	U+22871 (U+22871)	f0a2a1b1
𢡲	U+22872 (U+22872)	f0a2a1b2
𢡳	U+22873 (U+22873)	f0a2a1b3
𢡴	U+22874 (U+22874)	f0a2a1b4
𢡵	U+22875 (U+22875)	f0a2a1b5
𢡶	U+22876 (U+22876)	f0a2a1b6
𢡷	U+22877 (U+22877)	f0a2a1b7
𢡸	U+22878 (U+22878)	f0a2a1b8
𢡹	U+22879 (U+22879)	f0a2a1b9
𢡺	U+2287A (U+2287A)	f0a2a1ba
𢡻	U+2287B (U+2287B)	f0a2a1bb
𢡼	U+2287C (U+2287C)	f0a2a1bc
𢡽	U+2287D (U+2287D)	f0a2a1bd
𢡾	U+2287E (U+2287E)	f0a2a1be
𢡿	U+2287F (U+2287F)	f0a2a1bf
𢢀	U+22880 (U+22880)	f0a2a280
𢢁	U+22881 (U+22881)	f0a2a281
𢢂	U+22882 (U+22882)	f0a2a282
𢢃	U+22883 (U+22883)	f0a2a283
𢢄	U+22884 (U+22884)	f0a2a284
𢢅	U+22885 (U+22885)	f0a2a285
𢢆	U+22886 (U+22886)	f0a2a286
𢢇	U+22887 (U+22887)	f0a2a287
𢢈	U+22888 (U+22888)	f0a2a288
𢢉	U+22889 (U+22889)	f0a2a289
𢢊	U+2288A (U+2288A)	f0a2a28a
𢢋	U+2288B (U+2288B)	f0a2a28b
𢢌	U+2288C (U+2288C)	f0a2a28c
𢢍	U+2288D (U+2288D)	f0a2a28d
𢢎	U+2288E (U+2288E)	f0a2a28e
𢢏	U+2288F (U+2288F)	f0a2a28f
𢢐	U+22890 (U+22890)	f0a2a290
𢢑	U+22891 (U+22891)	f0a2a291
𢢒	U+22892 (U+22892)	f0a2a292
𢢓	U+22893 (U+22893)	f0a2a293
𢢔	U+22894 (U+22894)	f0a2a294
𢢕	U+22895 (U+22895)	f0a2a295
𢢖	U+22896 (U+22896)	f0a2a296
𢢗	U+22897 (U+22897)	f0a2a297
𢢘	U+22898 (U+22898)	f0a2a298
𢢙	U+22899 (U+22899)	f0a2a299
𢢚	U+2289A (U+2289A)	f0a2a29a
𢢛	U+2289B (U+2289B)	f0a2a29b
𢢜	U+2289C (U+2289C)	f0a2a29c
𢢝	U+2289D (U+2289D)	f0a2a29d
𢢞	U+2289E (U+2289E)	f0a2a29e
𢢟	U+2289F (U+2289F)	f0a2a29f
𢢠	U+228A0 (U+228A0)	f0a2a2a0
𢢡	U+228A1 (U+228A1)	f0a2a2a1
𢢢	U+228A2 (U+228A2)	f0a2a2a2
𢢣	U+228A3 (U+228A3)	f0a2a2a3
𢢤	U+228A4 (U+228A4)	f0a2a2a4
𢢥	U+228A5 (U+228A5)	f0a2a2a5
𢢦	U+228A6 (U+228A6)	f0a2a2a6
𢢧	U+228A7 (U+228A7)	f0a2a2a7
𢢨	U+228A8 (U+228A8)	f0a2a2a8
𢢩	U+228A9 (U+228A9)	f0a2a2a9
𢢪	U+228AA (U+228AA)	f0a2a2aa
𢢫	U+228AB (U+228AB)	f0a2a2ab
𢢬	U+228AC (U+228AC)	f0a2a2ac
𢢭	U+228AD (U+228AD)	f0a2a2ad
𢢮	U+228AE (U+228AE)	f0a2a2ae
𢢯	U+228AF (U+228AF)	f0a2a2af
𢢰	U+228B0 (U+228B0)	f0a2a2b0
𢢱	U+228B1 (U+228B1)	f0a2a2b1
𢢲	U+228B2 (U+228B2)	f0a2a2b2
𢢳	U+228B3 (U+228B3)	f0a2a2b3
𢢴	U+228B4 (U+228B4)	f0a2a2b4
𢢵	U+228B5 (U+228B5)	f0a2a2b5
𢢶	U+228B6 (U+228B6)	f0a2a2b6
𢢷	U+228B7 (U+228B7)	f0a2a2b7
𢢸	U+228B8 (U+228B8)	f0a2a2b8
𢢹	U+228B9 (U+228B9)	f0a2a2b9
𢢺	U+228BA (U+228BA)	f0a2a2ba
𢢻	U+228BB (U+228BB)	f0a2a2bb
𢢼	U+228BC (U+228BC)	f0a2a2bc
𢢽	U+228BD (U+228BD)	f0a2a2bd
𢢾	U+228BE (U+228BE)	f0a2a2be
𢢿	U+228BF (U+228BF)	f0a2a2bf
𢣀	U+228C0 (U+228C0)	f0a2a380
𢣁	U+228C1 (U+228C1)	f0a2a381
𢣂	U+228C2 (U+228C2)	f0a2a382
𢣃	U+228C3 (U+228C3)	f0a2a383
𢣄	U+228C4 (U+228C4)	f0a2a384
𢣅	U+228C5 (U+228C5)	f0a2a385
𢣆	U+228C6 (U+228C6)	f0a2a386
𢣇	U+228C7 (U+228C7)	f0a2a387
𢣈	U+228C8 (U+228C8)	f0a2a388
𢣉	U+228C9 (U+228C9)	f0a2a389
𢣊	U+228CA (U+228CA)	f0a2a38a
𢣋	U+228CB (U+228CB)	f0a2a38b
𢣌	U+228CC (U+228CC)	f0a2a38c
𢣍	U+228CD (U+228CD)	f0a2a38d
𢣎	U+228CE (U+228CE)	f0a2a38e
𢣏	U+228CF (U+228CF)	f0a2a38f
𢣐	U+228D0 (U+228D0)	f0a2a390
𢣑	U+228D1 (U+228D1)	f0a2a391
𢣒	U+228D2 (U+228D2)	f0a2a392
𢣓	U+228D3 (U+228D3)	f0a2a393
𢣔	U+228D4 (U+228D4)	f0a2a394
𢣕	U+228D5 (U+228D5)	f0a2a395
𢣖	U+228D6 (U+228D6)	f0a2a396
𢣗	U+228D7 (U+228D7)	f0a2a397
𢣘	U+228D8 (U+228D8)	f0a2a398
𢣙	U+228D9 (U+228D9)	f0a2a399
𢣚	U+228DA (U+228DA)	f0a2a39a
𢣛	U+228DB (U+228DB)	f0a2a39b
𢣜	U+228DC (U+228DC)	f0a2a39c
𢣝	U+228DD (U+228DD)	f0a2a39d
𢣞	U+228DE (U+228DE)	f0a2a39e
𢣟	U+228DF (U+228DF)	f0a2a39f
𢣠	U+228E0 (U+228E0)	f0a2a3a0
𢣡	U+228E1 (U+228E1)	f0a2a3a1
𢣢	U+228E2 (U+228E2)	f0a2a3a2
𢣣	U+228E3 (U+228E3)	f0a2a3a3
𢣤	U+228E4 (U+228E4)	f0a2a3a4
𢣥	U+228E5 (U+228E5)	f0a2a3a5
𢣦	U+228E6 (U+228E6)	f0a2a3a6
𢣧	U+228E7 (U+228E7)	f0a2a3a7
𢣨	U+228E8 (U+228E8)	f0a2a3a8
𢣩	U+228E9 (U+228E9)	f0a2a3a9
𢣪	U+228EA (U+228EA)	f0a2a3aa
𢣫	U+228EB (U+228EB)	f0a2a3ab
𢣬	U+228EC (U+228EC)	f0a2a3ac
𢣭	U+228ED (U+228ED)	f0a2a3ad
𢣮	U+228EE (U+228EE)	f0a2a3ae
𢣯	U+228EF (U+228EF)	f0a2a3af
𢣰	U+228F0 (U+228F0)	f0a2a3b0
𢣱	U+228F1 (U+228F1)	f0a2a3b1
𢣲	U+228F2 (U+228F2)	f0a2a3b2
𢣳	U+228F3 (U+228F3)	f0a2a3b3
𢣴	U+228F4 (U+228F4)	f0a2a3b4
𢣵	U+228F5 (U+228F5)	f0a2a3b5
𢣶	U+228F6 (U+228F6)	f0a2a3b6
𢣷	U+228F7 (U+228F7)	f0a2a3b7
𢣸	U+228F8 (U+228F8)	f0a2a3b8
𢣹	U+228F9 (U+228F9)	f0a2a3b9
𢣺	U+228FA (U+228FA)	f0a2a3ba
𢣻	U+228FB (U+228FB)	f0a2a3bb
𢣼	U+228FC (U+228FC)	f0a2a3bc
𢣽	U+228FD (U+228FD)	f0a2a3bd
𢣾	U+228FE (U+228FE)	f0a2a3be
𢣿	U+228FF (U+228FF)	f0a2a3bf
𢤀	U+22900 (U+22900)	f0a2a480
𢤁	U+22901 (U+22901)	f0a2a481
𢤂	U+22902 (U+22902)	f0a2a482
𢤃	U+22903 (U+22903)	f0a2a483
𢤄	U+22904 (U+22904)	f0a2a484
𢤅	U+22905 (U+22905)	f0a2a485
𢤆	U+22906 (U+22906)	f0a2a486
𢤇	U+22907 (U+22907)	f0a2a487
𢤈	U+22908 (U+22908)	f0a2a488
𢤉	U+22909 (U+22909)	f0a2a489
𢤊	U+2290A (U+2290A)	f0a2a48a
𢤋	U+2290B (U+2290B)	f0a2a48b
𢤌	U+2290C (U+2290C)	f0a2a48c
𢤍	U+2290D (U+2290D)	f0a2a48d
𢤎	U+2290E (U+2290E)	f0a2a48e
𢤏	U+2290F (U+2290F)	f0a2a48f
𢤐	U+22910 (U+22910)	f0a2a490
𢤑	U+22911 (U+22911)	f0a2a491
𢤒	U+22912 (U+22912)	f0a2a492
𢤓	U+22913 (U+22913)	f0a2a493
𢤔	U+22914 (U+22914)	f0a2a494
𢤕	U+22915 (U+22915)	f0a2a495
𢤖	U+22916 (U+22916)	f0a2a496
𢤗	U+22917 (U+22917)	f0a2a497
𢤘	U+22918 (U+22918)	f0a2a498
𢤙	U+22919 (U+22919)	f0a2a499
𢤚	U+2291A (U+2291A)	f0a2a49a
𢤛	U+2291B (U+2291B)	f0a2a49b
𢤜	U+2291C (U+2291C)	f0a2a49c
𢤝	U+2291D (U+2291D)	f0a2a49d
𢤞	U+2291E (U+2291E)	f0a2a49e
𢤟	U+2291F (U+2291F)	f0a2a49f
𢤠	U+22920 (U+22920)	f0a2a4a0
𢤡	U+22921 (U+22921)	f0a2a4a1
𢤢	U+22922 (U+22922)	f0a2a4a2
𢤣	U+22923 (U+22923)	f0a2a4a3
𢤤	U+22924 (U+22924)	f0a2a4a4
𢤥	U+22925 (U+22925)	f0a2a4a5
𢤦	U+22926 (U+22926)	f0a2a4a6
𢤧	U+22927 (U+22927)	f0a2a4a7
𢤨	U+22928 (U+22928)	f0a2a4a8
𢤩	U+22929 (U+22929)	f0a2a4a9
𢤪	U+2292A (U+2292A)	f0a2a4aa
𢤫	U+2292B (U+2292B)	f0a2a4ab
𢤬	U+2292C (U+2292C)	f0a2a4ac
𢤭	U+2292D (U+2292D)	f0a2a4ad
𢤮	U+2292E (U+2292E)	f0a2a4ae
𢤯	U+2292F (U+2292F)	f0a2a4af
𢤰	U+22930 (U+22930)	f0a2a4b0
𢤱	U+22931 (U+22931)	f0a2a4b1
𢤲	U+22932 (U+22932)	f0a2a4b2
𢤳	U+22933 (U+22933)	f0a2a4b3
𢤴	U+22934 (U+22934)	f0a2a4b4
𢤵	U+22935 (U+22935)	f0a2a4b5
𢤶	U+22936 (U+22936)	f0a2a4b6
𢤷	U+22937 (U+22937)	f0a2a4b7
𢤸	U+22938 (U+22938)	f0a2a4b8
𢤹	(Cant.) satisfied, comfortable (U+22939)	f0a2a4b9
𢤺	U+2293A (U+2293A)	f0a2a4ba
𢤻	U+2293B (U+2293B)	f0a2a4bb
𢤼	U+2293C (U+2293C)	f0a2a4bc
𢤽	U+2293D (U+2293D)	f0a2a4bd
𢤾	U+2293E (U+2293E)	f0a2a4be
𢤿	U+2293F (U+2293F)	f0a2a4bf
𢥀	U+22940 (U+22940)	f0a2a580
𢥁	U+22941 (U+22941)	f0a2a581
𢥂	U+22942 (U+22942)	f0a2a582
𢥃	U+22943 (U+22943)	f0a2a583
𢥄	U+22944 (U+22944)	f0a2a584
𢥅	U+22945 (U+22945)	f0a2a585
𢥆	U+22946 (U+22946)	f0a2a586
𢥇	U+22947 (U+22947)	f0a2a587
𢥈	U+22948 (U+22948)	f0a2a588
𢥉	U+22949 (U+22949)	f0a2a589
𢥊	U+2294A (U+2294A)	f0a2a58a
𢥋	U+2294B (U+2294B)	f0a2a58b
𢥌	U+2294C (U+2294C)	f0a2a58c
𢥍	U+2294D (U+2294D)	f0a2a58d
𢥎	U+2294E (U+2294E)	f0a2a58e
𢥏	U+2294F (U+2294F)	f0a2a58f
𢥐	U+22950 (U+22950)	f0a2a590
𢥑	U+22951 (U+22951)	f0a2a591
𢥒	U+22952 (U+22952)	f0a2a592
𢥓	U+22953 (U+22953)	f0a2a593
𢥔	U+22954 (U+22954)	f0a2a594
𢥕	U+22955 (U+22955)	f0a2a595
𢥖	U+22956 (U+22956)	f0a2a596
𢥗	U+22957 (U+22957)	f0a2a597
𢥘	U+22958 (U+22958)	f0a2a598
𢥙	U+22959 (U+22959)	f0a2a599
𢥚	U+2295A (U+2295A)	f0a2a59a
𢥛	U+2295B (U+2295B)	f0a2a59b
𢥜	U+2295C (U+2295C)	f0a2a59c
𢥝	U+2295D (U+2295D)	f0a2a59d
𢥞	same as 忡; a sad, uneasy countenance (U+2295E)	f0a2a59e
𢥟	U+2295F (U+2295F)	f0a2a59f
𢥠	terrified, afraid (U+22960)	f0a2a5a0
𢥡	U+22961 (U+22961)	f0a2a5a1
𢥢	U+22962 (U+22962)	f0a2a5a2
𢥣	U+22963 (U+22963)	f0a2a5a3
𢥤	U+22964 (U+22964)	f0a2a5a4
𢥥	U+22965 (U+22965)	f0a2a5a5
𢥦	U+22966 (U+22966)	f0a2a5a6
𢥧	U+22967 (U+22967)	f0a2a5a7
𢥨	U+22968 (U+22968)	f0a2a5a8
𢥩	U+22969 (U+22969)	f0a2a5a9
𢥪	U+2296A (U+2296A)	f0a2a5aa
𢥫	U+2296B (U+2296B)	f0a2a5ab
𢥬	U+2296C (U+2296C)	f0a2a5ac
𢥭	U+2296D (U+2296D)	f0a2a5ad
𢥮	U+2296E (U+2296E)	f0a2a5ae
𢥯	U+2296F (U+2296F)	f0a2a5af
𢥰	U+22970 (U+22970)	f0a2a5b0
𢥱	U+22971 (U+22971)	f0a2a5b1
𢥲	U+22972 (U+22972)	f0a2a5b2
𢥳	U+22973 (U+22973)	f0a2a5b3
𢥴	U+22974 (U+22974)	f0a2a5b4
𢥵	U+22975 (U+22975)	f0a2a5b5
𢥶	U+22976 (U+22976)	f0a2a5b6
𢥷	U+22977 (U+22977)	f0a2a5b7
𢥸	U+22978 (U+22978)	f0a2a5b8
𢥹	U+22979 (U+22979)	f0a2a5b9
𢥺	U+2297A (U+2297A)	f0a2a5ba
𢥻	U+2297B (U+2297B)	f0a2a5bb
𢥼	U+2297C (U+2297C)	f0a2a5bc
𢥽	U+2297D (U+2297D)	f0a2a5bd
𢥾	U+2297E (U+2297E)	f0a2a5be
𢥿	U+2297F (U+2297F)	f0a2a5bf
𢦀	U+22980 (U+22980)	f0a2a680
𢦁	U+22981 (U+22981)	f0a2a681
𢦂	(Cant.) to brag, praise oneself (U+22982)	f0a2a682
𢦃	U+22983 (U+22983)	f0a2a683
𢦄	U+22984 (U+22984)	f0a2a684
𢦅	U+22985 (U+22985)	f0a2a685
𢦆	U+22986 (U+22986)	f0a2a686
𢦇	U+22987 (U+22987)	f0a2a687
𢦈	U+22988 (U+22988)	f0a2a688
𢦉	U+22989 (U+22989)	f0a2a689
