𪍯	U+2A36F (U+2A36F)	f0aa8daf
𪐔	U+2A414 (U+2A414)	f0aa9094
𪐕	U+2A415 (U+2A415)	f0aa9095
𪐖	U+2A416 (U+2A416)	f0aa9096
𪐗	U+2A417 (U+2A417)	f0aa9097
𪐘	U+2A418 (U+2A418)	f0aa9098
𪐙	U+2A419 (U+2A419)	f0aa9099
𪐚	U+2A41A (U+2A41A)	f0aa909a
𪐛	U+2A41B (U+2A41B)	f0aa909b
𪐜	U+2A41C (U+2A41C)	f0aa909c
𪐝	U+2A41D (U+2A41D)	f0aa909d
𪐞	U+2A41E (U+2A41E)	f0aa909e
𪐟	U+2A41F (U+2A41F)	f0aa909f
𪐠	U+2A420 (U+2A420)	f0aa90a0
𪐡	U+2A421 (U+2A421)	f0aa90a1
𪐢	U+2A422 (U+2A422)	f0aa90a2
𪐣	U+2A423 (U+2A423)	f0aa90a3
𪐤	U+2A424 (U+2A424)	f0aa90a4
𪐥	U+2A425 (U+2A425)	f0aa90a5
𪐦	U+2A426 (U+2A426)	f0aa90a6
𪐧	U+2A427 (U+2A427)	f0aa90a7
𪐨	U+2A428 (U+2A428)	f0aa90a8
𪐩	U+2A429 (U+2A429)	f0aa90a9
𪐪	U+2A42A (U+2A42A)	f0aa90aa
𪐫	U+2A42B (U+2A42B)	f0aa90ab
𪐬	U+2A42C (U+2A42C)	f0aa90ac
𪐭	U+2A42D (U+2A42D)	f0aa90ad
𪐮	U+2A42E (U+2A42E)	f0aa90ae
𪐯	U+2A42F (U+2A42F)	f0aa90af
𪐰	U+2A430 (U+2A430)	f0aa90b0
𪐱	U+2A431 (U+2A431)	f0aa90b1
𪐲	U+2A432 (U+2A432)	f0aa90b2
𪐳	U+2A433 (U+2A433)	f0aa90b3
𪐴	U+2A434 (U+2A434)	f0aa90b4
𪐵	U+2A435 (U+2A435)	f0aa90b5
𪐶	U+2A436 (U+2A436)	f0aa90b6
𪐷	U+2A437 (U+2A437)	f0aa90b7
𪐸	U+2A438 (U+2A438)	f0aa90b8
𪐹	U+2A439 (U+2A439)	f0aa90b9
𪐺	U+2A43A (U+2A43A)	f0aa90ba
𪐻	U+2A43B (U+2A43B)	f0aa90bb
𪐼	U+2A43C (U+2A43C)	f0aa90bc
𪐽	U+2A43D (U+2A43D)	f0aa90bd
𪐾	U+2A43E (U+2A43E)	f0aa90be
𪐿	U+2A43F (U+2A43F)	f0aa90bf
𪑀	U+2A440 (U+2A440)	f0aa9180
𪑁	U+2A441 (U+2A441)	f0aa9181
𪑂	U+2A442 (U+2A442)	f0aa9182
𪑃	U+2A443 (U+2A443)	f0aa9183
𪑄	U+2A444 (U+2A444)	f0aa9184
𪑅	U+2A445 (U+2A445)	f0aa9185
𪑆	U+2A446 (U+2A446)	f0aa9186
𪑇	U+2A447 (U+2A447)	f0aa9187
𪑈	U+2A448 (U+2A448)	f0aa9188
𪑉	U+2A449 (U+2A449)	f0aa9189
𪑊	U+2A44A (U+2A44A)	f0aa918a
𪑋	U+2A44B (U+2A44B)	f0aa918b
𪑌	U+2A44C (U+2A44C)	f0aa918c
𪑍	U+2A44D (U+2A44D)	f0aa918d
𪑎	U+2A44E (U+2A44E)	f0aa918e
𪑏	U+2A44F (U+2A44F)	f0aa918f
𪑐	U+2A450 (U+2A450)	f0aa9190
𪑑	U+2A451 (U+2A451)	f0aa9191
𪑒	U+2A452 (U+2A452)	f0aa9192
𪑓	U+2A453 (U+2A453)	f0aa9193
𪑔	U+2A454 (U+2A454)	f0aa9194
𪑕	U+2A455 (U+2A455)	f0aa9195
𪑖	U+2A456 (U+2A456)	f0aa9196
𪑗	U+2A457 (U+2A457)	f0aa9197
𪑘	U+2A458 (U+2A458)	f0aa9198
𪑙	U+2A459 (U+2A459)	f0aa9199
𪑚	U+2A45A (U+2A45A)	f0aa919a
𪑛	U+2A45B (U+2A45B)	f0aa919b
𪑜	U+2A45C (U+2A45C)	f0aa919c
𪑝	U+2A45D (U+2A45D)	f0aa919d
𪑞	U+2A45E (U+2A45E)	f0aa919e
𪑟	U+2A45F (U+2A45F)	f0aa919f
𪑠	U+2A460 (U+2A460)	f0aa91a0
𪑡	U+2A461 (U+2A461)	f0aa91a1
𪑢	U+2A462 (U+2A462)	f0aa91a2
𪑣	U+2A463 (U+2A463)	f0aa91a3
𪑤	U+2A464 (U+2A464)	f0aa91a4
𪑥	U+2A465 (U+2A465)	f0aa91a5
𪑦	U+2A466 (U+2A466)	f0aa91a6
𪑧	U+2A467 (U+2A467)	f0aa91a7
𪑨	U+2A468 (U+2A468)	f0aa91a8
𪑩	U+2A469 (U+2A469)	f0aa91a9
𪑪	U+2A46A (U+2A46A)	f0aa91aa
𪑫	U+2A46B (U+2A46B)	f0aa91ab
𪑬	U+2A46C (U+2A46C)	f0aa91ac
𪑭	U+2A46D (U+2A46D)	f0aa91ad
𪑮	U+2A46E (U+2A46E)	f0aa91ae
𪑯	U+2A46F (U+2A46F)	f0aa91af
𪑰	U+2A470 (U+2A470)	f0aa91b0
𪑱	U+2A471 (U+2A471)	f0aa91b1
𪑲	U+2A472 (U+2A472)	f0aa91b2
𪑳	U+2A473 (U+2A473)	f0aa91b3
𪑴	U+2A474 (U+2A474)	f0aa91b4
𪑵	U+2A475 (U+2A475)	f0aa91b5
𪑶	U+2A476 (U+2A476)	f0aa91b6
𪑷	U+2A477 (U+2A477)	f0aa91b7
𪑸	U+2A478 (U+2A478)	f0aa91b8
𪑹	U+2A479 (U+2A479)	f0aa91b9
𪑺	U+2A47A (U+2A47A)	f0aa91ba
𪑻	U+2A47B (U+2A47B)	f0aa91bb
𪑼	U+2A47C (U+2A47C)	f0aa91bc
𪑽	U+2A47D (U+2A47D)	f0aa91bd
𪑾	U+2A47E (U+2A47E)	f0aa91be
𪑿	U+2A47F (U+2A47F)	f0aa91bf
𪒀	U+2A480 (U+2A480)	f0aa9280
𪒁	U+2A481 (U+2A481)	f0aa9281
𪒂	U+2A482 (U+2A482)	f0aa9282
𪒃	U+2A483 (U+2A483)	f0aa9283
𪒄	U+2A484 (U+2A484)	f0aa9284
𪒅	U+2A485 (U+2A485)	f0aa9285
𪒆	U+2A486 (U+2A486)	f0aa9286
𪒇	U+2A487 (U+2A487)	f0aa9287
𪒈	U+2A488 (U+2A488)	f0aa9288
𪒉	U+2A489 (U+2A489)	f0aa9289
𪒊	U+2A48A (U+2A48A)	f0aa928a
𪒋	U+2A48B (U+2A48B)	f0aa928b
𪒌	U+2A48C (U+2A48C)	f0aa928c
𪒍	U+2A48D (U+2A48D)	f0aa928d
𪒎	U+2A48E (U+2A48E)	f0aa928e
𪒏	U+2A48F (U+2A48F)	f0aa928f
𪒐	U+2A490 (U+2A490)	f0aa9290
𪒑	U+2A491 (U+2A491)	f0aa9291
𪒒	U+2A492 (U+2A492)	f0aa9292
𪒓	U+2A493 (U+2A493)	f0aa9293
𪒔	U+2A494 (U+2A494)	f0aa9294
𪒕	U+2A495 (U+2A495)	f0aa9295
𪒖	U+2A496 (U+2A496)	f0aa9296
𪒗	U+2A497 (U+2A497)	f0aa9297
𪒘	U+2A498 (U+2A498)	f0aa9298
𪒙	U+2A499 (U+2A499)	f0aa9299
𪒚	U+2A49A (U+2A49A)	f0aa929a
𪒛	U+2A49B (U+2A49B)	f0aa929b
𪒜	U+2A49C (U+2A49C)	f0aa929c
𪒝	U+2A49D (U+2A49D)	f0aa929d
𪒞	U+2A49E (U+2A49E)	f0aa929e
𪒟	U+2A49F (U+2A49F)	f0aa929f
𪒠	U+2A4A0 (U+2A4A0)	f0aa92a0
𪒡	U+2A4A1 (U+2A4A1)	f0aa92a1
𪒢	U+2A4A2 (U+2A4A2)	f0aa92a2
𪒣	U+2A4A3 (U+2A4A3)	f0aa92a3
𪒤	U+2A4A4 (U+2A4A4)	f0aa92a4
𪒥	U+2A4A5 (U+2A4A5)	f0aa92a5
𪒦	U+2A4A6 (U+2A4A6)	f0aa92a6
𪒧	U+2A4A7 (U+2A4A7)	f0aa92a7
𪒨	U+2A4A8 (U+2A4A8)	f0aa92a8
𪒩	U+2A4A9 (U+2A4A9)	f0aa92a9
𪒪	U+2A4AA (U+2A4AA)	f0aa92aa
𪒫	U+2A4AB (U+2A4AB)	f0aa92ab
𪒬	(Cant.) burned (U+2A4AC)	f0aa92ac
𪒭	U+2A4AD (U+2A4AD)	f0aa92ad
𪒮	U+2A4AE (U+2A4AE)	f0aa92ae
𪒯	U+2A4AF (U+2A4AF)	f0aa92af
𪒰	U+2A4B0 (U+2A4B0)	f0aa92b0
𪒱	U+2A4B1 (U+2A4B1)	f0aa92b1
𪒲	U+2A4B2 (U+2A4B2)	f0aa92b2
𪒳	U+2A4B3 (U+2A4B3)	f0aa92b3
𪒴	U+2A4B4 (U+2A4B4)	f0aa92b4
𪒵	U+2A4B5 (U+2A4B5)	f0aa92b5
𪒶	U+2A4B6 (U+2A4B6)	f0aa92b6
𪒷	U+2A4B7 (U+2A4B7)	f0aa92b7
𪒸	U+2A4B8 (U+2A4B8)	f0aa92b8
𪒹	U+2A4B9 (U+2A4B9)	f0aa92b9
𪒺	U+2A4BA (U+2A4BA)	f0aa92ba
𪒻	U+2A4BB (U+2A4BB)	f0aa92bb
𪒼	U+2A4BC (U+2A4BC)	f0aa92bc
𪒽	U+2A4BD (U+2A4BD)	f0aa92bd
𪒾	U+2A4BE (U+2A4BE)	f0aa92be
𪒿	U+2A4BF (U+2A4BF)	f0aa92bf
𪓀	U+2A4C0 (U+2A4C0)	f0aa9380
𪓁	U+2A4C1 (U+2A4C1)	f0aa9381
𪓂	U+2A4C2 (U+2A4C2)	f0aa9382
𪓃	U+2A4C3 (U+2A4C3)	f0aa9383
𪓄	U+2A4C4 (U+2A4C4)	f0aa9384
𪓅	U+2A4C5 (U+2A4C5)	f0aa9385
𪓆	U+2A4C6 (U+2A4C6)	f0aa9386
𪓇	U+2A4C7 (U+2A4C7)	f0aa9387
𪓈	U+2A4C8 (U+2A4C8)	f0aa9388
𪓉	U+2A4C9 (U+2A4C9)	f0aa9389
𪓊	U+2A4CA (U+2A4CA)	f0aa938a
𪓋	U+2A4CB (U+2A4CB)	f0aa938b
𪓌	U+2A4CC (U+2A4CC)	f0aa938c
𪓍	U+2A4CD (U+2A4CD)	f0aa938d
𪓎	U+2A4CE (U+2A4CE)	f0aa938e
𪓏	U+2A4CF (U+2A4CF)	f0aa938f
𪓐	U+2A4D0 (U+2A4D0)	f0aa9390
𪓑	U+2A4D1 (U+2A4D1)	f0aa9391
𪓒	U+2A4D2 (U+2A4D2)	f0aa9392
𪓓	U+2A4D3 (U+2A4D3)	f0aa9393
𪓔	U+2A4D4 (U+2A4D4)	f0aa9394
𪓕	U+2A4D5 (U+2A4D5)	f0aa9395
𪓖	U+2A4D6 (U+2A4D6)	f0aa9396
𪓗	U+2A4D7 (U+2A4D7)	f0aa9397
𪓘	U+2A4D8 (U+2A4D8)	f0aa9398
𪓙	U+2A4D9 (U+2A4D9)	f0aa9399
𪓚	U+2A4DA (U+2A4DA)	f0aa939a
𪓛	U+2A4DB (U+2A4DB)	f0aa939b
𪓜	U+2A4DC (U+2A4DC)	f0aa939c
𪓝	U+2A4DD (U+2A4DD)	f0aa939d
𪓞	U+2A4DE (U+2A4DE)	f0aa939e
𪓟	U+2A4DF (U+2A4DF)	f0aa939f
𪓠	U+2A4E0 (U+2A4E0)	f0aa93a0
𪓡	U+2A4E1 (U+2A4E1)	f0aa93a1
𪓢	U+2A4E2 (U+2A4E2)	f0aa93a2
𪓣	U+2A4E3 (U+2A4E3)	f0aa93a3
𪓤	U+2A4E4 (U+2A4E4)	f0aa93a4
𪓥	U+2A4E5 (U+2A4E5)	f0aa93a5
𪓦	U+2A4E6 (U+2A4E6)	f0aa93a6
𪓧	U+2A4E7 (U+2A4E7)	f0aa93a7
𪓨	U+2A4E8 (U+2A4E8)	f0aa93a8
𪓩	U+2A4E9 (U+2A4E9)	f0aa93a9
𪓪	U+2A4EA (U+2A4EA)	f0aa93aa
𪓫	U+2A4EB (U+2A4EB)	f0aa93ab
𪓬	U+2A4EC (U+2A4EC)	f0aa93ac
𪓭	U+2A4ED (U+2A4ED)	f0aa93ad
𪓮	U+2A4EE (U+2A4EE)	f0aa93ae
𪓯	U+2A4EF (U+2A4EF)	f0aa93af
𪓰	U+2A4F0 (U+2A4F0)	f0aa93b0
𪓱	U+2A4F1 (U+2A4F1)	f0aa93b1
𪓲	U+2A4F2 (U+2A4F2)	f0aa93b2
𪓳	U+2A4F3 (U+2A4F3)	f0aa93b3
𪓴	U+2A4F4 (U+2A4F4)	f0aa93b4
𪓵	U+2A4F5 (U+2A4F5)	f0aa93b5
𪓶	U+2A4F6 (U+2A4F6)	f0aa93b6
𪓷	U+2A4F7 (U+2A4F7)	f0aa93b7
𪓸	U+2A4F8 (U+2A4F8)	f0aa93b8
𪓹	U+2A4F9 (U+2A4F9)	f0aa93b9
𪓺	U+2A4FA (U+2A4FA)	f0aa93ba
𪓻	U+2A4FB (U+2A4FB)	f0aa93bb
𪓼	U+2A4FC (U+2A4FC)	f0aa93bc
𪓽	U+2A4FD (U+2A4FD)	f0aa93bd
𪓾	U+2A4FE (U+2A4FE)	f0aa93be
𪓿	U+2A4FF (U+2A4FF)	f0aa93bf
𪔀	U+2A500 (U+2A500)	f0aa9480
𪔁	U+2A501 (U+2A501)	f0aa9481
𪔂	tripod (U+2A502)	f0aa9482
𪔃	U+2A503 (U+2A503)	f0aa9483
𪔄	U+2A504 (U+2A504)	f0aa9484
𪔅	U+2A505 (U+2A505)	f0aa9485
𪔆	U+2A506 (U+2A506)	f0aa9486
𪔇	U+2A507 (U+2A507)	f0aa9487
𪔈	U+2A508 (U+2A508)	f0aa9488
𪔉	U+2A509 (U+2A509)	f0aa9489
𪔊	U+2A50A (U+2A50A)	f0aa948a
𪔋	U+2A50B (U+2A50B)	f0aa948b
𪔌	U+2A50C (U+2A50C)	f0aa948c
𪔍	U+2A50D (U+2A50D)	f0aa948d
𪔎	U+2A50E (U+2A50E)	f0aa948e
𪔏	U+2A50F (U+2A50F)	f0aa948f
𪔐	U+2A510 (U+2A510)	f0aa9490
𪔑	U+2A511 (U+2A511)	f0aa9491
𪔒	U+2A512 (U+2A512)	f0aa9492
𪔓	U+2A513 (U+2A513)	f0aa9493
𪔔	U+2A514 (U+2A514)	f0aa9494
𪔕	U+2A515 (U+2A515)	f0aa9495
𪔖	U+2A516 (U+2A516)	f0aa9496
𪔗	U+2A517 (U+2A517)	f0aa9497
𪔘	U+2A518 (U+2A518)	f0aa9498
𪔙	U+2A519 (U+2A519)	f0aa9499
𪔚	U+2A51A (U+2A51A)	f0aa949a
𪔛	U+2A51B (U+2A51B)	f0aa949b
𪔜	U+2A51C (U+2A51C)	f0aa949c
𪔝	U+2A51D (U+2A51D)	f0aa949d
𪔞	U+2A51E (U+2A51E)	f0aa949e
𪔟	U+2A51F (U+2A51F)	f0aa949f
𪔠	U+2A520 (U+2A520)	f0aa94a0
𪔡	U+2A521 (U+2A521)	f0aa94a1
𪔢	U+2A522 (U+2A522)	f0aa94a2
𪔣	U+2A523 (U+2A523)	f0aa94a3
𪔤	U+2A524 (U+2A524)	f0aa94a4
𪔥	U+2A525 (U+2A525)	f0aa94a5
𪔦	U+2A526 (U+2A526)	f0aa94a6
𪔧	U+2A527 (U+2A527)	f0aa94a7
𪔨	U+2A528 (U+2A528)	f0aa94a8
𪔩	U+2A529 (U+2A529)	f0aa94a9
𪔪	U+2A52A (U+2A52A)	f0aa94aa
𪔫	U+2A52B (U+2A52B)	f0aa94ab
𪔬	U+2A52C (U+2A52C)	f0aa94ac
𪔭	U+2A52D (U+2A52D)	f0aa94ad
𪔮	U+2A52E (U+2A52E)	f0aa94ae
𪔯	U+2A52F (U+2A52F)	f0aa94af
𪔰	U+2A530 (U+2A530)	f0aa94b0
𪔱	U+2A531 (U+2A531)	f0aa94b1
𪔲	U+2A532 (U+2A532)	f0aa94b2
𪔳	U+2A533 (U+2A533)	f0aa94b3
𪔴	U+2A534 (U+2A534)	f0aa94b4
𪔵	U+2A535 (U+2A535)	f0aa94b5
𪔶	U+2A536 (U+2A536)	f0aa94b6
𪔷	U+2A537 (U+2A537)	f0aa94b7
𪔸	U+2A538 (U+2A538)	f0aa94b8
𪔹	U+2A539 (U+2A539)	f0aa94b9
𪔺	U+2A53A (U+2A53A)	f0aa94ba
𪔻	U+2A53B (U+2A53B)	f0aa94bb
𪔼	U+2A53C (U+2A53C)	f0aa94bc
𪔽	U+2A53D (U+2A53D)	f0aa94bd
𪔾	a rat, mouse (U+2A53E)	f0aa94be
𪔿	U+2A53F (U+2A53F)	f0aa94bf
𪕀	U+2A540 (U+2A540)	f0aa9580
𪕁	U+2A541 (U+2A541)	f0aa9581
𪕂	U+2A542 (U+2A542)	f0aa9582
𪕃	U+2A543 (U+2A543)	f0aa9583
𪕄	U+2A544 (U+2A544)	f0aa9584
𪕅	U+2A545 (U+2A545)	f0aa9585
𪕆	U+2A546 (U+2A546)	f0aa9586
𪕇	U+2A547 (U+2A547)	f0aa9587
𪕈	U+2A548 (U+2A548)	f0aa9588
𪕉	U+2A549 (U+2A549)	f0aa9589
𪕊	U+2A54A (U+2A54A)	f0aa958a
𪕋	U+2A54B (U+2A54B)	f0aa958b
𪕌	U+2A54C (U+2A54C)	f0aa958c
𪕍	U+2A54D (U+2A54D)	f0aa958d
𪕎	U+2A54E (U+2A54E)	f0aa958e
𪕏	U+2A54F (U+2A54F)	f0aa958f
𪕐	U+2A550 (U+2A550)	f0aa9590
𪕑	U+2A551 (U+2A551)	f0aa9591
𪕒	U+2A552 (U+2A552)	f0aa9592
𪕓	U+2A553 (U+2A553)	f0aa9593
𪕔	U+2A554 (U+2A554)	f0aa9594
𪕕	U+2A555 (U+2A555)	f0aa9595
𪕖	U+2A556 (U+2A556)	f0aa9596
𪕗	U+2A557 (U+2A557)	f0aa9597
𪕘	U+2A558 (U+2A558)	f0aa9598
𪕙	U+2A559 (U+2A559)	f0aa9599
𪕚	U+2A55A (U+2A55A)	f0aa959a
