諕	to intimidate (U+8AD5)	e8ab95
謬	error, exaggeration; erroneous (U+8B2C)	e8acac
謭	shallow; stupid (U+8B2D)	e8acad
謮	U+8B2E (U+8B2E)	e8acae
謯	U+8B2F (U+8B2F)	e8acaf
謰	U+8B30 (U+8B30)	e8acb0
謱	U+8B31 (U+8B31)	e8acb1
謲	U+8B32 (U+8B32)	e8acb2
謳	to sing; songs (U+8B33)	e8acb3
謴	U+8B34 (U+8B34)	e8acb4
謵	U+8B35 (U+8B35)	e8acb5
謶	U+8B36 (U+8B36)	e8acb6
謷	slander; to revile; huge; big (U+8B37)	e8acb7
謸	U+8B38 (U+8B38)	e8acb8
謹	prudent, cautious; attentive (U+8B39)	e8acb9
謺	U+8B3A (U+8B3A)	e8acba
謻	U+8B3B (U+8B3B)	e8acbb
謼	to shout; to mourn to invoke (U+8B3C)	e8acbc
謽	U+8B3D (U+8B3D)	e8acbd
謾	deceive, insult (U+8B3E)	e8acbe
謿	ridicule, deride, scorn, jeer at (U+8B3F)	e8acbf
譀	U+8B40 (U+8B40)	e8ad80
譁	noise, uproar; clamor, hubbub (U+8B41)	e8ad81
譂	U+8B42 (U+8B42)	e8ad82
譃	U+8B43 (U+8B43)	e8ad83
譄	U+8B44 (U+8B44)	e8ad84
譅	wriggling (U+8B45)	e8ad85
譆	scream (U+8B46)	e8ad86
譇	U+8B47 (U+8B47)	e8ad87
譈	dislike (U+8B48)	e8ad88
證	proof, evidence; testify, verify (U+8B49)	e8ad89
譊	wrangling; to quarrel (U+8B4A)	e8ad8a
譋	U+8B4B (U+8B4B)	e8ad8b
譌	false, erronious (U+8B4C)	e8ad8c
譍	answer (U+8B4D)	e8ad8d
譎	cunning, crafty, sly, wily (U+8B4E)	e8ad8e
譏	ridicule, jeer, mock; inspect (U+8B4F)	e8ad8f
譐	to talk, converse (U+8B50)	e8ad90
譑	U+8B51 (U+8B51)	e8ad91
譒	U+8B52 (U+8B52)	e8ad92
譓	U+8B53 (U+8B53)	e8ad93
譔	eulogize; compose, write (U+8B54)	e8ad94
譕	U+8B55 (U+8B55)	e8ad95
譖	to slander (U+8B56)	e8ad96
譗	U+8B57 (U+8B57)	e8ad97
識	recognize, understand, know (U+8B58)	e8ad98
譙	tower; surname (U+8B59)	e8ad99
譚	surname; to talk (U+8B5A)	e8ad9a
譛	to slander (U+8B5B)	e8ad9b
譜	register, list, table; musical score (U+8B5C)	e8ad9c
譝	U+8B5D (U+8B5D)	e8ad9d
譞	U+8B5E (U+8B5E)	e8ad9e
譟	clamor, noise, din; slander (U+8B5F)	e8ad9f
譠	U+8B60 (U+8B60)	e8ada0
譡	U+8B61 (U+8B61)	e8ada1
譢	U+8B62 (U+8B62)	e8ada2
譣	U+8B63 (U+8B63)	e8ada3
譤	U+8B64 (U+8B64)	e8ada4
譥	U+8B65 (U+8B65)	e8ada5
警	guard, watch; alert, alarm (U+8B66)	e8ada6
譧	U+8B67 (U+8B67)	e8ada7
譨	U+8B68 (U+8B68)	e8ada8
譩	U+8B69 (U+8B69)	e8ada9
譪	U+8B6A (U+8B6A)	e8adaa
譫	talkative; incoherent talk (U+8B6B)	e8adab
譬	metaphor, simile, example (U+8B6C)	e8adac
譭	to slander; to defame (U+8B6D)	e8adad
譮	U+8B6E (U+8B6E)	e8adae
譯	translate; decode; encode (U+8B6F)	e8adaf
議	consult, talk over, discuss (U+8B70)	e8adb0
譱	U+8B71 (U+8B71)	e8adb1
譲	allow, permit, yield, concede (U+8B72)	e8adb2
譳	U+8B73 (U+8B73)	e8adb3
譴	reprimand, scold, abuse (U+8B74)	e8adb4
譵	U+8B75 (U+8B75)	e8adb5
譶	U+8B76 (U+8B76)	e8adb6
護	protect, guard, defend, shelter (U+8B77)	e8adb7
譸	deceive, cheat; hurried, bustling (U+8B78)	e8adb8
譹	to shout, roar, terrify; swiftly (U+8B79)	e8adb9
譺	U+8B7A (U+8B7A)	e8adba
譻	U+8B7B (U+8B7B)	e8adbb
譼	to supervise to confine a government establishment (U+8B7C)	e8adbc
譽	fame, reputation; praise (U+8B7D)	e8adbd
譾	shallow; stupid (U+8B7E)	e8adbe
譿	U+8B7F (U+8B7F)	e8adbf
讀	read, study; pronounce (U+8B80)	e8ae80
讁	punish; fault, blame, reprove (U+8B81)	e8ae81
讂	U+8B82 (U+8B82)	e8ae82
讃	praise, commend, eulogize (U+8B83)	e8ae83
讄	U+8B84 (U+8B84)	e8ae84
讅	know in detail (U+8B85)	e8ae85
讆	to exaggerate; incredible (U+8B86)	e8ae86
讇	flatter; suspect, be uncertain (U+8B87)	e8ae87
讈	U+8B88 (U+8B88)	e8ae88
讉	U+8B89 (U+8B89)	e8ae89
變	change, transform, alter; rebel (U+8B8A)	e8ae8a
讋	fear; envy; loquacious (U+8B8B)	e8ae8b
讌	a feast, banquet; to entertain, feast (U+8B8C)	e8ae8c
讍	honest speech (U+8B8D)	e8ae8d
讎	enemy, rival, opponent (U+8B8E)	e8ae8e
讏	U+8B8F (U+8B8F)	e8ae8f
讐	enemy, rival, opponent (U+8B90)	e8ae90
讑	U+8B91 (U+8B91)	e8ae91
讒	slander, defame, misrepresent (U+8B92)	e8ae92
讓	allow, permit, yield, concede (U+8B93)	e8ae93
讔	U+8B94 (U+8B94)	e8ae94
讕	accuse falsely; slander, libel (U+8B95)	e8ae95
讖	prophecy, hint, omen (U+8B96)	e8ae96
讗	U+8B97 (U+8B97)	e8ae97
讘	U+8B98 (U+8B98)	e8ae98
讙	cheer; noise, noisy (U+8B99)	e8ae99
讚	praise, commend, eulogize (U+8B9A)	e8ae9a
讛	U+8B9B (U+8B9B)	e8ae9b
讜	counsel, advice; speak out (U+8B9C)	e8ae9c
讝	U+8B9D (U+8B9D)	e8ae9d
讞	to decide, judge; a verdict, decision (U+8B9E)	e8ae9e
讟	slander, utter evil words (U+8B9F)	e8ae9f
讠	simplified KangXi radical 149 (U+8BA0)	e8aea0
计	plan, plot; strategem; scheme (U+8BA1)	e8aea1
订	draw up agreement; arrange (U+8BA2)	e8aea2
讣	obituary; give notice of death (U+8BA3)	e8aea3
认	recognize, know, understand (U+8BA4)	e8aea4
讥	ridicule, jeer, mock; inspect (U+8BA5)	e8aea5
讦	expose other's secrets, pry (U+8BA6)	e8aea6
讧	confusion; internal strife (U+8BA7)	e8aea7
讨	to discuss; ask for, beg; demand; dun; marry (U+8BA8)	e8aea8
让	allow, permit, yield, concede (U+8BA9)	e8aea9
讪	abuse, slander; vilify; ridicule (U+8BAA)	e8aeaa
讫	finish; conclude, stop; exhaust (U+8BAB)	e8aeab
讬	entrust, rely on; commission (U+8BAC)	e8aeac
训	teach, instruct; exegesis (U+8BAD)	e8aead
议	consult, talk over, discuss (U+8BAE)	e8aeae
讯	inquire; ask; examine; reproach (U+8BAF)	e8aeaf
记	record; keep in mind, remember (U+8BB0)	e8aeb0
讱	hesitate to say, reluctant to speak (U+8BB1)	e8aeb1
讲	explain; discuss; talk (U+8BB2)	e8aeb2
讳	conceal; shun; regard as taboo (U+8BB3)	e8aeb3
讴	sing; songs (U+8BB4)	e8aeb4
讵	an interjection used express surprise (U+8BB5)	e8aeb5
讶	express surprise, be surprised (U+8BB6)	e8aeb6
讷	slow of speech; mumble; stammer (U+8BB7)	e8aeb7
许	allow, permit; promise; betroth (U+8BB8)	e8aeb8
讹	swindle, cheat; erroneous, wrong (U+8BB9)	e8aeb9
论	debate; discuss; discourse (U+8BBA)	e8aeba
讻	noisily; uproarious; troublesome (U+8BBB)	e8aebb
讼	accuse; argue, dispute; litigate (U+8BBC)	e8aebc
讽	recite, incant; satirize (U+8BBD)	e8aebd
设	build; establish; display (U+8BBE)	e8aebe
访	visit; ask, inquire (U+8BBF)	e8aebf
诀	take leave of, bid farewell (U+8BC0)	e8af80
证	prove, confirm, verify; proof (U+8BC1)	e8af81
诂	exegesis, explanation; explain (U+8BC2)	e8af82
诃	scold loudly, curse, abuse (U+8BC3)	e8af83
评	appraise, criticize, evaluate (U+8BC4)	e8af84
诅	curse; swear, pledge (U+8BC5)	e8af85
识	recognize, understand, know (U+8BC6)	e8af86
诇	to spy; to give information; shrewd (U+8BC7)	e8af87
诈	cheat, defraud, swindle; trick (U+8BC8)	e8af88
诉	accuse; sue; inform; narrate (U+8BC9)	e8af89
诊	examine patient, diagnose (U+8BCA)	e8af8a
诋	slander, comdemn, reproach (U+8BCB)	e8af8b
诌	play with words, quip; talk nonse (U+8BCC)	e8af8c
词	words; phrase, expression (U+8BCD)	e8af8d
诎	bend, stoop, crouch; to yield (U+8BCE)	e8af8e
诏	decree, proclaim; imperial decree (U+8BCF)	e8af8f
诐	argue; biased; one-sided (U+8BD0)	e8af90
译	translate; decode; encode (U+8BD1)	e8af91
诒	bequeath, pass on to future generations (U+8BD2)	e8af92
诓	cheat, swindle, lie (U+8BD3)	e8af93
诔	eulogize, praise the dead (U+8BD4)	e8af94
试	test, try, experiment (U+8BD5)	e8af95
诖	error, mistake; deceive, mislead (U+8BD6)	e8af96
诗	poetry; poem, verse, ode (U+8BD7)	e8af97
诘	question, interrogate (U+8BD8)	e8af98
诙	tease, joke with; ridicule, mock (U+8BD9)	e8af99
诚	sincere, honest; true, real (U+8BDA)	e8af9a
诛	execute, kill, put to death; punish (U+8BDB)	e8af9b
诜	inquire, question; numerous (U+8BDC)	e8af9c
话	speech, talk, language; dialect (U+8BDD)	e8af9d
诞	bear children, give birth; birth (U+8BDE)	e8af9e
诟	abuse, scold, berate, insult (U+8BDF)	e8af9f
诠	explain, expound, comment on (U+8BE0)	e8afa0
诡	deceive, cheat, defraud; sly (U+8BE1)	e8afa1
询	inquire into, ask about; consult (U+8BE2)	e8afa2
诣	reach; achievement, accomplishment (U+8BE3)	e8afa3
诤	to expostulate; to remonstrate (U+8BE4)	e8afa4
该	should, ought to, need to (U+8BE5)	e8afa5
详	detailed, complete, thorough (U+8BE6)	e8afa6
诧	be surprised, be shocked (U+8BE7)	e8afa7
诨	jokes, obsene jests; joke (U+8BE8)	e8afa8
诩	boast, brag; popular, well-known (U+8BE9)	e8afa9
诪	deceive, cheat; hurried, bustling (U+8BEA)	e8afaa
诫	warn, admonish; warning (U+8BEB)	e8afab
诬	make false accusation; defame (U+8BEC)	e8afac
语	language, words; saying, expression (U+8BED)	e8afad
诮	criticize, scold, blame, ridicule (U+8BEE)	e8afae
误	err, make mistake; interfere (U+8BEF)	e8afaf
诰	inform, notify, admonish, order (U+8BF0)	e8afb0
诱	persuade, entice, induce; guide (U+8BF1)	e8afb1
诲	teach, instruct; encourage, urge (U+8BF2)	e8afb2
诳	deceive, lie, delude, cheat (U+8BF3)	e8afb3
说	speak, say, talk; scold, upbraid (U+8BF4)	e8afb4
诵	recite, chant, repeat (U+8BF5)	e8afb5
诶	an exclamation of confirmation (U+8BF6)	e8afb6
请	ask, request; invite; please (U+8BF7)	e8afb7
诸	various, all, these; surname (U+8BF8)	e8afb8
诹	consult, confer; select, choose (U+8BF9)	e8afb9
诺	promise; assent, approve (U+8BFA)	e8afba
读	read, study; pronounce (U+8BFB)	e8afbb
诼	slander; gossip; rumors (U+8BFC)	e8afbc
诽	slander, vilify, condemn (U+8BFD)	e8afbd
课	lesson; course; classwork (U+8BFE)	e8afbe
诿	pass buck, lay blame on others (U+8BFF)	e8afbf
谀	flatter, truckle (U+8C00)	e8b080
谁	who? whom? whose? anyone? (U+8C01)	e8b081
谂	consult carefully with, counsel (U+8C02)	e8b082
调	transfer, move, change; tune (U+8C03)	e8b083
谄	flatter, truckle, toady (U+8C04)	e8b084
谅	excuse, forgive; guess, presume (U+8C05)	e8b085
谆	patient, earnest; earnestly (U+8C06)	e8b086
谇	speak ill of, vilify; berate (U+8C07)	e8b087
谈	talk; conversation; surname (U+8C08)	e8b088
谉	U+8C09 (U+8C09)	e8b089
谊	friendship; appropriate, suitable (U+8C0A)	e8b08a
谋	plan, scheme; strategem (U+8C0B)	e8b08b
谌	sincere, faithful; surname (U+8C0C)	e8b08c
谍	an intelligence report; to spy; spying (U+8C0D)	e8b08d
谎	lie (U+8C0E)	e8b08e
谏	remonstrate, admonish (U+8C0F)	e8b08f
谐	harmonize, agree; joke, jest (U+8C10)	e8b090
谑	jeer (U+8C11)	e8b091
谒	visit, pay respects (U+8C12)	e8b092
谓	say, tell; call, name; be called (U+8C13)	e8b093
谔	honest speech, straightforward (U+8C14)	e8b094
谕	proclaim, instruct; edict (U+8C15)	e8b095
谖	forget; lie, cheat, deceive (U+8C16)	e8b096
谗	slander, defame, misrepresent (U+8C17)	e8b097
谘	consult, confer; communicate in (U+8C18)	e8b098
谙	versed in, fully acquainted with (U+8C19)	e8b099
谚	proverb, maxim (U+8C1A)	e8b09a
谛	careful, attentive (U+8C1B)	e8b09b
谜	riddle, conundrum; puzzle (U+8C1C)	e8b09c
谝	brag, boast; quibble (U+8C1D)	e8b09d
谞	knowledge; discrimination; treachery (U+8C1E)	e8b09e
谟	scheme, plan; plan; be without (U+8C1F)	e8b09f
谠	counsel, advice; speak out (U+8C20)	e8b0a0
谡	rise up; raise up (U+8C21)	e8b0a1
谢	thank; decline (U+8C22)	e8b0a2
谣	sing; folksong, ballad; rumor (U+8C23)	e8b0a3
谤	slander, libel (U+8C24)	e8b0a4
谥	to confer posthumous titles (U+8C25)	e8b0a5
谦	humble, modest (U+8C26)	e8b0a6
谧	calm, quiet, still; cautious (U+8C27)	e8b0a7
谨	prudent, cautious; attentive (U+8C28)	e8b0a8
谩	deceive, insult (U+8C29)	e8b0a9
谪	charge, blame; disgrace; demote (U+8C2A)	e8b0aa
谫	shallow; stupid (U+8C2B)	e8b0ab
谬	error, exaggeration; erroneous (U+8C2C)	e8b0ac
谭	surname (U+8C2D)	e8b0ad
谮	to slander (U+8C2E)	e8b0ae
谯	tower; surname (U+8C2F)	e8b0af
谰	accuse falsely; slander, libel (U+8C30)	e8b0b0
谱	list, table; musical score (U+8C31)	e8b0b1
谲	cunning, crafty, sly, wily (U+8C32)	e8b0b2
谳	to decide, judge; a verdict, decision (U+8C33)	e8b0b3
谴	reprimand, scold, abuse (U+8C34)	e8b0b4
谵	talkative; incoherent talk (U+8C35)	e8b0b5
谶	prophecy, hint, omen (U+8C36)	e8b0b6
谷	valley, gorge, ravine (U+8C37)	e8b0b7
谸	U+8C38 (U+8C38)	e8b0b8
谹	U+8C39 (U+8C39)	e8b0b9
谺	the mouth of a valley (U+8C3A)	e8b0ba
谻	U+8C3B (U+8C3B)	e8b0bb
谼	U+8C3C (U+8C3C)	e8b0bc
谽	a mouth or opening (U+8C3D)	e8b0bd
谾	U+8C3E (U+8C3E)	e8b0be
谿	valley, gorge; mountain stream (U+8C3F)	e8b0bf
豀	to quarrel; mean and petty (U+8C40)	e8b180
豁	open up, clear; exempt (U+8C41)	e8b181
豂	U+8C42 (U+8C42)	e8b182
豃	U+8C43 (U+8C43)	e8b183
豄	U+8C44 (U+8C44)	e8b184
豅	U+8C45 (U+8C45)	e8b185
豆	beans, peas; bean-shaped (U+8C46)	e8b186
豇	a small kidney bean (U+8C47)	e8b187
豈	how? what? (U+8C48)	e8b188
豉	fermented beans (U+8C49)	e8b189
豊	abundant, lush, bountiful, plenty (U+8C4A)	e8b18a
豋	ceremonial vessel (U+8C4B)	e8b18b
豌	peas (U+8C4C)	e8b18c
豍	U+8C4D (U+8C4D)	e8b18d
豎	vertical; perpendicular; upright (U+8C4E)	e8b18e
豏	half-grown beans (U+8C4F)	e8b18f
豐	abundant, lush, bountiful, plenty (U+8C50)	e8b190
豑	U+8C51 (U+8C51)	e8b191
豒	U+8C52 (U+8C52)	e8b192
豓	beautiful, captivating, plump, voluptuous (U+8C53)	e8b193
豔	plump, voluptuous, beautiful (U+8C54)	e8b194
豕	a pig, boar; KangXi radical 152 (U+8C55)	e8b195
豖	a shackled pig (U+8C56)	e8b196
豗	clamour (U+8C57)	e8b197
豘	a small pig (U+8C58)	e8b198
豙	U+8C59 (U+8C59)	e8b199
豚	small pig, suckling pig; suffle (U+8C5A)	e8b19a
豛	U+8C5B (U+8C5B)	e8b19b
豜	pig of 3 years (U+8C5C)	e8b19c
豝	sow (female pig) (U+8C5D)	e8b19d
豞	U+8C5E (U+8C5E)	e8b19e
豟	U+8C5F (U+8C5F)	e8b19f
豠	U+8C60 (U+8C60)	e8b1a0
象	elephant; ivory; figure, image (U+8C61)	e8b1a1
豢	domestic animals; feed, raise (U+8C62)	e8b1a2
豣	pig of 3 years (U+8C63)	e8b1a3
豤	U+8C64 (U+8C64)	e8b1a4
豥	U+8C65 (U+8C65)	e8b1a5
豦	a wild boar; to fight (U+8C66)	e8b1a6
豧	U+8C67 (U+8C67)	e8b1a7
豨	pig, hog (U+8C68)	e8b1a8
豩	U+8C69 (U+8C69)	e8b1a9
豪	brave, heroic, chivalrous (U+8C6A)	e8b1aa
豫	relaxed, comfortable, at ease (U+8C6B)	e8b1ab
豬	pig, hog (U+8C6C)	e8b1ac
豭	boar, male pig (U+8C6D)	e8b1ad
豮	castrate pig (U+8C6E)	e8b1ae
豯	U+8C6F (U+8C6F)	e8b1af
豰	U+8C70 (U+8C70)	e8b1b0
豱	U+8C71 (U+8C71)	e8b1b1
豲	U+8C72 (U+8C72)	e8b1b2
豳	a Zhou-dynasty state (U+8C73)	e8b1b3
豴	a pig's hoof; to go, to send (U+8C74)	e8b1b4
豵	young pig (U+8C75)	e8b1b5
豶	castrate pig (U+8C76)	e8b1b6
豷	person's name (U+8C77)	e8b1b7
豸	KangXi radical 153; legless insects; a legendary beast (U+8C78)	e8b1b8
豹	leopard, panther; surname (U+8C79)	e8b1b9
豺	wolf; cruel, wicked, mean (U+8C7A)	e8b1ba
豻	prison; a kind of wild dog (U+8C7B)	e8b1bb
豼	fox, leopard, panther (U+8C7C)	e8b1bc
豽	U+8C7D (U+8C7D)	e8b1bd
豾	U+8C7E (U+8C7E)	e8b1be
豿	U+8C7F (U+8C7F)	e8b1bf
貀	U+8C80 (U+8C80)	e8b280
貁	U+8C81 (U+8C81)	e8b281
貂	marten, sable, mink (U+8C82)	e8b282
貃	U+8C83 (U+8C83)	e8b283
貄	U+8C84 (U+8C84)	e8b284
貅	brave, fierce, courageous (U+8C85)	e8b285
貆	small badger; porcupine (U+8C86)	e8b286
貇	to root, gnaw (U+8C87)	e8b287
貈	U+8C88 (U+8C88)	e8b288
貉	badger; raccoon dog (U+8C89)	e8b289
貊	leopard; ancient tribe in northeastern China (U+8C8A)	e8b28a
貋	U+8C8B (U+8C8B)	e8b28b
貌	countenance, appearance (U+8C8C)	e8b28c
貍	a fox-like animal (U+8C8D)	e8b28d
貎	lion; wild beast; wild horse (U+8C8E)	e8b28e
貏	U+8C8F (U+8C8F)	e8b28f
貐	U+8C90 (U+8C90)	e8b290
貑	U+8C91 (U+8C91)	e8b291
貒	U+8C92 (U+8C92)	e8b292
貓	cat (U+8C93)	e8b293
貔	fox, leopard, panther (U+8C94)	e8b294
貕	U+8C95 (U+8C95)	e8b295
貖	U+8C96 (U+8C96)	e8b296
貗	U+8C97 (U+8C97)	e8b297
貘	the panther; the tapir (U+8C98)	e8b298
貙	a kind of animal like a tiger; fierce wild beasts (U+8C99)	e8b299
貚	U+8C9A (U+8C9A)	e8b29a
貛	badger (U+8C9B)	e8b29b
貜	ape (U+8C9C)	e8b29c
貝	sea shell; money, currency (U+8C9D)	e8b29d
貞	virtuous, chaste, pure; loyal (U+8C9E)	e8b29e
貟	member; personnel, staff member (U+8C9F)	e8b29f
負	load, burden; carry, bear (U+8CA0)	e8b2a0
財	wealth, valuables, riches (U+8CA1)	e8b2a1
貢	offer tribute; tribute, gifts (U+8CA2)	e8b2a2
貣	U+8CA3 (U+8CA3)	e8b2a3
貤	steps, grade, strata; series (U+8CA4)	e8b2a4
貥	U+8CA5 (U+8CA5)	e8b2a5
貦	U+8CA6 (U+8CA6)	e8b2a6
貧	poor, impoverished, needy (U+8CA7)	e8b2a7
貨	goods, commodities, products (U+8CA8)	e8b2a8
販	peddler, hawker, street merchant (U+8CA9)	e8b2a9
貪	greedy, covet; covetous (U+8CAA)	e8b2aa
貫	a string of 1000 coins; to go through (U+8CAB)	e8b2ab
責	one's responsibility, duty (U+8CAC)	e8b2ac
貭	matter, material, substance (U+8CAD)	e8b2ad
貮	number two (U+8CAE)	e8b2ae
貯	store, stockpile, hoard (U+8CAF)	e8b2af
貰	borrow; pardon; loan (U+8CB0)	e8b2b0
貱	U+8CB1 (U+8CB1)	e8b2b1
貲	property; wealth; to count (U+8CB2)	e8b2b2
貳	number two (U+8CB3)	e8b2b3
貴	expensive, costly, valuable (U+8CB4)	e8b2b4
貵	U+8CB5 (U+8CB5)	e8b2b5
貶	decrease, lower; censure, criticize (U+8CB6)	e8b2b6
買	buy, purchase; bribe, persuade (U+8CB7)	e8b2b7
貸	lend; borrow; pardon (U+8CB8)	e8b2b8
貹	U+8CB9 (U+8CB9)	e8b2b9
貺	give, grant, bestow; surname (U+8CBA)	e8b2ba
費	expenses, expenditures, fee (U+8CBB)	e8b2bb
貼	paste to, stick on; attached to (U+8CBC)	e8b2bc
貽	give to, hand down, bequeath (U+8CBD)	e8b2bd
貾	U+8CBE (U+8CBE)	e8b2be
貿	trade, barter; mixed; rashly (U+8CBF)	e8b2bf
賀	congratulate; send present (U+8CC0)	e8b380
賁	forge ahead; energetic; surname (U+8CC1)	e8b381
賂	bribe; give present (U+8CC2)	e8b382
賃	rent, hire; hired person (U+8CC3)	e8b383
賄	bribe; bribes; riches, wealth (U+8CC4)	e8b384
賅	prepared for; inclusive (U+8CC5)	e8b385
賆	U+8CC6 (U+8CC6)	e8b386
資	property; wealth; capital (U+8CC7)	e8b387
賈	surname; merchant; buy, trade (U+8CC8)	e8b388
賉	to give alms (U+8CC9)	e8b389
賊	thief, traitor (U+8CCA)	e8b38a
賋	U+8CCB (U+8CCB)	e8b38b
賌	U+8CCC (U+8CCC)	e8b38c
賍	booty, loot, stolen goods; bribe (U+8CCD)	e8b38d
賎	mean, low; cheap, worthless (U+8CCE)	e8b38e
賏	pearls or shells strung together (U+8CCF)	e8b38f
賐	U+8CD0 (U+8CD0)	e8b390
賑	relieve, aid distressed; rich (U+8CD1)	e8b391
賒	buy and sell on credit, distant (U+8CD2)	e8b392
賓	guest, visitor; surname; submit (U+8CD3)	e8b393
賔	guest, visitor; surname; submit (U+8CD4)	e8b394
賕	bribe (U+8CD5)	e8b395
賖	U+8CD6 (U+8CD6)	e8b396
賗	U+8CD7 (U+8CD7)	e8b397
賘	U+8CD8 (U+8CD8)	e8b398
賙	give for charity (U+8CD9)	e8b399
賚	give, present, confer; surname (U+8CDA)	e8b39a
賛	help, support, assist, aid (U+8CDB)	e8b39b
賜	give, bestow favors; appoint (U+8CDC)	e8b39c
賝	preious (U+8CDD)	e8b39d
賞	reward, grant, bestow; appreciate (U+8CDE)	e8b39e
賟	U+8CDF (U+8CDF)	e8b39f
賠	indemnify, suffer loss (U+8CE0)	e8b3a0
賡	continue (U+8CE1)	e8b3a1
賢	virtuous, worthy, good; able (U+8CE2)	e8b3a2
賣	sell; betray; show off (U+8CE3)	e8b3a3
賤	mean, low; cheap, worthless (U+8CE4)	e8b3a4
賥	U+8CE5 (U+8CE5)	e8b3a5
