𧭯	U+27B6F (U+27B6F)	f0a7adaf
𧰊	a rumbling sound (U+27C0A)	f0a7b08a
𧰋	U+27C0B (U+27C0B)	f0a7b08b
𧰌	U+27C0C (U+27C0C)	f0a7b08c
𧰍	U+27C0D (U+27C0D)	f0a7b08d
𧰎	U+27C0E (U+27C0E)	f0a7b08e
𧰏	U+27C0F (U+27C0F)	f0a7b08f
𧰐	U+27C10 (U+27C10)	f0a7b090
𧰑	U+27C11 (U+27C11)	f0a7b091
𧰒	U+27C12 (U+27C12)	f0a7b092
𧰓	U+27C13 (U+27C13)	f0a7b093
𧰔	U+27C14 (U+27C14)	f0a7b094
𧰕	U+27C15 (U+27C15)	f0a7b095
𧰖	U+27C16 (U+27C16)	f0a7b096
𧰗	U+27C17 (U+27C17)	f0a7b097
𧰘	U+27C18 (U+27C18)	f0a7b098
𧰙	U+27C19 (U+27C19)	f0a7b099
𧰚	U+27C1A (U+27C1A)	f0a7b09a
𧰛	U+27C1B (U+27C1B)	f0a7b09b
𧰜	U+27C1C (U+27C1C)	f0a7b09c
𧰝	U+27C1D (U+27C1D)	f0a7b09d
𧰞	U+27C1E (U+27C1E)	f0a7b09e
𧰟	U+27C1F (U+27C1F)	f0a7b09f
𧰠	U+27C20 (U+27C20)	f0a7b0a0
𧰡	U+27C21 (U+27C21)	f0a7b0a1
𧰢	U+27C22 (U+27C22)	f0a7b0a2
𧰣	U+27C23 (U+27C23)	f0a7b0a3
𧰤	U+27C24 (U+27C24)	f0a7b0a4
𧰥	U+27C25 (U+27C25)	f0a7b0a5
𧰦	U+27C26 (U+27C26)	f0a7b0a6
𧰧	to assemble (U+27C27)	f0a7b0a7
𧰨	U+27C28 (U+27C28)	f0a7b0a8
𧰩	U+27C29 (U+27C29)	f0a7b0a9
𧰪	U+27C2A (U+27C2A)	f0a7b0aa
𧰫	U+27C2B (U+27C2B)	f0a7b0ab
𧰬	U+27C2C (U+27C2C)	f0a7b0ac
𧰭	U+27C2D (U+27C2D)	f0a7b0ad
𧰮	U+27C2E (U+27C2E)	f0a7b0ae
𧰯	U+27C2F (U+27C2F)	f0a7b0af
𧰰	U+27C30 (U+27C30)	f0a7b0b0
𧰱	U+27C31 (U+27C31)	f0a7b0b1
𧰲	U+27C32 (U+27C32)	f0a7b0b2
𧰳	U+27C33 (U+27C33)	f0a7b0b3
𧰴	U+27C34 (U+27C34)	f0a7b0b4
𧰵	U+27C35 (U+27C35)	f0a7b0b5
𧰶	U+27C36 (U+27C36)	f0a7b0b6
𧰷	U+27C37 (U+27C37)	f0a7b0b7
𧰸	U+27C38 (U+27C38)	f0a7b0b8
𧰹	U+27C39 (U+27C39)	f0a7b0b9
𧰺	U+27C3A (U+27C3A)	f0a7b0ba
𧰻	U+27C3B (U+27C3B)	f0a7b0bb
𧰼	U+27C3C (U+27C3C)	f0a7b0bc
𧰽	U+27C3D (U+27C3D)	f0a7b0bd
𧰾	U+27C3E (U+27C3E)	f0a7b0be
𧰿	U+27C3F (U+27C3F)	f0a7b0bf
𧱀	U+27C40 (U+27C40)	f0a7b180
𧱁	U+27C41 (U+27C41)	f0a7b181
𧱂	U+27C42 (U+27C42)	f0a7b182
𧱃	U+27C43 (U+27C43)	f0a7b183
𧱄	U+27C44 (U+27C44)	f0a7b184
𧱅	U+27C45 (U+27C45)	f0a7b185
𧱆	U+27C46 (U+27C46)	f0a7b186
𧱇	U+27C47 (U+27C47)	f0a7b187
𧱈	U+27C48 (U+27C48)	f0a7b188
𧱉	U+27C49 (U+27C49)	f0a7b189
𧱊	U+27C4A (U+27C4A)	f0a7b18a
𧱋	U+27C4B (U+27C4B)	f0a7b18b
𧱌	U+27C4C (U+27C4C)	f0a7b18c
𧱍	U+27C4D (U+27C4D)	f0a7b18d
𧱎	U+27C4E (U+27C4E)	f0a7b18e
𧱏	U+27C4F (U+27C4F)	f0a7b18f
𧱐	U+27C50 (U+27C50)	f0a7b190
𧱑	U+27C51 (U+27C51)	f0a7b191
𧱒	U+27C52 (U+27C52)	f0a7b192
𧱓	U+27C53 (U+27C53)	f0a7b193
𧱔	U+27C54 (U+27C54)	f0a7b194
𧱕	U+27C55 (U+27C55)	f0a7b195
𧱖	U+27C56 (U+27C56)	f0a7b196
𧱗	U+27C57 (U+27C57)	f0a7b197
𧱘	U+27C58 (U+27C58)	f0a7b198
𧱙	U+27C59 (U+27C59)	f0a7b199
𧱚	U+27C5A (U+27C5A)	f0a7b19a
𧱛	U+27C5B (U+27C5B)	f0a7b19b
𧱜	U+27C5C (U+27C5C)	f0a7b19c
𧱝	U+27C5D (U+27C5D)	f0a7b19d
𧱞	U+27C5E (U+27C5E)	f0a7b19e
𧱟	U+27C5F (U+27C5F)	f0a7b19f
𧱠	U+27C60 (U+27C60)	f0a7b1a0
𧱡	U+27C61 (U+27C61)	f0a7b1a1
𧱢	U+27C62 (U+27C62)	f0a7b1a2
𧱣	U+27C63 (U+27C63)	f0a7b1a3
𧱤	U+27C64 (U+27C64)	f0a7b1a4
𧱥	U+27C65 (U+27C65)	f0a7b1a5
𧱦	U+27C66 (U+27C66)	f0a7b1a6
𧱧	U+27C67 (U+27C67)	f0a7b1a7
𧱨	U+27C68 (U+27C68)	f0a7b1a8
𧱩	U+27C69 (U+27C69)	f0a7b1a9
𧱪	U+27C6A (U+27C6A)	f0a7b1aa
𧱫	U+27C6B (U+27C6B)	f0a7b1ab
𧱬	U+27C6C (U+27C6C)	f0a7b1ac
𧱭	U+27C6D (U+27C6D)	f0a7b1ad
𧱮	U+27C6E (U+27C6E)	f0a7b1ae
𧱯	U+27C6F (U+27C6F)	f0a7b1af
𧱰	U+27C70 (U+27C70)	f0a7b1b0
𧱱	U+27C71 (U+27C71)	f0a7b1b1
𧱲	U+27C72 (U+27C72)	f0a7b1b2
𧱳	U+27C73 (U+27C73)	f0a7b1b3
𧱴	U+27C74 (U+27C74)	f0a7b1b4
𧱵	U+27C75 (U+27C75)	f0a7b1b5
𧱶	U+27C76 (U+27C76)	f0a7b1b6
𧱷	U+27C77 (U+27C77)	f0a7b1b7
𧱸	U+27C78 (U+27C78)	f0a7b1b8
𧱹	U+27C79 (U+27C79)	f0a7b1b9
𧱺	U+27C7A (U+27C7A)	f0a7b1ba
𧱻	U+27C7B (U+27C7B)	f0a7b1bb
𧱼	U+27C7C (U+27C7C)	f0a7b1bc
𧱽	U+27C7D (U+27C7D)	f0a7b1bd
𧱾	U+27C7E (U+27C7E)	f0a7b1be
𧱿	U+27C7F (U+27C7F)	f0a7b1bf
𧲀	U+27C80 (U+27C80)	f0a7b280
𧲁	U+27C81 (U+27C81)	f0a7b281
𧲂	U+27C82 (U+27C82)	f0a7b282
𧲃	U+27C83 (U+27C83)	f0a7b283
𧲄	U+27C84 (U+27C84)	f0a7b284
𧲅	U+27C85 (U+27C85)	f0a7b285
𧲆	U+27C86 (U+27C86)	f0a7b286
𧲇	U+27C87 (U+27C87)	f0a7b287
𧲈	U+27C88 (U+27C88)	f0a7b288
𧲉	U+27C89 (U+27C89)	f0a7b289
𧲊	U+27C8A (U+27C8A)	f0a7b28a
𧲋	U+27C8B (U+27C8B)	f0a7b28b
𧲌	U+27C8C (U+27C8C)	f0a7b28c
𧲍	U+27C8D (U+27C8D)	f0a7b28d
𧲎	U+27C8E (U+27C8E)	f0a7b28e
𧲏	U+27C8F (U+27C8F)	f0a7b28f
𧲐	U+27C90 (U+27C90)	f0a7b290
𧲑	U+27C91 (U+27C91)	f0a7b291
𧲒	U+27C92 (U+27C92)	f0a7b292
𧲓	U+27C93 (U+27C93)	f0a7b293
𧲔	U+27C94 (U+27C94)	f0a7b294
𧲕	U+27C95 (U+27C95)	f0a7b295
𧲖	U+27C96 (U+27C96)	f0a7b296
𧲗	U+27C97 (U+27C97)	f0a7b297
𧲘	U+27C98 (U+27C98)	f0a7b298
𧲙	U+27C99 (U+27C99)	f0a7b299
𧲚	U+27C9A (U+27C9A)	f0a7b29a
𧲛	U+27C9B (U+27C9B)	f0a7b29b
𧲜	U+27C9C (U+27C9C)	f0a7b29c
𧲝	U+27C9D (U+27C9D)	f0a7b29d
𧲞	U+27C9E (U+27C9E)	f0a7b29e
𧲟	U+27C9F (U+27C9F)	f0a7b29f
𧲠	U+27CA0 (U+27CA0)	f0a7b2a0
𧲡	U+27CA1 (U+27CA1)	f0a7b2a1
𧲢	U+27CA2 (U+27CA2)	f0a7b2a2
𧲣	U+27CA3 (U+27CA3)	f0a7b2a3
𧲤	U+27CA4 (U+27CA4)	f0a7b2a4
𧲥	U+27CA5 (U+27CA5)	f0a7b2a5
𧲦	U+27CA6 (U+27CA6)	f0a7b2a6
𧲧	U+27CA7 (U+27CA7)	f0a7b2a7
𧲨	U+27CA8 (U+27CA8)	f0a7b2a8
𧲩	U+27CA9 (U+27CA9)	f0a7b2a9
𧲪	U+27CAA (U+27CAA)	f0a7b2aa
𧲫	U+27CAB (U+27CAB)	f0a7b2ab
𧲬	U+27CAC (U+27CAC)	f0a7b2ac
𧲭	U+27CAD (U+27CAD)	f0a7b2ad
𧲮	U+27CAE (U+27CAE)	f0a7b2ae
𧲯	U+27CAF (U+27CAF)	f0a7b2af
𧲰	U+27CB0 (U+27CB0)	f0a7b2b0
𧲱	U+27CB1 (U+27CB1)	f0a7b2b1
𧲲	U+27CB2 (U+27CB2)	f0a7b2b2
𧲳	U+27CB3 (U+27CB3)	f0a7b2b3
𧲴	U+27CB4 (U+27CB4)	f0a7b2b4
𧲵	U+27CB5 (U+27CB5)	f0a7b2b5
𧲶	U+27CB6 (U+27CB6)	f0a7b2b6
𧲷	U+27CB7 (U+27CB7)	f0a7b2b7
𧲸	U+27CB8 (U+27CB8)	f0a7b2b8
𧲹	U+27CB9 (U+27CB9)	f0a7b2b9
𧲺	U+27CBA (U+27CBA)	f0a7b2ba
𧲻	U+27CBB (U+27CBB)	f0a7b2bb
𧲼	U+27CBC (U+27CBC)	f0a7b2bc
𧲽	U+27CBD (U+27CBD)	f0a7b2bd
𧲾	U+27CBE (U+27CBE)	f0a7b2be
𧲿	U+27CBF (U+27CBF)	f0a7b2bf
𧳀	U+27CC0 (U+27CC0)	f0a7b380
𧳁	U+27CC1 (U+27CC1)	f0a7b381
𧳂	U+27CC2 (U+27CC2)	f0a7b382
𧳃	U+27CC3 (U+27CC3)	f0a7b383
𧳄	U+27CC4 (U+27CC4)	f0a7b384
𧳅	U+27CC5 (U+27CC5)	f0a7b385
𧳆	U+27CC6 (U+27CC6)	f0a7b386
𧳇	U+27CC7 (U+27CC7)	f0a7b387
𧳈	U+27CC8 (U+27CC8)	f0a7b388
𧳉	U+27CC9 (U+27CC9)	f0a7b389
𧳊	U+27CCA (U+27CCA)	f0a7b38a
𧳋	U+27CCB (U+27CCB)	f0a7b38b
𧳌	U+27CCC (U+27CCC)	f0a7b38c
𧳍	U+27CCD (U+27CCD)	f0a7b38d
𧳎	U+27CCE (U+27CCE)	f0a7b38e
𧳏	U+27CCF (U+27CCF)	f0a7b38f
𧳐	U+27CD0 (U+27CD0)	f0a7b390
𧳑	U+27CD1 (U+27CD1)	f0a7b391
𧳒	U+27CD2 (U+27CD2)	f0a7b392
𧳓	U+27CD3 (U+27CD3)	f0a7b393
𧳔	U+27CD4 (U+27CD4)	f0a7b394
𧳕	U+27CD5 (U+27CD5)	f0a7b395
𧳖	U+27CD6 (U+27CD6)	f0a7b396
𧳗	U+27CD7 (U+27CD7)	f0a7b397
𧳘	U+27CD8 (U+27CD8)	f0a7b398
𧳙	U+27CD9 (U+27CD9)	f0a7b399
𧳚	U+27CDA (U+27CDA)	f0a7b39a
𧳛	U+27CDB (U+27CDB)	f0a7b39b
𧳜	U+27CDC (U+27CDC)	f0a7b39c
𧳝	U+27CDD (U+27CDD)	f0a7b39d
𧳞	U+27CDE (U+27CDE)	f0a7b39e
𧳟	U+27CDF (U+27CDF)	f0a7b39f
𧳠	U+27CE0 (U+27CE0)	f0a7b3a0
𧳡	U+27CE1 (U+27CE1)	f0a7b3a1
𧳢	U+27CE2 (U+27CE2)	f0a7b3a2
𧳣	U+27CE3 (U+27CE3)	f0a7b3a3
𧳤	U+27CE4 (U+27CE4)	f0a7b3a4
𧳥	U+27CE5 (U+27CE5)	f0a7b3a5
𧳦	U+27CE6 (U+27CE6)	f0a7b3a6
𧳧	U+27CE7 (U+27CE7)	f0a7b3a7
𧳨	U+27CE8 (U+27CE8)	f0a7b3a8
𧳩	U+27CE9 (U+27CE9)	f0a7b3a9
𧳪	U+27CEA (U+27CEA)	f0a7b3aa
𧳫	U+27CEB (U+27CEB)	f0a7b3ab
𧳬	U+27CEC (U+27CEC)	f0a7b3ac
𧳭	U+27CED (U+27CED)	f0a7b3ad
𧳮	U+27CEE (U+27CEE)	f0a7b3ae
𧳯	U+27CEF (U+27CEF)	f0a7b3af
𧳰	U+27CF0 (U+27CF0)	f0a7b3b0
𧳱	U+27CF1 (U+27CF1)	f0a7b3b1
𧳲	U+27CF2 (U+27CF2)	f0a7b3b2
𧳳	U+27CF3 (U+27CF3)	f0a7b3b3
𧳴	U+27CF4 (U+27CF4)	f0a7b3b4
𧳵	U+27CF5 (U+27CF5)	f0a7b3b5
𧳶	U+27CF6 (U+27CF6)	f0a7b3b6
𧳷	U+27CF7 (U+27CF7)	f0a7b3b7
𧳸	U+27CF8 (U+27CF8)	f0a7b3b8
𧳹	U+27CF9 (U+27CF9)	f0a7b3b9
𧳺	U+27CFA (U+27CFA)	f0a7b3ba
𧳻	U+27CFB (U+27CFB)	f0a7b3bb
𧳼	U+27CFC (U+27CFC)	f0a7b3bc
𧳽	U+27CFD (U+27CFD)	f0a7b3bd
𧳾	U+27CFE (U+27CFE)	f0a7b3be
𧳿	U+27CFF (U+27CFF)	f0a7b3bf
𧴀	U+27D00 (U+27D00)	f0a7b480
𧴁	U+27D01 (U+27D01)	f0a7b481
𧴂	U+27D02 (U+27D02)	f0a7b482
𧴃	U+27D03 (U+27D03)	f0a7b483
𧴄	U+27D04 (U+27D04)	f0a7b484
𧴅	U+27D05 (U+27D05)	f0a7b485
𧴆	U+27D06 (U+27D06)	f0a7b486
𧴇	U+27D07 (U+27D07)	f0a7b487
𧴈	U+27D08 (U+27D08)	f0a7b488
𧴉	U+27D09 (U+27D09)	f0a7b489
𧴊	U+27D0A (U+27D0A)	f0a7b48a
𧴋	U+27D0B (U+27D0B)	f0a7b48b
𧴌	U+27D0C (U+27D0C)	f0a7b48c
𧴍	U+27D0D (U+27D0D)	f0a7b48d
𧴎	U+27D0E (U+27D0E)	f0a7b48e
𧴏	U+27D0F (U+27D0F)	f0a7b48f
𧴐	U+27D10 (U+27D10)	f0a7b490
𧴑	U+27D11 (U+27D11)	f0a7b491
𧴒	U+27D12 (U+27D12)	f0a7b492
𧴓	U+27D13 (U+27D13)	f0a7b493
𧴔	U+27D14 (U+27D14)	f0a7b494
𧴕	U+27D15 (U+27D15)	f0a7b495
𧴖	U+27D16 (U+27D16)	f0a7b496
𧴗	U+27D17 (U+27D17)	f0a7b497
𧴘	U+27D18 (U+27D18)	f0a7b498
𧴙	U+27D19 (U+27D19)	f0a7b499
𧴚	U+27D1A (U+27D1A)	f0a7b49a
𧴛	U+27D1B (U+27D1B)	f0a7b49b
𧴜	U+27D1C (U+27D1C)	f0a7b49c
𧴝	U+27D1D (U+27D1D)	f0a7b49d
𧴞	U+27D1E (U+27D1E)	f0a7b49e
𧴟	U+27D1F (U+27D1F)	f0a7b49f
𧴠	U+27D20 (U+27D20)	f0a7b4a0
𧴡	U+27D21 (U+27D21)	f0a7b4a1
𧴢	U+27D22 (U+27D22)	f0a7b4a2
𧴣	U+27D23 (U+27D23)	f0a7b4a3
𧴤	U+27D24 (U+27D24)	f0a7b4a4
𧴥	U+27D25 (U+27D25)	f0a7b4a5
𧴦	U+27D26 (U+27D26)	f0a7b4a6
𧴧	U+27D27 (U+27D27)	f0a7b4a7
𧴨	U+27D28 (U+27D28)	f0a7b4a8
𧴩	U+27D29 (U+27D29)	f0a7b4a9
𧴪	fragments (U+27D2A)	f0a7b4aa
𧴫	U+27D2B (U+27D2B)	f0a7b4ab
𧴬	U+27D2C (U+27D2C)	f0a7b4ac
𧴭	U+27D2D (U+27D2D)	f0a7b4ad
𧴮	U+27D2E (U+27D2E)	f0a7b4ae
𧴯	(Cant.) to carry on the back (U+27D2F)	f0a7b4af
𧴰	U+27D30 (U+27D30)	f0a7b4b0
𧴱	U+27D31 (U+27D31)	f0a7b4b1
𧴲	U+27D32 (U+27D32)	f0a7b4b2
𧴳	U+27D33 (U+27D33)	f0a7b4b3
𧴴	U+27D34 (U+27D34)	f0a7b4b4
𧴵	U+27D35 (U+27D35)	f0a7b4b5
𧴶	U+27D36 (U+27D36)	f0a7b4b6
𧴷	U+27D37 (U+27D37)	f0a7b4b7
𧴸	U+27D38 (U+27D38)	f0a7b4b8
𧴹	U+27D39 (U+27D39)	f0a7b4b9
𧴺	U+27D3A (U+27D3A)	f0a7b4ba
𧴻	U+27D3B (U+27D3B)	f0a7b4bb
𧴼	U+27D3C (U+27D3C)	f0a7b4bc
𧴽	U+27D3D (U+27D3D)	f0a7b4bd
𧴾	U+27D3E (U+27D3E)	f0a7b4be
𧴿	U+27D3F (U+27D3F)	f0a7b4bf
𧵀	U+27D40 (U+27D40)	f0a7b580
𧵁	U+27D41 (U+27D41)	f0a7b581
𧵂	U+27D42 (U+27D42)	f0a7b582
𧵃	U+27D43 (U+27D43)	f0a7b583
𧵄	U+27D44 (U+27D44)	f0a7b584
𧵅	U+27D45 (U+27D45)	f0a7b585
𧵆	U+27D46 (U+27D46)	f0a7b586
𧵇	U+27D47 (U+27D47)	f0a7b587
𧵈	U+27D48 (U+27D48)	f0a7b588
𧵉	U+27D49 (U+27D49)	f0a7b589
𧵊	U+27D4A (U+27D4A)	f0a7b58a
𧵋	U+27D4B (U+27D4B)	f0a7b58b
𧵌	U+27D4C (U+27D4C)	f0a7b58c
𧵍	U+27D4D (U+27D4D)	f0a7b58d
𧵎	U+27D4E (U+27D4E)	f0a7b58e
𧵏	U+27D4F (U+27D4F)	f0a7b58f
𧵐	U+27D50 (U+27D50)	f0a7b590
𧵑	U+27D51 (U+27D51)	f0a7b591
𧵒	U+27D52 (U+27D52)	f0a7b592
𧵓	U+27D53 (U+27D53)	f0a7b593
𧵔	U+27D54 (U+27D54)	f0a7b594
𧵕	U+27D55 (U+27D55)	f0a7b595
𧵖	U+27D56 (U+27D56)	f0a7b596
𧵗	U+27D57 (U+27D57)	f0a7b597
𧵘	U+27D58 (U+27D58)	f0a7b598
𧵙	U+27D59 (U+27D59)	f0a7b599
𧵚	U+27D5A (U+27D5A)	f0a7b59a
𧵛	U+27D5B (U+27D5B)	f0a7b59b
𧵜	U+27D5C (U+27D5C)	f0a7b59c
𧵝	U+27D5D (U+27D5D)	f0a7b59d
𧵞	U+27D5E (U+27D5E)	f0a7b59e
𧵟	U+27D5F (U+27D5F)	f0a7b59f
𧵠	U+27D60 (U+27D60)	f0a7b5a0
𧵡	U+27D61 (U+27D61)	f0a7b5a1
𧵢	U+27D62 (U+27D62)	f0a7b5a2
