𦝯	U+2676F (U+2676F)	f0a69daf
𦞴	U+267B4 (U+267B4)	f0a69eb4
𦞵	U+267B5 (U+267B5)	f0a69eb5
𦞶	U+267B6 (U+267B6)	f0a69eb6
𦞷	U+267B7 (U+267B7)	f0a69eb7
𦞸	U+267B8 (U+267B8)	f0a69eb8
𦞹	U+267B9 (U+267B9)	f0a69eb9
𦞺	U+267BA (U+267BA)	f0a69eba
𦞻	U+267BB (U+267BB)	f0a69ebb
𦞼	U+267BC (U+267BC)	f0a69ebc
𦞽	U+267BD (U+267BD)	f0a69ebd
𦞾	U+267BE (U+267BE)	f0a69ebe
𦞿	U+267BF (U+267BF)	f0a69ebf
𦟀	U+267C0 (U+267C0)	f0a69f80
𦟁	U+267C1 (U+267C1)	f0a69f81
𦟂	U+267C2 (U+267C2)	f0a69f82
𦟃	U+267C3 (U+267C3)	f0a69f83
𦟄	U+267C4 (U+267C4)	f0a69f84
𦟅	U+267C5 (U+267C5)	f0a69f85
𦟆	U+267C6 (U+267C6)	f0a69f86
𦟇	U+267C7 (U+267C7)	f0a69f87
𦟈	U+267C8 (U+267C8)	f0a69f88
𦟉	U+267C9 (U+267C9)	f0a69f89
𦟊	U+267CA (U+267CA)	f0a69f8a
𦟋	U+267CB (U+267CB)	f0a69f8b
𦟌	muscle (U+267CC)	f0a69f8c
𦟍	U+267CD (U+267CD)	f0a69f8d
𦟎	U+267CE (U+267CE)	f0a69f8e
𦟏	U+267CF (U+267CF)	f0a69f8f
𦟐	U+267D0 (U+267D0)	f0a69f90
𦟑	U+267D1 (U+267D1)	f0a69f91
𦟒	U+267D2 (U+267D2)	f0a69f92
𦟓	U+267D3 (U+267D3)	f0a69f93
𦟔	U+267D4 (U+267D4)	f0a69f94
𦟕	U+267D5 (U+267D5)	f0a69f95
𦟖	U+267D6 (U+267D6)	f0a69f96
𦟗	U+267D7 (U+267D7)	f0a69f97
𦟘	U+267D8 (U+267D8)	f0a69f98
𦟙	U+267D9 (U+267D9)	f0a69f99
𦟚	U+267DA (U+267DA)	f0a69f9a
𦟛	U+267DB (U+267DB)	f0a69f9b
𦟜	U+267DC (U+267DC)	f0a69f9c
𦟝	U+267DD (U+267DD)	f0a69f9d
𦟞	U+267DE (U+267DE)	f0a69f9e
𦟟	U+267DF (U+267DF)	f0a69f9f
𦟠	U+267E0 (U+267E0)	f0a69fa0
𦟡	U+267E1 (U+267E1)	f0a69fa1
𦟢	U+267E2 (U+267E2)	f0a69fa2
𦟣	U+267E3 (U+267E3)	f0a69fa3
𦟤	viands, delicacies (U+267E4)	f0a69fa4
𦟥	U+267E5 (U+267E5)	f0a69fa5
𦟦	U+267E6 (U+267E6)	f0a69fa6
𦟧	U+267E7 (U+267E7)	f0a69fa7
𦟨	U+267E8 (U+267E8)	f0a69fa8
𦟩	U+267E9 (U+267E9)	f0a69fa9
𦟪	U+267EA (U+267EA)	f0a69faa
𦟫	U+267EB (U+267EB)	f0a69fab
𦟬	U+267EC (U+267EC)	f0a69fac
𦟭	U+267ED (U+267ED)	f0a69fad
𦟮	U+267EE (U+267EE)	f0a69fae
𦟯	U+267EF (U+267EF)	f0a69faf
𦟰	U+267F0 (U+267F0)	f0a69fb0
𦟱	U+267F1 (U+267F1)	f0a69fb1
𦟲	U+267F2 (U+267F2)	f0a69fb2
𦟳	U+267F3 (U+267F3)	f0a69fb3
𦟴	U+267F4 (U+267F4)	f0a69fb4
𦟵	U+267F5 (U+267F5)	f0a69fb5
𦟶	U+267F6 (U+267F6)	f0a69fb6
𦟷	U+267F7 (U+267F7)	f0a69fb7
𦟸	U+267F8 (U+267F8)	f0a69fb8
𦟹	U+267F9 (U+267F9)	f0a69fb9
𦟺	U+267FA (U+267FA)	f0a69fba
𦟻	U+267FB (U+267FB)	f0a69fbb
𦟼	U+267FC (U+267FC)	f0a69fbc
𦟽	U+267FD (U+267FD)	f0a69fbd
𦟾	U+267FE (U+267FE)	f0a69fbe
𦟿	U+267FF (U+267FF)	f0a69fbf
𦠀	U+26800 (U+26800)	f0a6a080
𦠁	U+26801 (U+26801)	f0a6a081
𦠂	U+26802 (U+26802)	f0a6a082
𦠃	U+26803 (U+26803)	f0a6a083
𦠄	U+26804 (U+26804)	f0a6a084
𦠅	U+26805 (U+26805)	f0a6a085
𦠆	U+26806 (U+26806)	f0a6a086
𦠇	U+26807 (U+26807)	f0a6a087
𦠈	U+26808 (U+26808)	f0a6a088
𦠉	U+26809 (U+26809)	f0a6a089
𦠊	U+2680A (U+2680A)	f0a6a08a
𦠋	U+2680B (U+2680B)	f0a6a08b
𦠌	U+2680C (U+2680C)	f0a6a08c
𦠍	U+2680D (U+2680D)	f0a6a08d
𦠎	U+2680E (U+2680E)	f0a6a08e
𦠏	U+2680F (U+2680F)	f0a6a08f
𦠐	U+26810 (U+26810)	f0a6a090
𦠑	U+26811 (U+26811)	f0a6a091
𦠒	U+26812 (U+26812)	f0a6a092
𦠓	U+26813 (U+26813)	f0a6a093
𦠔	U+26814 (U+26814)	f0a6a094
𦠕	U+26815 (U+26815)	f0a6a095
𦠖	U+26816 (U+26816)	f0a6a096
𦠗	U+26817 (U+26817)	f0a6a097
𦠘	U+26818 (U+26818)	f0a6a098
𦠙	U+26819 (U+26819)	f0a6a099
𦠚	U+2681A (U+2681A)	f0a6a09a
𦠛	U+2681B (U+2681B)	f0a6a09b
𦠜	U+2681C (U+2681C)	f0a6a09c
𦠝	U+2681D (U+2681D)	f0a6a09d
𦠞	U+2681E (U+2681E)	f0a6a09e
𦠟	U+2681F (U+2681F)	f0a6a09f
𦠠	U+26820 (U+26820)	f0a6a0a0
𦠡	U+26821 (U+26821)	f0a6a0a1
𦠢	U+26822 (U+26822)	f0a6a0a2
𦠣	U+26823 (U+26823)	f0a6a0a3
𦠤	U+26824 (U+26824)	f0a6a0a4
𦠥	U+26825 (U+26825)	f0a6a0a5
𦠦	U+26826 (U+26826)	f0a6a0a6
𦠧	U+26827 (U+26827)	f0a6a0a7
𦠨	U+26828 (U+26828)	f0a6a0a8
𦠩	U+26829 (U+26829)	f0a6a0a9
𦠪	U+2682A (U+2682A)	f0a6a0aa
𦠫	U+2682B (U+2682B)	f0a6a0ab
𦠬	U+2682C (U+2682C)	f0a6a0ac
𦠭	U+2682D (U+2682D)	f0a6a0ad
𦠮	U+2682E (U+2682E)	f0a6a0ae
𦠯	U+2682F (U+2682F)	f0a6a0af
𦠰	U+26830 (U+26830)	f0a6a0b0
𦠱	U+26831 (U+26831)	f0a6a0b1
𦠲	U+26832 (U+26832)	f0a6a0b2
𦠳	U+26833 (U+26833)	f0a6a0b3
𦠴	U+26834 (U+26834)	f0a6a0b4
𦠵	U+26835 (U+26835)	f0a6a0b5
𦠶	U+26836 (U+26836)	f0a6a0b6
𦠷	U+26837 (U+26837)	f0a6a0b7
𦠸	U+26838 (U+26838)	f0a6a0b8
𦠹	U+26839 (U+26839)	f0a6a0b9
𦠺	U+2683A (U+2683A)	f0a6a0ba
𦠻	U+2683B (U+2683B)	f0a6a0bb
𦠼	U+2683C (U+2683C)	f0a6a0bc
𦠽	U+2683D (U+2683D)	f0a6a0bd
𦠾	U+2683E (U+2683E)	f0a6a0be
𦠿	U+2683F (U+2683F)	f0a6a0bf
𦡀	U+26840 (U+26840)	f0a6a180
𦡁	U+26841 (U+26841)	f0a6a181
𦡂	U+26842 (U+26842)	f0a6a182
𦡃	U+26843 (U+26843)	f0a6a183
𦡄	U+26844 (U+26844)	f0a6a184
𦡅	U+26845 (U+26845)	f0a6a185
𦡆	(Cant., vulg.) anus (U+26846)	f0a6a186
𦡇	U+26847 (U+26847)	f0a6a187
𦡈	U+26848 (U+26848)	f0a6a188
𦡉	U+26849 (U+26849)	f0a6a189
𦡊	U+2684A (U+2684A)	f0a6a18a
𦡋	U+2684B (U+2684B)	f0a6a18b
𦡌	U+2684C (U+2684C)	f0a6a18c
𦡍	U+2684D (U+2684D)	f0a6a18d
𦡎	U+2684E (U+2684E)	f0a6a18e
𦡏	U+2684F (U+2684F)	f0a6a18f
𦡐	U+26850 (U+26850)	f0a6a190
𦡑	U+26851 (U+26851)	f0a6a191
𦡒	U+26852 (U+26852)	f0a6a192
𦡓	U+26853 (U+26853)	f0a6a193
𦡔	U+26854 (U+26854)	f0a6a194
𦡕	U+26855 (U+26855)	f0a6a195
𦡖	U+26856 (U+26856)	f0a6a196
𦡗	U+26857 (U+26857)	f0a6a197
𦡘	U+26858 (U+26858)	f0a6a198
𦡙	U+26859 (U+26859)	f0a6a199
𦡚	U+2685A (U+2685A)	f0a6a19a
𦡛	U+2685B (U+2685B)	f0a6a19b
𦡜	U+2685C (U+2685C)	f0a6a19c
𦡝	U+2685D (U+2685D)	f0a6a19d
𦡞	U+2685E (U+2685E)	f0a6a19e
𦡟	U+2685F (U+2685F)	f0a6a19f
𦡠	U+26860 (U+26860)	f0a6a1a0
𦡡	U+26861 (U+26861)	f0a6a1a1
𦡢	U+26862 (U+26862)	f0a6a1a2
𦡣	U+26863 (U+26863)	f0a6a1a3
𦡤	U+26864 (U+26864)	f0a6a1a4
𦡥	U+26865 (U+26865)	f0a6a1a5
𦡦	U+26866 (U+26866)	f0a6a1a6
𦡧	U+26867 (U+26867)	f0a6a1a7
𦡨	U+26868 (U+26868)	f0a6a1a8
𦡩	U+26869 (U+26869)	f0a6a1a9
𦡪	U+2686A (U+2686A)	f0a6a1aa
𦡫	U+2686B (U+2686B)	f0a6a1ab
𦡬	U+2686C (U+2686C)	f0a6a1ac
𦡭	U+2686D (U+2686D)	f0a6a1ad
𦡮	U+2686E (U+2686E)	f0a6a1ae
𦡯	U+2686F (U+2686F)	f0a6a1af
𦡰	U+26870 (U+26870)	f0a6a1b0
𦡱	U+26871 (U+26871)	f0a6a1b1
𦡲	U+26872 (U+26872)	f0a6a1b2
𦡳	U+26873 (U+26873)	f0a6a1b3
𦡴	U+26874 (U+26874)	f0a6a1b4
𦡵	U+26875 (U+26875)	f0a6a1b5
𦡶	U+26876 (U+26876)	f0a6a1b6
𦡷	U+26877 (U+26877)	f0a6a1b7
𦡸	U+26878 (U+26878)	f0a6a1b8
𦡹	U+26879 (U+26879)	f0a6a1b9
𦡺	U+2687A (U+2687A)	f0a6a1ba
𦡻	U+2687B (U+2687B)	f0a6a1bb
𦡼	U+2687C (U+2687C)	f0a6a1bc
𦡽	U+2687D (U+2687D)	f0a6a1bd
𦡾	U+2687E (U+2687E)	f0a6a1be
𦡿	U+2687F (U+2687F)	f0a6a1bf
𦢀	U+26880 (U+26880)	f0a6a280
𦢁	U+26881 (U+26881)	f0a6a281
𦢂	U+26882 (U+26882)	f0a6a282
𦢃	U+26883 (U+26883)	f0a6a283
𦢄	U+26884 (U+26884)	f0a6a284
𦢅	U+26885 (U+26885)	f0a6a285
𦢆	U+26886 (U+26886)	f0a6a286
𦢇	U+26887 (U+26887)	f0a6a287
𦢈	U+26888 (U+26888)	f0a6a288
𦢉	U+26889 (U+26889)	f0a6a289
𦢊	(Cant.) blister (U+2688A)	f0a6a28a
𦢋	U+2688B (U+2688B)	f0a6a28b
𦢌	an abortion, miscarriage (U+2688C)	f0a6a28c
𦢍	U+2688D (U+2688D)	f0a6a28d
𦢎	U+2688E (U+2688E)	f0a6a28e
𦢏	U+2688F (U+2688F)	f0a6a28f
𦢐	U+26890 (U+26890)	f0a6a290
𦢑	U+26891 (U+26891)	f0a6a291
𦢒	U+26892 (U+26892)	f0a6a292
𦢓	(Cant.) mole on skin (U+26893)	f0a6a293
𦢔	U+26894 (U+26894)	f0a6a294
𦢕	U+26895 (U+26895)	f0a6a295
𦢖	U+26896 (U+26896)	f0a6a296
𦢗	U+26897 (U+26897)	f0a6a297
𦢘	U+26898 (U+26898)	f0a6a298
𦢙	U+26899 (U+26899)	f0a6a299
𦢚	U+2689A (U+2689A)	f0a6a29a
𦢛	U+2689B (U+2689B)	f0a6a29b
𦢜	U+2689C (U+2689C)	f0a6a29c
𦢝	U+2689D (U+2689D)	f0a6a29d
𦢞	U+2689E (U+2689E)	f0a6a29e
𦢟	U+2689F (U+2689F)	f0a6a29f
𦢠	U+268A0 (U+268A0)	f0a6a2a0
𦢡	U+268A1 (U+268A1)	f0a6a2a1
𦢢	U+268A2 (U+268A2)	f0a6a2a2
𦢣	U+268A3 (U+268A3)	f0a6a2a3
𦢤	U+268A4 (U+268A4)	f0a6a2a4
𦢥	U+268A5 (U+268A5)	f0a6a2a5
𦢦	U+268A6 (U+268A6)	f0a6a2a6
𦢧	U+268A7 (U+268A7)	f0a6a2a7
𦢨	U+268A8 (U+268A8)	f0a6a2a8
𦢩	U+268A9 (U+268A9)	f0a6a2a9
𦢪	U+268AA (U+268AA)	f0a6a2aa
𦢫	U+268AB (U+268AB)	f0a6a2ab
𦢬	U+268AC (U+268AC)	f0a6a2ac
𦢭	U+268AD (U+268AD)	f0a6a2ad
𦢮	U+268AE (U+268AE)	f0a6a2ae
𦢯	U+268AF (U+268AF)	f0a6a2af
𦢰	U+268B0 (U+268B0)	f0a6a2b0
𦢱	U+268B1 (U+268B1)	f0a6a2b1
𦢲	U+268B2 (U+268B2)	f0a6a2b2
𦢳	U+268B3 (U+268B3)	f0a6a2b3
𦢴	U+268B4 (U+268B4)	f0a6a2b4
𦢵	U+268B5 (U+268B5)	f0a6a2b5
𦢶	U+268B6 (U+268B6)	f0a6a2b6
𦢷	U+268B7 (U+268B7)	f0a6a2b7
𦢸	U+268B8 (U+268B8)	f0a6a2b8
𦢹	U+268B9 (U+268B9)	f0a6a2b9
𦢺	U+268BA (U+268BA)	f0a6a2ba
𦢻	U+268BB (U+268BB)	f0a6a2bb
𦢼	U+268BC (U+268BC)	f0a6a2bc
𦢽	U+268BD (U+268BD)	f0a6a2bd
𦢾	U+268BE (U+268BE)	f0a6a2be
𦢿	U+268BF (U+268BF)	f0a6a2bf
𦣀	U+268C0 (U+268C0)	f0a6a380
𦣁	U+268C1 (U+268C1)	f0a6a381
𦣂	U+268C2 (U+268C2)	f0a6a382
𦣃	U+268C3 (U+268C3)	f0a6a383
𦣄	U+268C4 (U+268C4)	f0a6a384
𦣅	U+268C5 (U+268C5)	f0a6a385
𦣆	U+268C6 (U+268C6)	f0a6a386
𦣇	(Cant.) buttocks (U+268C7)	f0a6a387
𦣈	U+268C8 (U+268C8)	f0a6a388
𦣉	U+268C9 (U+268C9)	f0a6a389
𦣊	U+268CA (U+268CA)	f0a6a38a
𦣋	U+268CB (U+268CB)	f0a6a38b
𦣌	U+268CC (U+268CC)	f0a6a38c
𦣍	U+268CD (U+268CD)	f0a6a38d
𦣎	U+268CE (U+268CE)	f0a6a38e
𦣏	U+268CF (U+268CF)	f0a6a38f
𦣐	U+268D0 (U+268D0)	f0a6a390
𦣑	U+268D1 (U+268D1)	f0a6a391
𦣒	U+268D2 (U+268D2)	f0a6a392
𦣓	U+268D3 (U+268D3)	f0a6a393
𦣔	U+268D4 (U+268D4)	f0a6a394
𦣕	U+268D5 (U+268D5)	f0a6a395
𦣖	U+268D6 (U+268D6)	f0a6a396
𦣗	U+268D7 (U+268D7)	f0a6a397
𦣘	U+268D8 (U+268D8)	f0a6a398
𦣙	U+268D9 (U+268D9)	f0a6a399
𦣚	U+268DA (U+268DA)	f0a6a39a
𦣛	U+268DB (U+268DB)	f0a6a39b
𦣜	U+268DC (U+268DC)	f0a6a39c
𦣝	U+268DD (U+268DD)	f0a6a39d
𦣞	U+268DE (U+268DE)	f0a6a39e
𦣟	U+268DF (U+268DF)	f0a6a39f
𦣠	U+268E0 (U+268E0)	f0a6a3a0
𦣡	U+268E1 (U+268E1)	f0a6a3a1
𦣢	U+268E2 (U+268E2)	f0a6a3a2
𦣣	U+268E3 (U+268E3)	f0a6a3a3
𦣤	U+268E4 (U+268E4)	f0a6a3a4
𦣥	U+268E5 (U+268E5)	f0a6a3a5
𦣦	U+268E6 (U+268E6)	f0a6a3a6
𦣧	U+268E7 (U+268E7)	f0a6a3a7
𦣨	U+268E8 (U+268E8)	f0a6a3a8
𦣩	U+268E9 (U+268E9)	f0a6a3a9
𦣪	U+268EA (U+268EA)	f0a6a3aa
𦣫	U+268EB (U+268EB)	f0a6a3ab
𦣬	U+268EC (U+268EC)	f0a6a3ac
𦣭	U+268ED (U+268ED)	f0a6a3ad
𦣮	U+268EE (U+268EE)	f0a6a3ae
𦣯	U+268EF (U+268EF)	f0a6a3af
𦣰	U+268F0 (U+268F0)	f0a6a3b0
𦣱	mysterious, occult (U+268F1)	f0a6a3b1
𦣲	U+268F2 (U+268F2)	f0a6a3b2
𦣳	U+268F3 (U+268F3)	f0a6a3b3
𦣴	U+268F4 (U+268F4)	f0a6a3b4
𦣵	U+268F5 (U+268F5)	f0a6a3b5
𦣶	U+268F6 (U+268F6)	f0a6a3b6
𦣷	U+268F7 (U+268F7)	f0a6a3b7
𦣸	U+268F8 (U+268F8)	f0a6a3b8
𦣹	U+268F9 (U+268F9)	f0a6a3b9
𦣺	U+268FA (U+268FA)	f0a6a3ba
𦣻	U+268FB (U+268FB)	f0a6a3bb
𦣼	U+268FC (U+268FC)	f0a6a3bc
𦣽	U+268FD (U+268FD)	f0a6a3bd
𦣾	U+268FE (U+268FE)	f0a6a3be
𦣿	U+268FF (U+268FF)	f0a6a3bf
𦤀	U+26900 (U+26900)	f0a6a480
𦤁	U+26901 (U+26901)	f0a6a481
𦤂	U+26902 (U+26902)	f0a6a482
𦤃	U+26903 (U+26903)	f0a6a483
𦤄	U+26904 (U+26904)	f0a6a484
𦤅	U+26905 (U+26905)	f0a6a485
𦤆	U+26906 (U+26906)	f0a6a486
𦤇	U+26907 (U+26907)	f0a6a487
𦤈	U+26908 (U+26908)	f0a6a488
𦤉	U+26909 (U+26909)	f0a6a489
𦤊	U+2690A (U+2690A)	f0a6a48a
𦤋	U+2690B (U+2690B)	f0a6a48b
𦤌	U+2690C (U+2690C)	f0a6a48c
𦤍	U+2690D (U+2690D)	f0a6a48d
𦤎	a marsh, pool; high; the fifth month (U+2690E)	f0a6a48e
𦤏	U+2690F (U+2690F)	f0a6a48f
𦤐	U+26910 (U+26910)	f0a6a490
𦤑	U+26911 (U+26911)	f0a6a491
𦤒	U+26912 (U+26912)	f0a6a492
𦤓	U+26913 (U+26913)	f0a6a493
𦤔	U+26914 (U+26914)	f0a6a494
𦤕	U+26915 (U+26915)	f0a6a495
𦤖	U+26916 (U+26916)	f0a6a496
𦤗	U+26917 (U+26917)	f0a6a497
𦤘	U+26918 (U+26918)	f0a6a498
𦤙	U+26919 (U+26919)	f0a6a499
𦤚	U+2691A (U+2691A)	f0a6a49a
𦤛	U+2691B (U+2691B)	f0a6a49b
𦤜	U+2691C (U+2691C)	f0a6a49c
𦤝	U+2691D (U+2691D)	f0a6a49d
𦤞	U+2691E (U+2691E)	f0a6a49e
𦤟	U+2691F (U+2691F)	f0a6a49f
𦤠	U+26920 (U+26920)	f0a6a4a0
𦤡	U+26921 (U+26921)	f0a6a4a1
𦤢	U+26922 (U+26922)	f0a6a4a2
𦤣	U+26923 (U+26923)	f0a6a4a3
𦤤	U+26924 (U+26924)	f0a6a4a4
𦤥	U+26925 (U+26925)	f0a6a4a5
𦤦	(Cant.) a smell, scent (U+26926)	f0a6a4a6
𦤧	U+26927 (U+26927)	f0a6a4a7
𦤨	U+26928 (U+26928)	f0a6a4a8
𦤩	U+26929 (U+26929)	f0a6a4a9
𦤪	U+2692A (U+2692A)	f0a6a4aa
𦤫	U+2692B (U+2692B)	f0a6a4ab
𦤬	U+2692C (U+2692C)	f0a6a4ac
𦤭	U+2692D (U+2692D)	f0a6a4ad
𦤮	U+2692E (U+2692E)	f0a6a4ae
𦤯	U+2692F (U+2692F)	f0a6a4af
𦤰	U+26930 (U+26930)	f0a6a4b0
𦤱	U+26931 (U+26931)	f0a6a4b1
𦤲	U+26932 (U+26932)	f0a6a4b2
𦤳	U+26933 (U+26933)	f0a6a4b3
𦤴	U+26934 (U+26934)	f0a6a4b4
𦤵	U+26935 (U+26935)	f0a6a4b5
𦤶	U+26936 (U+26936)	f0a6a4b6
𦤷	U+26937 (U+26937)	f0a6a4b7
𦤸	U+26938 (U+26938)	f0a6a4b8
𦤹	U+26939 (U+26939)	f0a6a4b9
𦤺	U+2693A (U+2693A)	f0a6a4ba
𦤻	U+2693B (U+2693B)	f0a6a4bb
𦤼	U+2693C (U+2693C)	f0a6a4bc
𦤽	U+2693D (U+2693D)	f0a6a4bd
𦤾	U+2693E (U+2693E)	f0a6a4be
𦤿	U+2693F (U+2693F)	f0a6a4bf
𦥀	U+26940 (U+26940)	f0a6a580
𦥁	U+26941 (U+26941)	f0a6a581
𦥂	U+26942 (U+26942)	f0a6a582
𦥃	U+26943 (U+26943)	f0a6a583
𦥄	U+26944 (U+26944)	f0a6a584
𦥅	U+26945 (U+26945)	f0a6a585
𦥆	U+26946 (U+26946)	f0a6a586
𦥇	U+26947 (U+26947)	f0a6a587
𦥈	U+26948 (U+26948)	f0a6a588
𦥉	U+26949 (U+26949)	f0a6a589
𦥊	U+2694A (U+2694A)	f0a6a58a
𦥋	U+2694B (U+2694B)	f0a6a58b
𦥌	U+2694C (U+2694C)	f0a6a58c
𦥍	U+2694D (U+2694D)	f0a6a58d
𦥎	U+2694E (U+2694E)	f0a6a58e
𦥏	U+2694F (U+2694F)	f0a6a58f
𦥐	U+26950 (U+26950)	f0a6a590
𦥑	U+26951 (U+26951)	f0a6a591
𦥒	U+26952 (U+26952)	f0a6a592
𦥓	U+26953 (U+26953)	f0a6a593
𦥔	U+26954 (U+26954)	f0a6a594
𦥕	U+26955 (U+26955)	f0a6a595
𦥖	U+26956 (U+26956)	f0a6a596
𦥗	U+26957 (U+26957)	f0a6a597
𦥘	U+26958 (U+26958)	f0a6a598
𦥙	U+26959 (U+26959)	f0a6a599
𦥚	U+2695A (U+2695A)	f0a6a59a
𦥛	U+2695B (U+2695B)	f0a6a59b
𦥜	U+2695C (U+2695C)	f0a6a59c
𦥝	U+2695D (U+2695D)	f0a6a59d
𦥞	U+2695E (U+2695E)	f0a6a59e
𦥟	U+2695F (U+2695F)	f0a6a59f
𦥠	U+26960 (U+26960)	f0a6a5a0
𦥡	U+26961 (U+26961)	f0a6a5a1
𦥢	U+26962 (U+26962)	f0a6a5a2
𦥣	U+26963 (U+26963)	f0a6a5a3
𦥤	U+26964 (U+26964)	f0a6a5a4
𦥥	U+26965 (U+26965)	f0a6a5a5
𦥦	U+26966 (U+26966)	f0a6a5a6
𦥧	U+26967 (U+26967)	f0a6a5a7
𦥨	U+26968 (U+26968)	f0a6a5a8
𦥩	U+26969 (U+26969)	f0a6a5a9
𦥪	U+2696A (U+2696A)	f0a6a5aa
𦥫	U+2696B (U+2696B)	f0a6a5ab
𦥬	U+2696C (U+2696C)	f0a6a5ac
𦥭	U+2696D (U+2696D)	f0a6a5ad
𦥮	U+2696E (U+2696E)	f0a6a5ae
𦥯	to learn (U+2696F)	f0a6a5af
𦥰	U+26970 (U+26970)	f0a6a5b0
𦥱	U+26971 (U+26971)	f0a6a5b1
𦥲	U+26972 (U+26972)	f0a6a5b2
𦥳	U+26973 (U+26973)	f0a6a5b3
𦥴	U+26974 (U+26974)	f0a6a5b4
𦥵	U+26975 (U+26975)	f0a6a5b5
𦥶	U+26976 (U+26976)	f0a6a5b6
𦥷	U+26977 (U+26977)	f0a6a5b7
𦥸	U+26978 (U+26978)	f0a6a5b8
𦥹	U+26979 (U+26979)	f0a6a5b9
𦥺	U+2697A (U+2697A)	f0a6a5ba
𦥻	U+2697B (U+2697B)	f0a6a5bb
𦥼	U+2697C (U+2697C)	f0a6a5bc
𦥽	U+2697D (U+2697D)	f0a6a5bd
𦥾	U+2697E (U+2697E)	f0a6a5be
𦥿	U+2697F (U+2697F)	f0a6a5bf
𦦀	U+26980 (U+26980)	f0a6a680
𦦁	U+26981 (U+26981)	f0a6a681
𦦂	U+26982 (U+26982)	f0a6a682
𦦃	U+26983 (U+26983)	f0a6a683
𦦄	U+26984 (U+26984)	f0a6a684
𦦅	U+26985 (U+26985)	f0a6a685
𦦆	U+26986 (U+26986)	f0a6a686
𦦇	U+26987 (U+26987)	f0a6a687
𦦈	U+26988 (U+26988)	f0a6a688
𦦉	U+26989 (U+26989)	f0a6a689
𦦊	U+2698A (U+2698A)	f0a6a68a
